土地位置建物門牌,緯度,經度,actual_price,xgboost_qmean,xgboost_q0.1,xgboost_q0.25,xgboost_q0.5,xgboost_q0.75,xgboost_q0.9,rf_qmean,rf_q0.1,rf_q0.25,rf_q0.5,rf_q0.75,rf_q0.9,lgb_qmean,lgb_q0.1,lgb_q0.25,lgb_q0.5,lgb_q0.75,lgb_q0.9,nn_qmean,nn_q0.1,nn_q0.25,nn_q0.5,nn_q0.75,nn_q0.9,Ensemble_qmean,Ensemble_q0.1,Ensemble_q0.25,Ensemble_q0.5,Ensemble_q0.75,Ensemble_q0.9
臺北市萬華區中華路二段４９８巷１１號,25.02592002,121.507111,12699999.999999996,10863116.0,8624022.0,10795676.0,11830888.0,12637396.0,14059124.0,10580548.448823243,7576302.252220789,9883941.989271175,12450000.0,12699999.999999996,13540381.720186614,10683806.905640593,7893893.416910192,9970848.845687104,11929276.915845623,12699743.604574837,15067912.75934076,10918017.0,8456065.0,9645818.0,11518117.0,12591152.0,14087980.0,10761372.08861596,8137570.667282745,10074071.20873957,11932070.478961406,12657072.901143707,14188849.619881842
臺北市北投區三合街一段６９號,25.12671211,121.5056256,67000000.00000012,57797800.0,42923260.0,58612880.0,64978732.0,67235510.0,70639430.0,58784389.80715697,43348530.80038667,54722712.383983895,66749531.83357114,67000000.00000012,71744241.1563173,58667699.09137485,48237021.12369513,56674156.306735165,63788222.254310496,66960204.48538152,87003279.9281432,48428108.0,37309164.0,45650456.0,52356880.0,61393680.0,78810450.0,55919499.224632956,42954493.98102045,53915051.17267977,61968341.521970406,65647348.62134541,77049350.27111512
臺北市中正區齊東街８２巷３８號,25.04237998,121.528491,16500000.000000011,20864534.0,12752142.0,16534698.0,19806170.0,27460408.0,29841668.0,18604920.704045303,14559625.748502512,15833434.781006906,16500000.000000011,16500000.000000011,24878596.127269432,22623720.758602425,12908346.084554588,16486437.632980594,19334271.90868222,24208636.48585617,30476541.393066797,18708592.0,10808492.0,15579405.0,18513604.0,25225824.0,28120140.0,20200441.865661934,12757151.458264275,16108493.853496876,18538511.477170557,23348717.121464048,28329236.380084056
臺北市北投區自強街１２０巷１５弄１７號四樓,25.110686,121.516559,16000000.000000026,17151768.0,14933182.0,15991566.0,16286705.0,18612564.0,21129332.0,15946633.820795318,13130352.585471043,14878032.590750553,16000000.000000026,16248076.809390305,19740961.75579134,17432074.048480928,15718239.132169375,15998235.577597337,16015008.614371872,18446230.35419807,21304397.730808005,15813008.0,12564020.0,14447452.0,16628693.0,19475502.0,21000320.0,16585870.967319062,14086448.429410104,15328821.542086972,16232601.653592974,18195593.290897094,20793752.871649835
臺北市文山區新光路一段９５巷２２號二樓,24.99115201,121.574704,16299999.99999999,14749216.0,10979224.0,13147882.0,15936028.0,16979934.0,17471118.0,15040234.596616909,11500777.463247355,14827617.366325216,15959477.05367373,16299999.99999999,17210539.032562263,14298046.740152232,11168308.36835479,13403478.257718068,16118452.415677425,16300848.442905365,18124503.97443053,14825113.0,9197119.0,12676577.0,16147082.0,18288354.0,18510426.0,14728152.584192285,10711357.207900535,13513888.656010821,16040259.86733779,16967284.11072634,17829146.751748197
臺北市內湖區星雲街１６８巷３７號,25.08008899,121.597329,15000000.00000001,13082293.0,7356193.5,11982202.0,14981596.0,17277292.0,20228656.0,11473938.083281588,6124049.32478337,11726694.225339934,15000000.00000001,15000000.00000001,16070169.030877007,14040001.49939802,9105186.202807738,14476846.791033436,14886205.047276,15003428.309944317,20965531.165494382,16263610.0,14182964.0,14194196.0,16095516.0,16136984.0,18139112.0,13714960.645669902,9192098.256897777,13094984.754093342,15240829.261819001,15854426.077486081,18850867.049092848
臺北市北投區行義路１４２之１３號,25.129857,121.528211,7100000.000000005,6524464.5,4147830.5,5397634.5,6747127.0,7022509.0,11753382.0,6728816.904395816,5331015.843511944,5838499.433458176,7032697.371267406,7100000.000000005,8136016.415466,6304288.882964459,5223327.807654697,5885669.3490666,6912180.0994728245,7092202.567602005,9223722.475857088,6089037.0,5274816.0,6087214.0,6696300.0,7872446.5,9943091.0,6411651.821840068,4994247.53779166,5802254.320631194,6847076.117685057,7271789.516900502,9764052.972830772
臺北市中正區詔安街４３號四樓,25.025557,121.51222,14580000.000000026,14642840.0,10753629.0,13411626.0,14566264.0,15717207.0,17141172.0,14902816.304136226,12521490.006502252,14029611.54493515,14580000.000000026,14580000.000000026,16983344.923364244,14810815.904748175,12672818.710224023,13608025.995490875,14583648.390993996,14870293.019882886,16754624.319819532,13893846.0,12061470.0,12454006.0,14002176.0,16200575.0,17502436.0,14562579.5522211,12002351.929181568,13375817.385106508,14433022.097748505,15342018.754970727,17095394.310795944
臺北市大安區敦化南路二段４６號十四樓之１２,25.03123699,121.548312,30000000.00000005,25086772.0,19223582.0,23666120.0,28437612.0,29517976.0,30236308.0,25063167.211348116,18365604.833298545,23926825.56189826,29791893.054766767,30000000.00000005,30818136.58843565,26261238.11519992,18375972.739506483,24696127.75568755,29852192.884708486,30193383.49349753,30815155.951765228,28680668.0,22328220.0,25984120.0,26857820.0,30872800.0,32506954.0,26272961.33163701,19573344.893201258,24568298.329396453,28734879.484868813,30146039.873374395,31094138.63505022
臺北市中山區民權東路二段１５２巷５弄１號,25.06146,121.534672,22079999.999999966,23963228.0,17226420.0,21728400.0,23310192.0,26344424.0,28620282.0,22483696.65846372,20079331.035346936,21415972.71374081,22219121.58224568,22500000.000000007,25760465.65403201,24574241.934595227,18476877.29921676,21863306.3485862,23367046.646800023,23466413.18969803,28514792.336106148,24577350.0,20002940.0,22593874.0,23912684.0,23949840.0,27034570.0,23899629.148264736,18946392.083640926,21900388.265581753,23202261.057261426,24065169.29742451,27482527.49753454
