土地位置建物門牌,總價元,單價元平方公尺,車位移轉總面積平方公尺,車位總價元,countycode,鄉鎮市區,交易標的,緯度,經度,村里,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,車位類別,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,date,.id,t_mean_24h_idw,t_min_idw,t_max_idw,daily_rain_idw,aqi_idw,count_anc_500m,count_clean_500m,count_cor_500m,count_cos_500m,count_uni_500m,count_fire_500m,count_gas_500m,count_inc_500m,count_lpg_500m,count_mall_500m,count_mart_500m,count_med_500m,count_nuc_500m,count_phar_500m,count_poli_500m,count_post_500m,count_simpmart_500m,count_temp_500m,count_died_500m,count_shop_500m,geometry,nearest_mrt_name,dist_to_mrt_meter,dist_to_rail_meter,dist_to_thsr_meter,house_age
臺北市信義區忠孝東路五段７９０巷２２弄１０號,21000000,199810,0,0,63000,信義區,房地(土地+建物),25.04257302,121.581974,大道里,36.25,住,NA,NA,1130110,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,661027,105.1,3,1,1,有,無,NA,親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；,RPPNMLSKJHJGFDA57DA,90.38,0,14.72,無,NA,2024/1/10,260,16.14950783,13.55445022,17.82416299,0.071212674,80.30265141,0,0,0,0,0,0,0,0,0,0,43,65,0,16,0,1,3,3,0,46,"c(308724.850185045, 2770619.28878391)",臺北捷運後山埤站_BL20,312.7673801,826.0952307,2833.955968,47
臺北市信義區忠孝東路五段７９０巷２２弄１７號,16300000,260842,0,0,63000,信義區,房地(土地+建物),25.04237902,121.582005,大道里,16.66,住,NA,NA,1130104,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1111216,62.49,1,1,1,有,無,NA,NA,RPSOMLMLJHJGFDA47DA,32,0,4.85,有,477,2024/1/4,261,16.07152551,13.43364683,17.4978103,0,68.55016754,0,0,0,0,0,0,0,0,0,0,45,67,0,14,0,1,3,3,0,48,"c(308728.063606295, 2770597.81366788)",臺北捷運後山埤站_BL20,332.291496,846.6713417,2840.45653,2
臺北市信義區忠孝東路五段７９０巷６８弄５號,20800000,208856,0,0,63000,信義區,房地(土地+建物),25.04055302,121.583253,中坡里,34.75,住,NA,NA,1130116,土地1建物1車位0,四層，陽臺,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,631001,99.59,5,0,5,有,無,NA,其他增建；,RPPPMLKMJHJGFDA17DA,99.59,0,0,無,NA,2024/1/16,262,16.71616088,15.30807973,17.69068425,0,54.73624777,0,0,0,0,0,0,0,0,0,0,38,46,0,13,1,2,4,3,0,42,"c(308854.875803525, 2770396.09707972)",臺北捷運後山埤站_BL20,521.1098296,1084.157632,2825.433894,50
臺北市信義區忠孝東路五段７９０巷７０弄１７之５號,32000000,187354,0,0,63000,信義區,房地(土地+建物)+車位,25.039853,121.583265,中坡里,25.08,住,NA,NA,1130121,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,800809,170.8,3,2,2,有,無,升降平面,NA,RPOOMLOJJHJGFDA17EA,112.33,3.52,12.5,有,NA,2024/1/21,263,14.78855196,14.04651222,16.09340972,9.899923678,45.4412626,0,0,0,0,0,0,0,0,0,0,32,42,0,17,1,1,4,3,0,36,"c(308856.419423582, 2770318.56438763)",臺北捷運後山埤站_BL20,598.6006727,1153.837893,2864.774453,33
臺北市信義區忠孝東路四段５５３巷１６號,9680000,268964,0,0,63000,信義區,房地(土地+建物),25.04279799,121.562888,新仁里,4.81,住,NA,NA,1130109,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830729,35.99,1,1,1,有,有,NA,其他增建；,RPPPMLLJKHJGFDA07DA,19.13,0.9,0,有,NA,2024/1/9,265,18.16678325,17.25288276,20.40115227,1.570001329,47.02265827,0,0,0,0,0,0,1,0,0,2,27,23,0,2,0,1,0,0,0,27,"c(306798.80678812, 2770636.06269902)",臺北捷運市政府站_BL18,281.9860258,1704.171547,4640.581642,30
臺北市信義區松仁路２５３巷３弄５號,19500000,192403,0,0,63000,信義區,房地(土地+建物),25.02587098,121.56934,三犁里,34.75,住,NA,NA,1130216,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,571224,101.35,3,2,2,有,無,NA,頂樓加蓋；,RPQNMLRLKHJGFDA87EA,101.35,0,0,無,NA,2024/2/16,267,15.00384258,14.18168584,15.8990682,0,38.11872663,0,0,0,0,0,0,0,0,0,0,25,26,0,9,0,1,3,5,0,28,"c(307457.747524331, 2768763.85190941)",臺北捷運象山站_R02,749.3371337,2736.762176,4910.573489,56
臺北市信義區松仁路３０８巷９３號,44380000,290407,7.29,0,63000,信義區,房地(土地+建物)+車位,25.02039848,121.5707818,泰和里,15.45,住,NA,NA,1130214,土地1建物2車位1,一層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030418,152.82,1,1,1,有,有,塔式車位,NA,RPPPMLPLKHJGFDA67DA,39.1,2.41,5.97,有,NA,2024/2/14,268,18.75262125,12.81751804,26.86803029,0,62.92527218,0,0,0,0,0,0,0,0,0,0,12,7,0,5,0,0,1,2,0,13,"c(307605.80840007, 2768158.29871812)",臺北捷運麟光站_BR06,1249.052197,3278.917755,5206.509934,10
臺北市信義區松信路２２６號,14000000,177981,0,0,63000,信義區,房地(土地+建物),25.0413744,121.5718266,富台里,14.86,住,NA,NA,1130103,土地2建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,780509,78.66,3,2,2,有,有,NA,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLSLJHJGFDA67DA,50.33,0,6.95,有,NA,2024/1/3,269,15.62641685,13.51762807,17.46064554,11.74554369,60.25033503,0,0,0,0,0,2,1,0,0,2,29,55,0,10,0,2,3,1,0,32,"c(307701.44545648, 2770482.15897731)",臺北捷運永春站_BL19,474.6229849,1082.643973,3828.919941,35
臺北市信義區松勇路５３巷２８號,153430000,556602,49.72,4500000,63000,信義區,房地(土地+建物)+車位,25.0340772,121.5715797,安康里,59.79,住,NA,NA,1130116,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1061128,317.29,0,0,0,無,有,坡道平面,NA,RPTNMLQKKHJGFDA87DA,131.67,3.31,33.49,有,NA,2024/1/16,270,16.66396301,15.2417746,17.5125521,0,53.77981532,0,1,0,0,0,0,0,0,0,2,13,10,0,2,2,2,0,0,0,13,"c(307679.948919933, 2769673.77248408)",臺北捷運象山站_R02,252.2556765,1805.937315,4204.582239,7
臺北市信義區松山路１１９巷３０號,19500000,162676,0,0,63000,信義區,房地(土地+建物),25.047301,121.579549,永吉里,43.25,住,NA,NA,1130122,土地1建物1車位0,三層，陽臺,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,640106,119.87,4,2,2,有,無,NA,陽台外推加增建陽台外推；其他增建；,RPPOMLOJLHJGFDA37DA,119.87,0,0,無,NA,2024/1/22,272,12.681163,9.084281418,14.49496301,1.264111528,31.5633205,0,0,0,0,0,0,0,0,0,2,54,53,0,13,2,1,1,6,0,55,"c(308477.899161115, 2771141.93891489)",臺北捷運松山站_G19,394.327809,249.3187991,2888.05512,49
