土地位置建物門牌,總價元,單價元平方公尺,車位移轉總面積平方公尺,車位總價元,countycode,鄉鎮市區,交易標的,緯度,經度,村里,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,車位類別,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,nomi_address,date,.id,t_mean_24h_idw,t_min_idw,t_max_idw,daily_rain_idw,aqi_idw,towncode,MASTER_UP_rate,BACHELOR_UP_rate,Sex_ratio,popdense,Dependency_ratio,Old_ratio,count_anc_500m,count_clean_500m,count_cor_500m,count_cos_500m,count_uni_500m,count_fire_500m,count_gas_500m,count_inc_500m,count_lpg_500m,count_mall_500m,count_mart_500m,count_med_500m,count_nuc_500m,count_phar_500m,count_poli_500m,count_post_500m,count_simpmart_500m,count_temp_500m,count_died_500m,count_shop_500m,geometry,nearest_mrt_name,dist_to_mrt_meter,dist_to_rail_meter,dist_to_thsr_meter,house_age
臺北市中山區中山北路一段１２１巷３３號六樓之１,21280000,190972,42.64,0,63000,中山區,房地(土地+建物)+車位,25.05089302,121.52466,正得里,7.36,商,NA,NA,1130804,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000128,111.43,1,1,1,有,有,升降平面,NA,RPWOMLKLQHJGFCA28DA,40.56,1.2,4.97,有,NA,"33號, 中山北路一段121巷, 正得里, 中山區, 南西商圈, 臺北市, 104, 臺灣",2024/8/4,7,31.66489986,28.85919236,36.18798525,0,50.85340283,63000040003,0.156573117,0.569276219,75.99,25469.7,52.49795248,38.6158886,1,0,0,0,0,0,0,0,0,3,63,60,0,5,2,1,0,1,0,63,"c(121.524660001288, 25.0508930185115)",臺北捷運中山站_G14_R11,577.9400009,977.4791547,852.8488184,13
臺北市中山區中山北路一段５３巷４之２號四樓,8000000,124012,0,0,63000,中山區,房地(土地+建物),25.04919799,121.521956,正得里,18.39,商,NA,NA,1130705,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,670829,64.51,3,2,1,有,無,NA,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPOOMLRJQHJGFCA97DA,60.29,0,4.22,無,NA,"4之2號, 中山北路一段53巷, 正得里, 中山區, 南西商圈, 臺北市, 104, 臺灣",2024/7/5,8,31.77185892,28.50162407,34.98323782,0,30.38707179,63000040003,0.156573117,0.569276219,75.99,25469.7,52.49795248,38.6158886,0,0,0,0,0,2,1,0,0,3,48,53,0,5,2,5,0,1,0,48,"c(121.521955999323, 25.0491979881419)",臺北捷運中山站_G14_R11,492.7823268,657.2724853,529.473296,46
臺北市中山區中山北路一段５３巷８號五樓之１２,17580000,298160,39.12,3000000,63000,中山區,房地(土地+建物)+車位,25.04910101,121.522127,正得里,7.53,商,NA,NA,1130707,土地1建物1車位2,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970104,88.02,2,2,1,有,有,坡道機械,陽台外推；夾層；其他增建；,RPWOMLMLPHJGFCA38DA,25.14,4.51,2.54,有,NA,"8號, 中山北路一段53巷, 正得里, 中山區, 南西商圈, 臺北市, 104, 臺灣",2024/7/7,9,30.46678182,27.703764,35.00608911,9.780970313,35.36474363,63000040003,0.156573117,0.569276219,75.99,25469.7,52.49795248,38.6158886,0,0,0,0,0,2,1,0,0,3,50,52,0,6,2,5,0,1,0,50,"c(121.522126990148, 25.0491010095221)",臺北捷運中山站_G14_R11,511.0038968,670.961316,542.6151419,16
臺北市中山區中山北路三段３９號七樓之１２,8250000,255576,0,0,63000,中山區,房地(土地+建物),25.06603799,121.522533,晴光里,3.33,商,NA,NA,1130706,土地3建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,711127,32.28,1,1,1,有,有,NA,NA,RPTOMLPJQHJGFCA28DA,24.14,0,1.99,有,360,"39號, 中山北路三段, 晴光里, 中山區, 雙連, 臺北市, 104, 臺灣",2024/7/6,12,30.92731042,28.51881817,35.03206415,17.14503127,34.52084593,63000040011,0.144424496,0.533213645,71.44,50707.91,51.24079628,36.70575401,1,0,0,0,1,0,0,0,0,0,43,43,0,10,0,3,0,3,0,43,"c(121.522533009538, 25.0660379859926)",臺北捷運民權西路站_O11_R13,491.2865368,2163.496797,2110.185167,42
臺北市中山區中山北路二段１６巷２３之１號六樓,32000000,250254,0,0,63000,中山區,房地(土地+建物),25.05320299,121.520871,民安里,28.5,商,NA,NA,1130729,土地1建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,661026,127.87,3,2,2,有,無,NA,NA,RPPNMLQKQHJGFCA97DA,118.42,0,9.45,有,NA,"米郎其咖啡館, 中山北路二段16巷, 民安里, 中山區, 南西商圈, 臺北市, 104002, 臺灣",2024/7/29,13,30.5490352,28.5461561,33.4008828,0,17.89904116,63000040004,0.152173913,0.54164484,87.27,18874.17,64.90755005,47.07241909,0,0,0,0,0,1,0,0,0,2,67,77,0,8,4,1,0,3,0,67,"c(121.520870961957, 25.0532029872077)",臺北捷運中山站_G14_R11,148.1181999,816.9697653,727.6200835,47
臺北市中山區中山北路二段６２巷９之１號,15880000,241521,0,0,63000,中山區,房地(土地+建物),25.05674501,121.522014,民安里,9.83,住,NA,NA,1130812,土地1建物2車位0,一層，地下一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,971031,65.75,0,0,0,無,有,NA,NA,RPQNMLQJRHJGFCA18EA,28.25,1.25,2.97,有,175,"La Belleza Hair Salon, 中山北路二段62巷, 民安里, 中山區, 南西商圈, 臺北市, 10448, 臺灣",2024/8/12,18,29.87366744,27.46179772,35.04301856,10.15791926,49.99813329,63000040004,0.152173913,0.54164484,87.27,18874.17,64.90755005,47.07241909,0,0,0,0,0,1,0,0,0,3,84,76,0,10,2,1,0,7,0,84,"c(121.522014002093, 25.0567450118515)",臺北捷運雙連站_R12,184.7073191,1203.584327,1126.066797,16
臺北市中山區中山北路二段７７巷１２號七樓,26840000,399940,0,0,63000,中山區,房地(土地+建物),25.05738602,121.524161,中山里,5.34,商,NA,NA,1130728,土地1建物1車位0,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1121116,67.11,2,1,2,有,有,NA,含裝潢費；含傢俱設備費；,RPVOMLNJRHJGFCA38DA,39.39,0,3.69,有,NA,"麵店, 中山北路二段77巷, 中山里, 中山區, 南西商圈, 臺北市, 104011, 臺灣",2024/7/28,20,30.66680814,27.47932305,33.51497569,0,29.0117208,63000040006,0.149033893,0.516312955,72.8,41381.63,44.2588285,33.5165997,0,0,0,0,0,0,1,0,0,1,81,72,0,9,2,1,0,4,0,81,"c(121.524161026592, 25.0573860178969)",臺北捷運雙連站_R12,364.8092569,1386.133607,1297.165805,1
臺北市中山區中山北路二段７７巷１２號七樓之１,16140000,380481,0,0,63000,中山區,房地(土地+建物),25.05738602,121.524161,中山里,3.38,商,NA,NA,1130707,土地1建物1車位0,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1121116,42.42,1,1,1,有,有,NA,NA,RPSNMLLJQHJGFCA77EA,23.2,0,4.04,有,NA,"麵店, 中山北路二段77巷, 中山里, 中山區, 南西商圈, 臺北市, 104011, 臺灣",2024/7/7,21,30.69631606,27.82184714,34.95218859,14.22424809,37.05928083,63000040006,0.149033893,0.516312955,72.8,41381.63,44.2588285,33.5165997,0,0,0,0,0,0,1,0,0,1,81,72,0,9,2,1,0,4,0,81,"c(121.524161026592, 25.0573860178969)",臺北捷運雙連站_R12,364.8092569,1386.133607,1297.165805,1
臺北市中山區中山北路二段７７巷１２號九樓,25550000,380718,0,0,63000,中山區,房地(土地+建物),25.05738602,121.524161,中山里,5.34,商,NA,NA,1130707,土地1建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1121116,67.11,2,1,2,有,有,NA,NA,RPPNMLKLQHJGFCA57EA,39.39,0,3.69,有,NA,"麵店, 中山北路二段77巷, 中山里, 中山區, 南西商圈, 臺北市, 104011, 臺灣",2024/7/7,22,30.69631606,27.82184714,34.95218859,14.22424809,37.05928083,63000040006,0.149033893,0.516312955,72.8,41381.63,44.2588285,33.5165997,0,0,0,0,0,0,1,0,0,1,81,72,0,9,2,1,0,4,0,81,"c(121.524161026592, 25.0573860178969)",臺北捷運雙連站_R12,364.8092569,1386.133607,1297.165805,1
臺北市中山區中山北路二段７７巷１２號九樓之１,16600000,391325,0,0,63000,中山區,房地(土地+建物),25.05738602,121.524161,中山里,3.38,商,NA,NA,1130723,土地1建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1121116,42.42,1,1,1,有,有,NA,NA,RPUNMLSLQHJGFCA88EA,23.2,0,4.04,有,NA,"麵店, 中山北路二段77巷, 中山里, 中山區, 南西商圈, 臺北市, 104011, 臺灣",2024/7/23,23,29.89697652,27.89059555,32.69445264,24.07897273,19.5710811,63000040006,0.149033893,0.516312955,72.8,41381.63,44.2588285,33.5165997,0,0,0,0,0,0,1,0,0,1,81,72,0,9,2,1,0,4,0,81,"c(121.524161026592, 25.0573860178969)",臺北捷運雙連站_R12,364.8092569,1386.133607,1297.165805,1
