土地位置建物門牌,緯度,經度,總價元,單價元平方公尺,車位移轉總面積平方公尺,車位總價元,countycode,鄉鎮市區,交易標的,村里,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,車位類別,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,date,.id,t_mean_24h_idw,t_min_idw,t_max_idw,daily_rain_idw,aqi_idw,towncode,MASTER_UP_rate,BACHELOR_UP_rate,Sex_ratio,popdense,Dependency_ratio,Old_ratio,count_anc_500m,count_clean_500m,count_cor_500m,count_cos_500m,count_uni_500m,count_fire_500m,count_gas_500m,count_inc_500m,count_lpg_500m,count_mall_500m,count_mart_500m,count_med_500m,count_nuc_500m,count_phar_500m,count_poli_500m,count_post_500m,count_simpmart_500m,count_temp_500m,count_died_500m,count_shop_500m,geometry,nearest_mrt_name,dist_to_mrt_meter,dist_to_rail_meter,dist_to_thsr_meter,house_age,time_index,nomi_address
臺北市中山區吉林路９８巷４５號,25.0526673051661,121.529423231771,29000000.0,217783.0,0.0,0.0,63000,中山區,房地(土地+建物),中原里,36.69,商,,,1120303,土地3建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,570417,133.16,3,2,2,有,無,,頂樓加蓋；,RPSNMLMJOHIGFCA47DA,133.16,0.0,0.0,無,,2023-03-03,149,16.9672109992281,14.6814122215199,19.6689144417974,0.0,45.384592879482,63000040031.0,0.157149383280037,0.532663316582915,86.14,28854.38,56.066411220923904,40.1660280842382,1,0,0,0,0,0,2,0,0,1,73,61,0,10,0,1,0,1,0,73,"c(121.529423231771, 25.0526673051661)",臺北捷運松江南京站_G15_O08,349.515577921585,1496.7222861825,1371.78635587615,55,1,
臺北市中山區四平街１０７號六樓,25.0537400157441,121.535810027987,12600000.0,273556.0,0.0,0.0,63000,中山區,房地(土地+建物),中央里,9.82,住,,,1120419,土地1建物1車位0,六層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,900827,46.06,1,1,1,有,有,,陽台外推；夾層；其他增建；,RPPNMLSLMHIGFCA77DA,21.01,2.44,2.43,有,576.0,2023-04-19,150,24.6664028648686,22.5441298278592,29.4986965156131,23.3535159172699,56.187631247791,63000040033.0,0.155464824120603,0.563756281407035,87.73,14642.91,53.7357534597992,32.925284916452,1,0,0,0,0,0,0,0,0,0,61,46,0,9,1,1,0,0,0,61,"c(121.535810027987, 25.0537400157441)",臺北捷運松江南京站_G15_O08,332.338808753399,2142.14431287411,2015.06375094973,22,1,
臺北市中山區四平街３０號五樓,25.0535800052125,121.531940019472,16660000.0,229761.0,0.0,0.0,63000,中山區,房地(土地+建物),中吉里,21.4,住,,,1120204,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,571120,72.51,3,2,2,有,無,,陽台外推；頂樓加蓋；其他增建；,RPQNMLKKLHIGFCA86DA,67.98,0.0,4.53,無,1498.0,2023-02-04,151,17.4673366256438,16.2679301803134,18.5115215489415,0.0,38.142674689577106,63000040030.0,0.159015715467328,0.569478908188586,87.08,29221.31,54.994511510704,32.0252469725507,0,0,0,0,0,0,1,0,0,0,64,68,0,10,1,1,0,0,0,64,"c(121.531940019472, 25.0535800052125)",臺北捷運松江南京站_G15_O08,162.700782585576,1770.03437997071,1644.96312995809,55,1,
臺北市中山區基湖路１５１巷２１號二樓,25.077690004873,121.564319981991,10280000.0,262513.0,0.0,0.0,63000,中山區,房地(土地+建物),金泰里,15.82,住,,,1120501,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,930630,39.16,1,1,1,有,有,,陽台外推；夾層；其他增建；,RPPOMLRKNHIGFCA77DA,21.59,0.0,2.46,有,147.0,2023-05-01,153,22.1922988856216,19.4399030318402,24.6971352973857,0.0,45.5473348926588,63000040041.0,0.185761637123505,0.594610174376711,90.9,7291.66,41.334033606209,19.6953781478124,0,0,0,0,0,0,1,0,0,0,10,7,0,0,0,0,0,1,0,10,"c(121.564319981991, 25.0776900048729)",臺北捷運西湖站_BR16,572.69775859255,3453.14681431004,5095.55700419969,19,1,
臺北市中山區大直街１２４巷１６號三樓,25.0844599842487,121.548910020641,16280000.0,220566.0,0.0,0.0,63000,中山區,房地(土地+建物),大直里,18.14,住,,,1120218,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,820211,73.81,2,1,1,有,無,,,RPXOMLKKLHIGFCA67DA,54.78,4.73,6.07,無,1550.0,2023-02-18,157,20.8008661792409,15.7611943648706,27.2498951269228,0.0,65.2864544004468,63000040014.0,0.185735512630015,0.607456436579765,87.92,13370.66,62.8534226073561,37.0349702312063,0,0,0,0,1,0,1,0,0,0,18,38,0,10,0,1,0,2,0,18,"c(121.548910020641, 25.0844599842487)",臺北捷運大直站_BR14,591.62752626915,4899.14359455821,5194.35750570896,30,1,
臺北市中山區大直街１２７巷１５號四樓,25.0833300198816,121.548640039539,16500000.0,249094.0,0.0,0.0,63000,中山區,房地(土地+建物),大直里,18.35,住,,,1120109,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,710113,66.24,2,2,1,有,無,,陽台外推；,RPPNMLKLLHIGFCA96EA,57.5,0.0,8.74,無,,2023-01-09,158,20.4288040164044,17.9041303359005,24.4475060726683,3.21687868383894,72.3064707686447,63000040014.0,0.185735512630015,0.607456436579765,87.92,13370.66,62.8534226073561,37.0349702312063,0,0,0,0,1,0,1,0,0,0,22,43,0,11,0,1,0,2,0,22,"c(121.548640039539, 25.0833300198816)",臺北捷運大直站_BR14,466.04896476668495,4816.83365934739,5079.59425077177,41,1,
臺北市中山區大直街２巷２１號,25.0809200131711,121.545419963796,20280000.0,313835.0,0.0,0.0,63000,中山區,房地(土地+建物),大直里,23.5,住,,,1120116,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,680105,64.62,2,2,1,有,無,,平台外移、空地加蓋其他增建；,RPQNMLQKMHIGFCA57DA,56.21,8.41,0.0,無,,2023-01-16,159,12.6926393245452,12.1999284084164,13.3473705796183,0.0,29.9385156680062,63000040014.0,0.185735512630015,0.607456436579765,87.92,13370.66,62.8534226073561,37.0349702312063,0,0,0,0,1,0,0,0,0,0,18,33,0,10,1,3,0,1,1,18,"c(121.545419963796, 25.0809200131711)",臺北捷運大直站_BR14,200.514509314944,4761.50521317125,4668.53484911902,44,1,
臺北市中山區大直街４６巷１１號三樓,25.0821700063917,121.545769992073,27720000.0,223837.0,0.0,0.0,63000,中山區,房地(土地+建物),大直里,36.62,住,,,1120415,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,740926,123.84,3,2,2,有,無,,其他增建；,RPTOMLQLMHIGFCA08DA,112.01,0.0,11.83,無,,2023-04-15,160,22.8915726900392,20.3823182081057,25.5098905100486,10.0681581344025,78.3604015107937,63000040014.0,0.185735512630015,0.607456436579765,87.92,13370.66,62.8534226073561,37.0349702312063,0,0,0,0,1,0,0,0,0,0,19,35,0,10,1,3,0,2,1,19,"c(121.545769992073, 25.0821700063917)",臺北捷運大直站_BR14,307.555635998997,4891.6671118002,4799.79804851545,38,1,
臺北市中山區大直街６７巷２８號四樓,25.0836899807135,121.547839986881,18680000.0,210859.0,0.0,0.0,63000,中山區,房地(土地+建物),大直里,30.75,住,,,1120428,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,650913,88.59,3,2,1,有,無,,陽台外推；頂樓加蓋；,RPRPMLPJOHIGFCA87DA,78.74,0.0,9.85,無,,2023-04-28,161,24.5385970863764,21.0427562269618,29.9408116427754,0.0,54.8795505295095,63000040014.0,0.185735512630015,0.607456436579765,87.92,13370.66,62.8534226073561,37.0349702312063,0,0,0,0,1,0,1,0,0,0,20,36,0,11,0,1,0,2,0,20,"c(121.547839986881, 25.0836899807135)",臺北捷運大直站_BR14,476.491014572312,4898.30996367412,5060.60745925289,47,1,
臺北市中山區天祥路８０號六樓之７,25.0640200008936,121.52036000114,21200000.0,266800.0,36.17,2500000.0,63000,中山區,房地(土地+建物)+車位,集英里,7.68,商,,,1120416,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,931203,106.26,4,2,1,有,有,坡道平面,陽台外推；夾層；其他增建；,RPSNMLOJNHIGFCA57DA,40.94,1.13,6.8,有,,2023-04-16,164,24.1846478828417,19.0183968176247,30.1090272390154,0.0,84.9280645184026,63000040008.0,0.129278830176138,0.514955134596211,80.95,20005.56,54.2025148788435,32.8480035224249,1,0,0,0,1,0,0,0,0,0,46,53,0,6,0,2,0,5,0,46,"c(121.52036000114, 25.0640200008936)",臺北捷運民權西路站_O11_R13,182.076671569007,1886.76583027146,1842.78617801288,19,1,
臺北市中山區天祥路８０號四樓之１１,25.0640200008936,121.52036000114,12550000.0,295364.0,0.0,0.0,63000,中山區,房地(土地+建物),集英里,3.91,商,,,1120311,土地1建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,931203,42.49,1,1,1,有,有,,陽台外推；夾層；其他增建；,RPXOMLKKMHIGFCA77DA,24.09,0.92,4.14,有,,2023-03-11,165,22.9343579718938,19.8929815109356,26.9492119603445,0.0,46.779809276395,63000040008.0,0.129278830176138,0.514955134596211,80.95,20005.56,54.2025148788435,32.8480035224249,1,0,0,0,1,0,0,0,0,0,46,53,0,6,0,2,0,5,0,46,"c(121.52036000114, 25.0640200008936)",臺北捷運民權西路站_O11_R13,182.076671569007,1886.76583027146,1842.78617801288,19,1,
臺北市中山區天祥路８２號十三樓之５,25.0640300172679,121.520520011671,18000000.0,256739.0,12.93,0.0,63000,中山區,房地(土地+建物)+車位,集英里,6.06,商,,,1120316,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,931203,70.1,2,2,1,有,有,坡道機械,陽台外推；夾層；其他增建；,RPXNMLSLLHIGFCA48DA,35.18,0.92,2.53,有,,2023-03-16,166,22.1849428510009,19.8828046357896,24.5774626355559,0.0,51.761865289622094,63000040008.0,0.129278830176138,0.514955134596211,80.95,20005.56,54.2025148788435,32.8480035224249,1,0,0,0,1,0,0,0,0,0,45,52,0,6,0,2,0,5,0,45,"c(121.520520011671, 25.0640300172679)",臺北捷運民權西路站_O11_R13,191.479622762736,1891.91968271664,1846.92723385787,19,1,
臺北市中山區安東街１６巷３０號二樓,25.0449699885421,121.540189991491,5000000.0,153139.0,0.0,0.0,63000,中山區,房地(土地+建物),埤頭里,6.95,住,,,1120214,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,720621,32.66,3,2,2,有,有,,所有稅費含契稅、土增稅、印花稅、登記費等均由買方支付，代書費由買賣雙方各案一半支付。親友、員工、共有人或其他特殊關係間之交易；,RPQNMLKLKHIGFCA86DA,24.4,0.0,3.6,有,1555.0,2023-02-14,167,13.3987758310214,12.5426636333404,15.1144690757668,0.131500272744645,33.3021126760669,63000040037.0,0.14668498797664,0.517347990381312,92.38,17477.64,50.2158273140452,37.122302140468896,0,0,0,0,1,0,2,0,0,4,36,65,0,13,1,1,1,1,0,37,"c(121.540189991491, 25.0449699885421)",臺北捷運忠孝新生站_BL14_O07,781.938233919692,2486.55222902934,2360.63732086559,40,1,
臺北市中山區市民大道三段１６７號九樓,25.0447699963324,121.540759960907,60000000.0,217999.0,0.0,0.0,63000,中山區,房地(土地+建物)+車位,埤頭里,44.22,住,,,1120216,土地1建物1車位2,九層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970125,275.23,3,2,4,有,有,坡道機械,,RPWPMLLJJIHGFCA57EA,145.21,6.86,8.26,有,,2023-02-16,168,15.4912266759346,13.2424123921774,17.7480823233792,0.0,36.6322739934278,63000040037.0,0.14668498797664,0.517347990381312,92.38,17477.64,50.2158273140452,37.122302140468896,0,0,0,0,1,0,2,0,0,4,36,72,0,14,1,1,1,1,0,37,"c(121.540759960907, 25.0447699963324)",臺北捷運忠孝新生站_BL14_O07,826.114900286517,2546.25995947421,2420.54012296813,15,1,
臺北市中山區市民大道三段１６９號二樓之１,25.0447699963324,121.54078996812,12250000.0,177588.0,0.0,0.0,63000,中山區,房地(土地+建物),埤頭里,8.62,住,,,1120421,土地1建物1車位0,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970602,68.98,1,1,1,有,有,,夾層；,RPRNMLKKNHIGFCA27EA,24.39,1.71,3.41,有,462.0,2023-04-21,169,21.1069511109608,19.8577989934561,22.8275171650895,11.3694893131293,42.1987753661881,63000040037.0,0.14668498797664,0.517347990381312,92.38,17477.64,50.2158273140452,37.122302140468896,0,0,0,0,1,0,2,0,0,4,36,74,0,14,1,1,1,1,0,37,"c(121.54078996812, 25.0447699963324)",臺北捷運忠孝新生站_BL14_O07,828.9302773001,2549.26611736937,2423.54128061003,15,1,
