土地位置建物門牌,總價元,單價元平方公尺,車位移轉總面積平方公尺,車位總價元,countycode,鄉鎮市區,交易標的,緯度,經度,村里,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,車位類別,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,nomi_address,date,.id,t_mean_24h_idw,t_min_idw,t_max_idw,daily_rain_idw,aqi_idw,towncode,MASTER_UP_rate,BACHELOR_UP_rate,Sex_ratio,popdense,Dependency_ratio,Old_ratio,count_anc_500m,count_clean_500m,count_cor_500m,count_cos_500m,count_uni_500m,count_fire_500m,count_gas_500m,count_inc_500m,count_lpg_500m,count_mall_500m,count_mart_500m,count_med_500m,count_nuc_500m,count_phar_500m,count_poli_500m,count_post_500m,count_simpmart_500m,count_temp_500m,count_died_500m,count_shop_500m,geometry,nearest_mrt_name,dist_to_mrt_meter,dist_to_rail_meter,dist_to_thsr_meter,house_age
臺北市中山區天祥路８０號五樓之５,21000000,299615,0,0,63000,中山區,房地(土地+建物),25.06396598,121.520529,集英里,6.63,商,NA,NA,1131022,土地1建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,931203,70.09,3,2,1,有,有,NA,NA,RPUNMLRLJIJGFCA08DA,40.91,1.13,6.8,有,NA,"82號, 天祥路, 集英里, 中山區, 雙連, 臺北市, 104, 臺灣",2024/10/22,39,25.6518134,23.9084942,27.6090784,2.522418165,35.37535264,63000040008,0.130807249,0.521087315,79.87,20154.39,55.76199955,34.26233134,1,0,0,0,1,0,0,0,0,0,45,52,0,6,0,2,0,5,0,45,"c(121.520528980308, 25.0639659795277)",臺北捷運民權西路站_O11_R13,186.130314,1885.298276,1840.143809,20
臺北市中山區建國北路三段６４號六樓,19680000,209562,0,0,63000,中山區,房地(土地+建物),25.065358,121.536096,行政里,17.69,住,NA,NA,1131104,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,710723,93.91,2,1,1,有,有,NA,NA,RPWNMLRJJIJGFCA08DA,80.31,0,13.6,有,49,"64號, 建國北路三段, 行政里, 中山區, 下埤頭, 臺北市, 104, 臺灣",2024/11/4,40,24.71692156,23.3557893,26.99801384,0,39.47848233,63000040024,0.087461774,0.40795107,103.05,39222.65,52.63961604,42.67015706,0,1,0,0,0,1,1,0,0,0,37,28,0,7,1,1,2,3,3,39,"c(121.536096018523, 25.0653580040975)",臺北捷運行天宮站_O09,626.2028394,2852.202114,2749.027576,42
臺北市中山區德惠街１２號四樓之７,19350000,281782,0,0,63000,中山區,房地(土地+建物),25.06656198,121.523756,晴光里,6.8,商,NA,NA,1131004,土地1建物1車位0,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1121220,68.67,2,1,1,有,有,NA,NA,RPPPMLSJIIJGFCA57DA,41.25,0,3.38,有,NA,"10號, 德惠街, 晴光里, 中山區, 雙連, 臺北市, 104, 臺灣",2024/10/4,44,25.36838241,24.14217214,27.4342019,6.708918084,42.22645656,63000040011,0.144424496,0.533213645,71.44,50707.91,51.24079628,36.70575401,0,0,0,0,1,0,0,0,0,0,31,33,0,9,0,2,0,2,0,31,"c(121.52375601303, 25.0665619806696)",臺北捷運中山國小站_O10,514.3360177,2259.945853,2201.323787,1
臺北市中山區德惠街４５號五樓之１９,580000,180685,0,0,63000,中山區,房地(土地+建物),25.06674299,121.526995,圓山里,0.4,商,NA,NA,1131106,土地1建物1車位0,五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,681215,3.21,0,0,0,無,有,NA,NA,RPRNMLQLJIJGFCA77EA,2.61,0,0,有,149,"47號, 德惠街, 圓山里, 中山區, 雙連, 臺北市, 104, 臺灣",2024/11/6,45,21.21984506,19.73076191,21.87874585,0,44.51229397,63000040012,0.126631491,0.498750347,79.59,6419.01,48.71316671,34.31555388,1,0,0,0,1,1,0,0,0,0,41,29,0,11,0,1,1,3,0,42,"c(121.526995031874, 25.0667429878687)",臺北捷運中山國小站_O10,438.4090843,2414.521648,2341.695834,45
臺北市中山區德惠街７９巷２號,6500000,251353,0,0,63000,中山區,房地(土地+建物),25.06688502,121.528449,新庄里,9.56,住,NA,NA,1131110,土地2建物1車位0,一層，騎樓,四層,公寓(5樓含以下無電梯),住家用,加強磚造,590422,25.86,0,0,0,無,無,NA,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLKLJIJGFCA37EA,25.86,0,0,無,NA,"2號, 德惠街79巷, 新庄里, 中山區, 雙連, 臺北市, 104, 臺灣",2024/11/10,46,24.05163483,23.18078796,25.42444552,0,25.81405933,63000040019,0.101542112,0.440569395,85.72,7289.44,50.27588444,36.80623173,1,0,0,0,0,1,0,0,0,0,38,26,0,12,0,1,2,3,0,40,"c(121.528449040618, 25.066885019218)",臺北捷運中山國小站_O10,485.2906268,2500.566589,2422.426299,54
臺北市中山區撫順街２３號十三樓之１,44100000,286997,0,0,63000,中山區,房地(土地+建物),25.063625,121.52039,集英里,13.74,商,NA,NA,1131024,土地1建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,931203,153.66,3,2,2,有,有,NA,陽臺外推；,RPROMLSLIIJGFCA87DA,84.78,2.29,12.12,有,627,"25號, 撫順街, 集英里, 中山區, 雙連, 臺北市, 104, 臺灣",2024/10/24,47,22.97972107,21.61020275,24.04879694,6.3149445,36.63045002,63000040008,0.130807249,0.521087315,79.87,20154.39,55.76199955,34.26233134,1,0,0,0,1,0,0,0,0,0,47,53,0,6,0,2,0,5,0,47,"c(121.520390008353, 25.0636250037065)",臺北捷運民權西路站_O11_R13,147.5084054,1845.194473,1800.381429,20
臺北市中山區撫順街６之１號六樓之５,9050000,257761,0,0,63000,中山區,房地(土地+建物),25.06368799,121.52156,集英里,5.4,商,NA,NA,1131014,土地1建物1車位0,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,711116,35.11,1,1,1,有,有,NA,NA,RPROMLLJJIJGFCA07DA,27.01,0,0,有,346,"6之1號, 撫順街, 集英里, 中山區, 雙連, 臺北市, 104, 臺灣",2024/10/14,49,28.70171327,26.23339173,31.96929417,0,33.05677391,63000040008,0.130807249,0.521087315,79.87,20154.39,55.76199955,34.26233134,1,0,0,0,1,0,0,0,0,0,51,58,0,9,0,4,0,5,0,51,"c(121.521560038217, 25.0636879937089)",臺北捷運民權西路站_O11_R13,243.4267158,1885.516114,1833.346832,42
臺北市中山區新生北路一段１０２巷１０號七樓之４,11000000,236153,0,0,63000,中山區,房地(土地+建物),25.04871201,121.528544,正義里,7.25,商,NA,NA,1131118,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,761217,46.58,1,1,1,有,有,NA,NA,RPWNMLTKJIJGFCA38DA,38.15,1.13,0,有,NA,"8號, 新生北路一段102巷, 正義里, 中山區, 華山, 臺北市, 104, 臺灣",2024/11/18,50,20.07311049,18.69241485,22.09453855,4.544392498,37.04719294,63000040002,0.120332836,0.480691274,74.36,38755.04,47.75056946,33.45671981,1,0,0,0,0,0,1,0,0,0,54,43,0,7,0,0,0,0,0,54,"c(121.528544007581, 25.0487120053958)",臺北捷運松江南京站_G15_O08,596.698527,1301.957091,1172.148023,37
臺北市中山區新生北路一段４６號十二樓,25500000,259542,0,0,63000,中山區,房地(土地+建物),25.04639399,121.531287,正守里,9.86,商,NA,NA,1131012,土地1建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,770613,98.24,3,2,2,有,有,NA,陽臺外推；,RPVOMLNLIIJGFCA77DA,83.22,0.58,8.3,有,NA,"Kiosk, 40, 新生北路一段, 正守里, 中山區, 華山, 臺北市, 10455, 臺灣",2024/10/12,51,25.67248745,23.68935446,27.73009983,0,35.52423562,63000040001,0.161841646,0.548657133,89.79,28488.68,55.46421661,38.63636362,1,0,0,0,0,2,0,0,0,0,26,37,0,4,0,2,0,0,0,26,"c(121.531286985395, 25.0463939900726)",臺北捷運忠孝新生站_BL14_O07,519.683141,1577.015869,1450.147299,36
臺北市中山區新生北路三段６１號三樓之１５,20500000,194405,0,0,63000,中山區,房地(土地+建物),25.06597902,121.528078,新庄里,13.63,住,NA,NA,1131027,土地4建物1車位0,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,650907,105.45,3,2,1,有,有,NA,NA,RPUQMLLKJIJGFCA67DA,71.66,0,7.14,有,587,"63號, 新生北路三段, 新庄里, 中山區, 南西商圈, 臺北市, 104, 臺灣",2024/10/27,53,28.21045116,25.81246198,31.26994091,0.180513559,19.59797884,63000040019,0.101542112,0.440569395,85.72,7289.44,50.27588444,36.80623173,1,0,0,0,0,1,0,0,0,0,43,31,0,14,0,1,2,2,0,45,"c(121.528077973764, 25.0659790193038)",臺北捷運中山國小站_O10,378.1848647,2395.32387,2316.425522,48
