土地位置建物門牌,總價元,單價元平方公尺,車位移轉總面積平方公尺,車位總價元,countycode,鄉鎮市區,交易標的,緯度,經度,村里,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,車位類別,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,date,.id,t_mean_24h_idw,t_min_idw,t_max_idw,daily_rain_idw,aqi_idw,towncode,MASTER_UP_rate,BACHELOR_UP_rate,Sex_ratio,popdense,Dependency_ratio,Old_ratio,count_anc_500m,count_clean_500m,count_cor_500m,count_cos_500m,count_uni_500m,count_fire_500m,count_gas_500m,count_inc_500m,count_lpg_500m,count_mall_500m,count_mart_500m,count_med_500m,count_nuc_500m,count_phar_500m,count_poli_500m,count_post_500m,count_simpmart_500m,count_temp_500m,count_died_500m,count_shop_500m,geometry,nearest_mrt_name,dist_to_mrt_meter,dist_to_rail_meter,dist_to_thsr_meter,house_age
臺北市中山區中山北路一段１２１巷９號,1000000,13275,0,0,63000,中山區,建物,25.05117302,121.523504,正得里,0,NA,NA,NA,1121101,土地0建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,570229,75.33,8,8,0,有,無,NA,親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；,RPWNMLMLJIIGFCA67DA,75.33,0,0,無,NA,2023/11/1,6,25.02845914,22.79704442,27.96123714,0,33.1601715,63000040003,0.151625646,0.554542692,76.72,24765.25,51.00083401,37.23936612,0,0,0,0,0,0,0,0,0,3,60,57,0,6,2,1,0,1,0,60,"c(121.523503969202, 25.0511730159871)",臺北捷運中山站_G14_R11,459.0865442,884.5611739,763.7857135,55
臺北市中山區中山北路一段５３巷２６號,15100000,265285,0,0,63000,中山區,房地(土地+建物),25.04880098,121.523648,正得里,9.32,商,NA,NA,1121010,土地1建物1車位0,六層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,971030,56.92,1,1,1,有,有,NA,NA,RPPNMLKKIIIGFCA56DA,30.88,0,5.11,有,NA,2023/10/10,7,24.41782243,23.27449115,26.18113995,0.20313978,34.78049516,63000040003,0.151625646,0.554542692,76.72,24765.25,51.00083401,37.23936612,1,0,0,0,0,2,1,0,0,1,57,44,0,7,2,3,0,1,0,57,"c(121.523647970298, 25.048800979298)",臺北捷運善導寺站_BL13,459.3226134,813.6652147,683.9911494,15
臺北市中山區中山北路一段８４號,12500000,245676,0,1300000,63000,中山區,房地(土地+建物)+車位,25.04919799,121.521068,民安里,3.92,商,NA,NA,1121025,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980327,50.88,0,0,1,有,有,升降機械,NA,RPRNMLKMJIIGFCA17EA,24.55,1.35,0,有,NA,2023/10/25,9,26.23453002,24.55567083,29.34888358,0,28.76416382,63000040004,0.147832817,0.531475748,87.14,19125.48,61.14413074,43.98216937,0,0,0,0,0,2,1,0,0,4,52,63,0,7,2,5,0,1,0,52,"c(121.521068020501, 25.0491979881419)",臺北捷運中山站_G14_R11,452.7782971,571.8808498,445.495489,14
臺北市中山區中山北路三段２８號,20136666.67,169362,0,0,63000,中山區,房地(土地+建物),25.065228,121.522008,集英里,13.4,商,NA,NA,1121018,土地1建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,730217,125.8,1,2,1,有,有,NA,頂樓加蓋；,RPOOMLNKJIIGFCA96DA,101.04,0,2.81,有,NA,2023/10/18,10,27.30501999,25.00126511,30.33907002,0,62.1514913,63000040008,0.12927883,0.514955135,80.54,19971.22,54.24403182,33.02387267,1,0,0,0,1,0,0,0,0,0,45,51,0,11,0,3,0,4,0,45,"c(121.522007967123, 25.0652280007793)",臺北捷運民權西路站_O11_R13,388.5195081,2061.695742,2009.811377,39
臺北市中山區中山北路三段５３號,34820000,337752.5,21.675,1700000,63000,中山區,房地(土地+建物)+車位,25.06771101,121.522906,圓山里,11.11,商,NA,NA,1121023,土地1建物1車位1,六層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101013,141.41,0,0,0,無,有,坡道平面,NA,RPOOMLQLIIIGFCA27DA,52.82,0,12.24,有,755,2023/10/23,11,25.96590501,24.49903989,28.93687345,0,30.03469355,63000040012,0.122477191,0.487420514,81.16,6501.12,47.69568396,32.29700072,1,0,0,0,1,0,0,0,0,0,29,26,0,8,0,2,0,4,0,29,"c(121.522906004229, 25.0677110138665)",臺北捷運圓山站_R14,452.5310845,2351.266625,2298.87922,2
臺北市中山區中山北路二段３６巷１２號,18500000,241641,0,0,63000,中山區,房地(土地+建物),25.05426502,121.521802,民安里,22.25,住,NA,NA,1121017,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,560110,76.56,0,1,1,有,無,NA,NA,RPRNMLKKJIIGFCA96EA,76.56,0,0,無,NA,2023/10/17,13,25.10520373,23.48708473,27.01821687,0,82.33492104,63000040004,0.147832817,0.531475748,87.14,19125.48,61.14413074,43.98216937,0,0,0,0,0,1,0,0,0,3,82,86,0,13,4,1,0,4,0,82,"c(121.521802023762, 25.0542650162495)",臺北捷運中山站_G14_R11,278.2070341,967.4952054,877.4835956,56
臺北市中山區中山北路二段６２巷３５號,15750000,285563,7.44,2300000,63000,中山區,房地(土地+建物)+車位,25.05675398,121.520934,民安里,7.95,商,NA,NA,1121014,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070726,54.54,1,1,1,有,無,升降機械,NA,RPUNMLMLJIIGFCA47DA,24.04,3.15,0,有,NA,2023/10/14,17,24.17241159,23.44882754,25.76236971,0,45.50038476,63000040004,0.147832817,0.531475748,87.14,19125.48,61.14413074,43.98216937,0,0,0,0,0,1,0,0,0,2,76,87,0,8,2,1,0,6,0,76,"c(121.520933993869, 25.0567539804879)",臺北捷運雙連站_R12,118.3806423,1150.57908,1082.259092,5
臺北市中山區中山北路二段６２巷９號,7700000,302198,0,0,63000,中山區,房地(土地+建物),25.05674501,121.522014,民安里,4.71,住,NA,NA,1121010,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,971031,25.48,0,1,1,有,有,NA,NA,RPPNMLRLIIIGFCA47EA,11.33,1.25,2.97,有,294,2023/10/10,18,24.45444681,23.33655813,26.13395723,0.309561428,34.36429431,63000040004,0.147832817,0.531475748,87.14,19125.48,61.14413074,43.98216937,0,0,0,0,0,1,0,0,0,3,84,76,0,10,2,1,0,7,0,84,"c(121.522014002093, 25.0567450118515)",臺北捷運雙連站_R12,184.7073191,1203.584327,1126.066797,15
臺北市中山區北安路６２１巷６弄２４號,18500000,224052,0,0,63000,中山區,房地(土地+建物),25.08250398,121.54827,大直里,28,住,NA,NA,1121005,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,651014,82.57,3,2,1,有,無,NA,陽台外推；,RPPOMLKMIIIGFCA86DA,70.58,0,11.99,無,NA,2023/10/5,21,27.14344306,25.31842477,29.54774461,21.65776632,33.18279953,63000040014,0.185735513,0.607456437,87.57,13392.04,63.96783843,38.42557965,0,0,0,0,1,0,1,0,0,0,24,43,0,11,0,2,0,2,0,24,"c(121.548269978514, 25.0825039833237)",臺北捷運大直站_BR14,367.3905136,4768.971965,4985.058275,47
臺北市中山區北安路７８９號,24680000,302199,12.8,2000000,63000,中山區,房地(土地+建物)+車位,25.08562302,121.553869,北安里,8.77,住,NA,NA,1121009,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020904,87.84,2,2,2,有,有,塔式車位,夾層；,RPXOMLNLIIIGFCA87DA,39.41,4.44,3.65,有,557,2023/10/9,22,25.45613811,24.14212041,27.14657212,2.291788851,33.31286561,63000040042,0.162736939,0.563106796,89.13,5556.1,57.34445153,38.74278381,0,0,0,0,0,0,1,0,0,1,6,12,0,1,0,0,0,2,0,6,"c(121.553869006016, 25.0856230152238)",臺北捷運劍南路站_BR15,154.046372,4723.724635,5614.365435,10
