土地位置建物門牌,總價元,單價元平方公尺,車位移轉總面積平方公尺,車位總價元,countycode,鄉鎮市區,交易標的,緯度,經度,村里,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,車位類別,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,date,.id,t_mean_24h_idw,t_min_idw,t_max_idw,daily_rain_idw,aqi_idw,towncode,MASTER_UP_rate,BACHELOR_UP_rate,Sex_ratio,popdense,Dependency_ratio,Old_ratio,count_anc_500m,count_clean_500m,count_cor_500m,count_cos_500m,count_uni_500m,count_fire_500m,count_gas_500m,count_inc_500m,count_lpg_500m,count_mall_500m,count_mart_500m,count_med_500m,count_nuc_500m,count_phar_500m,count_poli_500m,count_post_500m,count_simpmart_500m,count_temp_500m,count_died_500m,count_shop_500m,geometry,nearest_mrt_name,dist_to_mrt_meter,dist_to_rail_meter,dist_to_thsr_meter,house_age
臺北市士林區忠義街７８巷７號五樓,18620000,184887,0,0,63000,士林區,房地(土地+建物),25.10639098,121.531462,聖山里,25.67,住,NA,NA,1130430,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,壁式預鑄鋼筋混凝土造,680625,100.71,3,2,2,有,無,NA,陽台外推；頂樓加蓋；,RPPOMLKMNHJGFEA57DA,87.42,0,13.29,無,851,2024/4/30,854,27.53731519,23.29470604,32.34331502,3.471303933,52.59512805,63000110029,0.173520109,0.575011297,86.14,46034.85,54.23832922,36.08722358,0,0,0,0,0,0,0,0,0,0,21,26,0,12,0,2,0,0,0,21,"c(121.531461999533, 25.1063909824502)",臺北捷運芝山站_R17,1005.941262,6711.630792,6666.300446,45
臺北市士林區忠義街９１巷１６號五樓,18880000,157242,0,0,63000,士林區,房地(土地+建物),25.106149,121.533035,岩山里,31.72,住,NA,NA,1130404,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,750220,120.07,5,3,4,有,無,NA,頂樓加蓋；,RPXNMLRJNHJGFEA68DA,104.54,0,12.71,無,NA,2024/4/4,855,25.82053538,22.11344858,29.75228536,0.528251937,72.3220968,63000110025,0.155586495,0.52453881,86.89,6820.18,58.12086872,39.51841358,0,0,0,0,0,0,0,0,0,0,14,18,0,10,0,1,0,0,0,14,"c(121.533035031302, 25.1061489969055)",臺北捷運芝山站_R17,1137.601828,6725.08407,6676.850627,38
臺北市士林區忠誠路一段１６巷２９號五樓,30000000,267547,0,0,63000,士林區,房地(土地+建物)+車位,25.10585198,121.525954,忠誠里,28.55,住,NA,NA,1130411,土地1建物1車位2,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,821229,112.13,4,2,2,有,有,升降機械,只有過戶1/2間親友、員工、共有人或其他特殊關係間之交易；,RPQNMLKMMHJGFEA57EA,70.49,1.93,4.99,有,329,2024/4/11,856,24.73186763,21.44266428,28.39569711,0,63.74822094,63000110030,0.170407315,0.575020781,86.75,36448.83,58.68725867,41.69884169,0,0,0,0,0,0,0,0,0,1,31,36,0,8,1,1,0,0,0,31,"c(121.5259539995, 25.1058519841665)",臺北捷運芝山站_R17,530.3404757,6543.197182,6507.847562,31
臺北市士林區忠誠路一段１７３巷２４號二樓,20000000,176056,0,0,63000,士林區,房地(土地+建物),25.108206,121.531888,聖山里,30.26,住,NA,NA,1130430,土地5建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,681217,113.6,4,2,2,有,無,NA,NA,RPQNMLTLNHJGFEA48EA,101.1,0,12.5,無,NA,2024/4/30,857,27.49011952,23.25203346,32.32565973,3.497291542,52.62241397,63000110029,0.173520109,0.575011297,86.14,46034.85,54.23832922,36.08722358,0,0,0,0,0,0,0,0,0,1,29,32,0,15,0,2,0,0,0,29,"c(121.531887967853, 25.1082059997638)",臺北捷運芝山站_R17,1149.205349,6917.13276,6871.873238,45
臺北市士林區忠誠路二段２１巷１６號七樓,67330000,308521,47.44,3500000,63000,士林區,房地(土地+建物)+車位,25.10923002,121.531452,三玉里,43.49,住,NA,NA,1130505,土地1建物2車位2,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,980416,254.32,3,2,2,有,有,坡道機械,2車位為子母車位，價格共計為新台幣350萬元整，不單獨拆價。陽台外推；其他增建；,RPOPMLKLNHJGFEA47DA,127.85,7.19,10.73,有,NA,2024/5/5,859,27.15609605,24.11131625,31.78501841,0,60.93777137,63000110033,0.162439614,0.560990338,87.03,10797.75,59.52446777,39.25905445,0,0,0,0,0,0,0,0,0,1,35,37,0,15,0,2,1,0,0,36,"c(121.531452025069, 25.1092300168747)",臺北捷運芝山站_R17,1185.981715,7017.321638,6973.258123,15
臺北市士林區承德路四段１巷７號二樓,10000000,139704,0,0,63000,士林區,房地(土地+建物),25.078495,121.521749,明勝里,24.25,住,NA,NA,1130429,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,580802,71.58,3,2,1,有,無,NA,陽台外推；其他增建；,RPSNMLRKNHJGFEA28DA,71.58,0,0,無,NA,2024/4/29,860,28.97119614,24.24705191,34.23656761,0,46.93053083,63000110014,0.120248625,0.484341382,92.65,16350.14,53.48684209,37.79605262,0,0,0,0,0,0,0,0,0,0,8,11,0,3,0,1,1,3,0,9,"c(121.521748966315, 25.0784950028539)",臺北捷運劍潭站_R15,601.1968894,3484.508926,3448.056337,55
臺北市士林區承德路四段４０巷２號三樓之６,6100000,171348,0,0,63000,士林區,房地(土地+建物),25.08078402,121.522128,福華里,12.82,住,NA,NA,1130515,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,591008,35.6,1,1,1,有,有,NA,NA,RPSNMLNJOHJGFEA97EA,32.4,1.85,1.35,無,NA,2024/5/15,862,23.54843281,18.44613344,29.2827736,0,52.21908908,63000110013,0.080420894,0.375046975,91.33,40094,48.40637449,33.69023904,0,0,0,0,0,0,0,0,0,0,23,18,0,6,0,1,1,4,0,24,"c(121.522127995976, 25.0807840167921)",臺北捷運劍潭站_R15,389.8877329,3740.840624,3704.45851,54
臺北市士林區承德路四段４０巷２號四樓之３,5800000,162921,0,0,63000,士林區,房地(土地+建物),25.08078402,121.522128,福華里,12.82,住,NA,NA,1130401,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,591008,35.6,2,2,2,有,有,NA,其他增建；,RPOOMLOLMHJGFEA67DA,32.4,1.85,1.35,無,NA,2024/4/1,863,24.52990406,20.55188698,29.61110752,1.492308629,51.57849149,63000110013,0.080420894,0.375046975,91.33,40094,48.40637449,33.69023904,0,0,0,0,0,0,0,0,0,0,23,18,0,6,0,1,1,4,0,24,"c(121.522127995976, 25.0807840167921)",臺北捷運劍潭站_R15,389.8877329,3740.840624,3704.45851,54
臺北市士林區承德路四段４０巷７３號六樓之２,5000000,140449,0,0,63000,士林區,房地(土地+建物),25.08145,121.521128,福華里,11.67,住,NA,NA,1130429,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,591008,35.6,2,1,1,有,有,NA,親友、員工、共有人或其他特殊關係間之交易；,RPXOMLRJNHJGFEA78DA,32.4,1.85,1.35,無,NA,2024/4/29,864,28.94786187,24.24463201,34.19810973,0,46.62215262,63000110013,0.080420894,0.375046975,91.33,40094,48.40637449,33.69023904,0,0,0,0,0,0,0,0,0,0,25,20,0,6,0,1,1,3,0,26,"c(121.521128034927, 25.0814500009089)",臺北捷運劍潭站_R15,441.8606346,3797.680555,3764.979497,54
臺北市士林區承德路四段７０號四樓,4400000,143322,0,0,63000,士林區,房地(土地+建物),25.08191499,121.522773,承德里,9.2,住,NA,NA,1130509,土地1建物1車位0,四層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,650910,30.7,3,1,1,有,無,NA,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLNJOHJGFEA87EA,30.7,0,0,無,NA,2024/5/9,865,23.1336037,21.12138601,25.2898641,0,69.9183748,63000110012,0.147368421,0.53622291,85.07,34029.71,50.13796908,35.54083884,0,0,0,0,0,0,0,0,0,0,21,19,0,6,0,1,1,6,0,22,"c(121.522772983426, 25.0819149869876)",臺北捷運劍潭站_R15,268.9493788,3875.72187,3837.899619,48
