土地位置建物門牌,總價元,單價元平方公尺,車位移轉總面積平方公尺,車位總價元,countycode,鄉鎮市區,交易標的,緯度,經度,村里,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,count_floor,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,車位類別,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,date,.id,t_mean_24h_idw,t_min_idw,t_max_idw,daily_rain_idw,aqi_idw,towncode,MASTER_UP_rate,BACHELOR_UP_rate,Sex_ratio,popdense,Dependency_ratio,Old_ratio,count_anc_500m,count_clean_500m,count_cor_500m,count_cos_500m,count_uni_500m,count_fire_500m,count_gas_500m,count_inc_500m,count_lpg_500m,count_mall_500m,count_mart_500m,count_med_500m,count_nuc_500m,count_phar_500m,count_poli_500m,count_post_500m,count_simpmart_500m,count_temp_500m,count_died_500m,count_shop_500m,geometry,nearest_mrt_name,dist_to_mrt_meter,dist_to_rail_meter,dist_to_thsr_meter,house_age,time_index,nomi_address
臺北市中山區長安東路一段５６巷１弄１２號六樓,32800000.0,286088.0,0.0,0.0,63000,中山區,房地(土地+建物),25.04749101,121.529266,正守里,25.32,商,,,1130711,土地1建物1車位0,六層,6,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1031203,114.65,2,2,1,有,有,,陽台外推；,RPROMLRJQHJGFCA28DA,54.69,8.02,5.16,有,575.0,2024/7/11,197,29.77743336,25.76883365,34.29014295,0.174506487,32.02455085,63000040001.0,0.161841646,0.548657133,89.79,28488.68,55.46421661,38.63636362,1,0,0,0,0,3,1,0,0,0,43,44,0,3,1,1,0,0,0,43,"c(121.529266024721, 25.0474910135602)",臺北捷運松江南京站_G15_O08,652.6568038,1368.132035,1239.470856,10,3,"12號, 長安東路一段56巷1弄, 正守里, 中山區, 華山, 臺北市, 104, 臺灣"
臺北市中山區長安東路二段８１號十二樓之５,16180000.0,229699.0,0.0,0.0,63000,中山區,房地(土地+建物),25.04854298,121.534552,朱園里,5.62,商,,,1130701,土地1建物1車位0,十二層,12,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,720719,70.44,0,0,0,無,有,,,RPPOMLKMPHJGFCA57DA,50.67,0.0,4.95,有,343.0,2024/7/1,202,29.86286982,27.58210547,34.82682379,29.29366484,38.17544661,63000040036.0,0.184835333,0.606586674,81.31,15988.19,55.33707863,37.53511235,0,0,0,0,0,2,0,0,0,0,41,46,0,3,0,2,0,0,0,41,"c(121.534551988139, 25.0485429843182)",臺北捷運松江南京站_G15_O08,457.7373545,1904.859021,1775.318541,41,3,"萬客什鍋, 81, 長安東路二段, 朱園里, 中山區, 朱厝崙, 臺北市, 104, 臺灣"
臺北市中山區長春路４１０號九樓之３,9900000.0,304615.0,0.0,0.0,63000,中山區,房地(土地+建物),25.05441602,121.54375,龍洲里,3.0,商,,,1130801,土地1建物1車位0,九層,9,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,780710,32.5,1,1,1,有,有,,陽台外推；,RPPPMLLLQHJGFCA77DA,20.96,0.9,4.68,有,114.0,2024/8/1,205,30.54323427,26.78081517,34.98109055,0.0,33.7782402,63000040035.0,0.181797549,0.601225602,82.81,68720.14,55.95469254,42.58899675,2,1,0,0,0,0,0,0,0,0,60,93,0,14,0,1,0,2,0,60,"c(121.543750037227, 25.0544160162352)",臺北捷運南京復興站_BR11_G16,265.4095283,2930.788152,2802.206868,35,3,"410號, 長春路, 龍洲里, 中山區, 朱厝崙, 臺北市, 104, 臺灣"
臺北市中山區雙城街１３巷９號四樓之５,42800000.0,282089.0,39.62,3000000.0,63000,中山區,房地(土地+建物)+車位,25.06417201,121.52485,恆安里,12.66,商,,,1130708,土地1建物1車位1,四層,4,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010327,180.71,3,2,2,有,有,坡道平面,其他增建；,RPRNMLLJQHJGFCA57DA,80.94,5.08,9.81,有,,2024/7/8,207,28.65449067,24.50904531,34.34561686,39.00933093,32.02405599,63000040010.0,0.146654852,0.54120514,76.57,38194.49,47.74881515,33.7085308,0,0,0,0,1,0,0,0,0,0,49,52,0,11,0,2,0,3,0,49,"c(121.524850019033, 25.0641720067077)",臺北捷運中山國小站_O10,243.7885575,2062.107535,1992.737689,12,3,"9號, 雙城街13巷, 恆安里, 中山區, 雙連, 臺北市, 104, 臺灣"
臺北市中山區雙城街１９巷８號七樓之１５,8800000.0,254188.0,0.0,0.0,63000,中山區,房地(土地+建物),25.065328,121.524851,晴光里,3.57,商,,,1130719,土地2建物1車位0,七層,7,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970312,34.62,1,1,1,有,有,,夾層；,RPQPMLNJRHJGFCA97DA,20.03,0.32,2.59,有,,2024/7/19,209,31.79813626,29.27045831,34.56544963,0.0,42.99735096,63000040011.0,0.144424496,0.533213645,71.44,50707.91,51.24079628,36.70575401,0,0,0,0,1,0,0,0,0,0,44,43,0,11,0,2,0,3,0,44,"c(121.524851024861, 25.0653279968842)",臺北捷運中山國小站_O10,339.0099918,2177.420922,2110.841811,16,3,"金磚密碼, 8, 雙城街19巷, 晴光里, 中山區, 雙連, 臺北市, 104439, 臺灣"
臺北市中山區雙城街１９巷８號二樓之１６,10000000.0,278164.0,0.0,0.0,63000,中山區,房地(土地+建物),25.065328,121.524851,晴光里,3.81,商,,,1130709,土地2建物1車位0,二層,2,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970312,35.95,1,1,1,有,有,,夾層；,RPUNMLTJQHJGFCA68DA,21.03,0.22,2.59,有,433.0,2024/7/9,210,28.70325128,25.17352724,34.57010611,16.62389106,33.03370241,63000040011.0,0.144424496,0.533213645,71.44,50707.91,51.24079628,36.70575401,0,0,0,0,1,0,0,0,0,0,44,43,0,11,0,2,0,3,0,44,"c(121.524851024861, 25.0653279968842)",臺北捷運中山國小站_O10,339.0099918,2177.420922,2110.841811,16,3,"金磚密碼, 8, 雙城街19巷, 晴光里, 中山區, 雙連, 臺北市, 104439, 臺灣"
臺北市中山區雙城街１９巷８號六樓之１８,10320000.0,269209.0,25.82,1000000.0,63000,中山區,房地(土地+建物)+車位,25.065328,121.524851,晴光里,3.71,商,,,1130715,土地2建物1車位1,六層,6,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970312,60.44,1,1,1,有,有,塔式車位,夾層；,RPUOMLTKQHJGFCA88DA,20.09,0.32,2.59,有,528.0,2024/7/15,211,31.79054088,28.85716043,35.07693155,0.0,26.46851456,63000040011.0,0.144424496,0.533213645,71.44,50707.91,51.24079628,36.70575401,0,0,0,0,1,0,0,0,0,0,44,43,0,11,0,2,0,3,0,44,"c(121.524851024861, 25.0653279968842)",臺北捷運中山國小站_O10,339.0099918,2177.420922,2110.841811,16,3,"金磚密碼, 8, 雙城街19巷, 晴光里, 中山區, 雙連, 臺北市, 104439, 臺灣"
臺北市中山區龍江路３７７巷１８號二樓,24600000.0,212215.0,0.0,0.0,63000,中山區,房地(土地+建物),25.06470099,121.542059,下埤里,40.15,住,,,1130714,土地1建物1車位0,二層,2,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,640626,115.92,3,2,2,有,無,,其他增建；,RPXPMLRJQHJGFCA98DA,98.99,0.0,16.93,無,607.0,2024/7/14,218,31.41635783,27.1061454,35.33658369,0.0,33.68552077,63000040027.0,0.122508433,0.509352959,88.25,37322.83,55.49828178,40.07731958,0,0,0,0,0,0,0,0,0,0,31,35,0,6,0,2,2,0,0,33,"c(121.542058988261, 25.0647009886171)",臺北捷運中山國中站_BR12,477.0219547,3269.585864,3155.895571,49,3,"18號, 龍江路377巷, 下埤里, 中山區, 下埤頭, 臺北市, 104, 臺灣"
臺北市中山區龍江路４１２巷４６號五樓,10000000.0,87481.0,0.0,0.0,63000,中山區,房地(土地+建物),25.06747301,121.539045,行仁里,27.45,商,,,1130730,土地1建物1車位0,五層,5,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,720915,114.31,5,3,3,有,無,,本件賣方賣清全部費用包含增值稅均由買方負擔親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；,RPSNMLNJRHJGFCA08EA,82.21,19.34,12.76,無,,2024/7/30,219,29.76853495,27.5976881,32.97583785,0.0,26.73374349,63000040025.0,0.09567672,0.4179171,87.96,37962.18,50.48484847,35.97979797,0,0,0,0,0,1,1,0,0,0,16,14,0,5,1,0,1,3,0,17,"c(121.539045023517, 25.0674730097258)",臺北捷運中山國中站_BR12,894.5220384,3229.281622,3125.064352,41,3,"48號, 龍江路412巷, 行仁里, 中山區, 下埤頭, 臺北市, 104, 臺灣"
臺北市中山區龍江路４１５巷２１號四樓,15230000.0,159460.0,0.0,0.0,63000,中山區,房地(土地+建物),25.066451,121.542548,下埤里,27.0,住,,,1130707,土地1建物1車位0,四層,4,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,691127,95.51,2,2,2,有,無,,,RPTNMLNKQHJGFCA18EA,82.17,0.0,13.34,無,,2024/7/7,220,30.56550518,27.75495205,35.29224691,1.449887787,37.25276904,63000040027.0,0.122508433,0.509352959,88.25,37322.83,55.49828178,40.07731958,0,0,0,0,0,0,0,0,0,0,20,19,0,4,0,1,2,1,0,22,"c(121.542547988492, 25.0664510042716)",臺北捷運中山國中站_BR12,645.8664464,3424.935141,3313.699694,44,3,"19號, 龍江路415巷, 下埤里, 中山區, 下埤頭, 臺北市, 104, 臺灣"
