土地位置建物門牌,總價元,單價元平方公尺,車位移轉總面積平方公尺,車位總價元,countycode,鄉鎮市區,交易標的,緯度,經度,村里,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,車位類別,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,date,.id,t_mean_24h_idw,t_min_idw,t_max_idw,daily_rain_idw,aqi_idw,towncode,MASTER_UP_rate,BACHELOR_UP_rate,Sex_ratio,popdense,Dependency_ratio,Old_ratio,count_anc_500m,count_clean_500m,count_cor_500m,count_cos_500m,count_uni_500m,count_fire_500m,count_gas_500m,count_inc_500m,count_lpg_500m,count_mall_500m,count_mart_500m,count_med_500m,count_nuc_500m,count_phar_500m,count_poli_500m,count_post_500m,count_simpmart_500m,count_temp_500m,count_died_500m,count_shop_500m,geometry,nearest_mrt_name,dist_to_mrt_meter,dist_to_rail_meter,dist_to_thsr_meter,house_age,,
臺北市中山區北安路４５８巷４７弄１８號,16300000,302805,0,0,63000,中山區,房地(土地+建物),25.07818999,121.54615,永安里,12.64,住,NA,NA,1120703,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,961219,53.83,1,1,1,有,有,NA,NA,RPRNMLMLPHIGFCA67DA,31.01,1.9,2.94,有,507,2023/7/3,22,30.26550565,26.8743627,34.51466842,0,36.31739947,63000040016,0.199924462,0.637164799,84.96,27316.52,51.66884816,29.95746073,0,0,0,0,0,0,0,0,0,0,14,21,0,5,1,2,0,1,1,14,"c(121.546150027563, 25.0781899853974)",臺北捷運大直站_BR14,156.7208023,4559.216395,4481.903911,16,,
臺北市中山區北安路５７８巷８弄９號,27800000,215020,0,0,63000,中山區,房地(土地+建物),25.08047598,121.548754,永安里,32.21,住,NA,NA,1120715,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,710201,129.29,4,2,2,有,無,NA,陽台外推；,RPTOMLTLQHIGFCA78DA,91.38,0,25.35,無,NA,2023/7/15,23,32.38990954,29.67318992,35.70421548,0,18.49994278,63000040016,0.199924462,0.637164799,84.96,27316.52,51.66884816,29.95746073,0,0,0,0,1,0,1,0,0,0,27,44,0,11,1,2,0,2,0,27,"c(121.548754033422, 25.0804759818504)",臺北捷運大直站_BR14,234.4964442,4565.511079,4845.475649,41,,
臺北市中山區北安路６０８巷４弄３號,16850000,242376,0,0,63000,中山區,房地(土地+建物),25.08184999,121.549262,成功里,27.09,住,NA,NA,1120712,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,601215,69.52,2,2,1,有,無,NA,其他增建；,RPPNMLMLPHIGFCA47DA,65.69,0,3.83,無,396,2023/7/12,24,30.48487426,27.24221546,34.62984867,0.89399958,39.47388896,63000040015,0.193705914,0.641888226,84.27,10375.04,54.39724453,26.95752009,0,0,0,0,1,0,1,0,0,0,28,46,0,11,0,2,0,2,0,28,"c(121.549261976755, 25.0818499853284)",臺北捷運大直站_BR14,366.6756482,4649.608264,4993.888525,52,,
臺北市中山區北安路８３７號,23880000,196657,0,0,63000,中山區,房地(土地+建物),25.08601309,121.5523454,北安里,31.5,住,NA,NA,1120714,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,731231,121.43,4,1,3,有,無,NA,陽台外推；,RPPNMLTKQHIGFCA18DA,99.76,0,10.68,無,718,2023/7/14,25,31.93265302,28.94837142,35.55495179,0,31.83993536,63000040042,0.162736939,0.563106796,89.13,5556.1,57.34445153,38.74278381,0,0,0,0,0,0,1,0,0,0,9,19,0,2,0,1,0,2,0,9,"c(121.552345413337, 25.0860130864186)",臺北捷運劍南路站_BR15,308.6502795,4841.84618,5546.692416,39,,
臺北市中山區南京東路二段１８６號,56000000,263047,0,0,63000,中山區,房地(土地+建物)+車位,25.0518307,121.5353104,朱園里,18.39,商,NA,NA,1120705,土地2建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,990528,212.89,3,2,2,有,有,坡道平面,其他增建；,RPXNMLOJQHIGFCA38DA,109.27,6.89,4.91,有,NA,2023/7/5,26,32.06219687,27.73504024,35.27456659,0,30.15746508,63000040036,0.178653113,0.603303685,82.12,16118.29,52.37444481,34.43799111,1,0,0,0,0,2,0,0,0,0,64,58,0,8,1,2,0,0,0,64,"c(121.535310382738, 25.0518307020198)",臺北捷運松江南京站_G15_O08,253.4016938,2034.762749,1905.748681,13,,
臺北市中山區合江街１３０巷２３號,19500000,202513,0,0,63000,中山區,房地(土地+建物),25.05959,121.538036,江山里,33.25,住,NA,NA,1120707,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,590303,96.29,3,2,1,有,無,NA,陽台外推；,RPRNMLLMPHIGFCA77EA,84.94,0,11.35,無,436,2023/7/7,28,32.49395127,28.44908758,36.70400069,0,43.42028606,63000040029,0.159006786,0.555521283,88.73,35923.16,55.81696524,39.95251456,0,0,0,0,0,0,0,0,0,0,42,49,0,13,0,0,0,1,3,42,"c(121.538036010013, 25.0595899974274)",臺北捷運行天宮站_O09,514.5676416,2619.667549,2501.052099,53,,
臺北市中山區合江街１８０巷１５號,25250000,238590,0,0,63000,中山區,房地(土地+建物),25.06114601,121.538462,江寧里,17.66,住,NA,NA,1120805,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,661231,105.83,3,2,2,有,無,NA,陽台外推；,RPXPMLPKQHIGFCA78DA,72.96,0,19.06,有,133,2023/8/5,29,30.41810671,28.30463899,32.45543388,0,32.63531131,63000040028,0.168459987,0.582885003,87.5,38658.38,56.07151148,38.10076619,0,0,0,0,0,0,0,0,0,0,40,50,0,14,0,1,0,0,3,40,"c(121.538461978332, 25.0611460139328)",臺北捷運行天宮站_O09,554.1796227,2747.470793,2631.440595,46,,
臺北市中山區合江街１８８巷２２號,25600000,215271,0,0,63000,中山區,房地(土地+建物),25.06134001,121.538221,江寧里,20.75,住,NA,NA,1120719,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,661231,118.92,3,2,2,有,無,NA,陽台外推；,RPTPMLOLPHIGFCA28DA,88.1,0,16.17,有,NA,2023/7/19,30,29.77074306,27.21636869,34.6238871,1.186138881,32.17929919,63000040028,0.168459987,0.582885003,87.5,38658.38,56.07151148,38.10076619,0,0,0,0,0,0,1,0,0,0,44,49,0,14,0,1,0,1,3,44,"c(121.538220998616, 25.0613400130818)",臺北捷運行天宮站_O09,533.6821351,2739.132775,2623.793455,46,,
臺北市中山區吉林路３６９號,7400000,188727,0,0,63000,中山區,房地(土地+建物),25.065069,121.53051,新庄里,6.31,住,NA,NA,1120708,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,681219,39.21,1,1,1,有,有,NA,NA,RPTOMLLLPHIGFCA87DA,31.33,0,0,有,NA,2023/7/8,32,32.78694726,29.3877803,37.15818792,0,45.95353467,63000040019,0.097938144,0.436504217,85.65,7353.99,47.16446123,34.46754882,1,1,0,0,0,1,0,0,0,0,52,45,0,10,0,2,2,2,0,54,"c(121.530509982971, 25.065068996076)",臺北捷運中山國小站_O10,456.9889694,2451.195858,2361.504223,44,,
臺北市中山區吉林路４９０號,35000000,206795,0,0,63000,中山區,房地(土地+建物),25.06815039,121.5302836,新庄里,70,住,NA,NA,1120703,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,630530,169.25,2,2,2,有,無,NA,頂樓加蓋；,RPQNMLLLPHIGFCA47DA,164.07,0,5.18,無,NA,2023/7/3,33,30.21564854,26.83376047,34.27109426,0,32.50979846,63000040019,0.097938144,0.436504217,85.65,7353.99,47.16446123,34.46754882,1,0,0,0,0,1,0,0,0,0,29,13,0,7,0,0,2,2,0,31,"c(121.530283587766, 25.0681503932309)",臺北捷運中山國小站_O10,693.2495206,2717.32862,2635.69959,49,,
