Model,Quantile,RMSE,Check_Loss,Pseudo_R2,sMAPE,Execution_Time
LGB_Fold_1,0.1,7.500440426525474,0.7665403374562696,0.4578567685961744,33.16107292071181,
LGB_Fold_1,0.25,5.057634975488783,1.1497264866516774,0.6010299816745368,20.064987442869924,
LGB_Fold_1,0.5,3.9816052353682494,1.335158797466125,0.6777481661484823,15.909840771594025,
LGB_Fold_1,0.75,4.259907439313493,1.1056542921530275,0.7118813998426858,17.324966353992906,
LGB_Fold_1,0.9,5.492634773149722,0.6744379577166445,0.7061915335431423,23.96511494827267,
LGB_Fold_1,mean,4.4581428961503855,,,17.49285095116189,
LGB_Fold_1,Total,,5.031517871443745,,,
LGB_Fold_2,0.1,9.502946158904406,0.9331802592855744,0.3441118041911343,38.966687146951294,
LGB_Fold_2,0.25,5.283933405226977,1.3219398542441467,0.5384110661901904,20.678501749499897,
LGB_Fold_2,0.5,4.902926846454389,1.4836004467127235,0.632590389232138,17.58078335192246,
LGB_Fold_2,0.75,5.235055915011759,1.1571583108885477,0.6879271069006514,19.39892151360148,
LGB_Fold_2,0.9,6.551292283526553,0.7267211609145904,0.672543308601298,24.984013861558644,
LGB_Fold_2,mean,5.072617839655282,,,18.901345318090694,
LGB_Fold_2,Total,,5.6226000320455825,,,
LGB_Fold_3,0.1,7.222364459203046,0.8455342216741086,0.3987030397724177,31.11474528588704,
LGB_Fold_3,0.25,5.085926742833279,1.2505463840384625,0.5681766027265782,19.238158238361596,
LGB_Fold_3,0.5,4.450259704429182,1.4342542114442343,0.6564579646057696,16.352292630854656,
LGB_Fold_3,0.75,5.028081133699702,1.1741563945714075,0.6842853670143747,18.60207074519374,
LGB_Fold_3,0.9,6.475381567244696,0.7498233115585559,0.6637405259766798,25.04009078754291,
LGB_Fold_3,mean,4.909265893804164,,,18.141946004180053,
LGB_Fold_3,Total,,5.454314523286769,,,
LGB_Fold_4,0.1,7.263693670822724,0.861501318160117,0.36935220109060773,31.07522001967405,
LGB_Fold_4,0.25,5.5134409022642545,1.3244191936072083,0.530400878861347,20.55057882467007,
LGB_Fold_4,0.5,4.720367302040507,1.4932251468877957,0.6318813648386528,17.365388075717735,
LGB_Fold_4,0.75,5.037469131136435,1.1836900329162632,0.6848467250758992,19.10909632854285,
LGB_Fold_4,0.9,6.077335315917625,0.7147617614481203,0.6927271771562129,24.820785938850623,
LGB_Fold_4,mean,4.930777376964745,,,18.474176932774046,
LGB_Fold_4,Total,,5.577597453019504,,,
LGB_Fold_5,0.1,7.728446264199129,0.8802378413566541,0.3688001078973515,33.1752091818607,
LGB_Fold_5,0.25,5.082525046448636,1.3276093584797903,0.5181181695249253,21.20069517086454,
LGB_Fold_5,0.5,4.451452320619025,1.4185232614979162,0.6377174528395857,17.393315990259705,
LGB_Fold_5,0.75,4.9370060332889585,1.157676478076676,0.685034416920115,20.939220127997483,
LGB_Fold_5,0.9,5.853064322328993,0.6996448287787662,0.6979119985125068,25.757260897006695,
LGB_Fold_5,mean,4.677610787343648,,,19.45882639778923,
LGB_Fold_5,Total,,5.483691768189802,,,
LightGBM_Train_70_OOF,0.1,7.889470244248944,0.8573925537046727,0.3880092417061419,33.49867528973498,3.74 分鐘
LightGBM_Train_70_OOF,0.25,5.207650622067288,1.2748338358625586,0.551942425195648,20.346350857845277,3.74 分鐘
LightGBM_Train_70_OOF,0.5,4.512088675693255,1.4329563162593442,0.6477062913272549,16.92019489601118,3.74 分鐘
LightGBM_Train_70_OOF,0.75,4.9108857475003385,1.1556665525612075,0.6912471128012241,19.07434548527478,3.74 分鐘
LightGBM_Train_70_OOF,0.9,6.102712147646368,0.7130814752982314,0.6873320358344064,24.91322267511027,3.74 分鐘
LightGBM_Train_70_OOF,mean,4.814597928079188,,,18.493565388282924,3.74 分鐘
LightGBM_Train_70_OOF,Total,,5.433930733686014,,,3.74 分鐘
