Model,Quantile,RMSE,Check_Loss,Pseudo_R2,sMAPE
xgboost,0.1,25320035.570144523,1101624.9755627005,0.4469754388691225,37.34133007767787
xgboost,0.25,22340658.396093287,1908992.3475080372,0.5454696281143432,23.684795869706097
xgboost,0.5,18235165.30483907,2352934.772347267,0.6472533538699737,17.856131894224898
xgboost,0.75,15835724.08182732,2179907.11937299,0.6941504754405452,19.858534797505424
xgboost,0.9,16143885.004278103,1692056.7311897099,0.7000989247929655,28.657277949304515
xgboost,mean,15991745.36311168,,,19.3367258447832
xgboost,Total,,9235515.945980703,,
rf,0.1,20953598.86504574,1053958.9546731159,0.47090416313379624,37.89540826657879
rf,0.25,18666654.039317533,1920104.569661355,0.5428238121295819,26.880991406206974
rf,0.5,17493402.997523807,2718082.7713633524,0.5925111937779114,20.451495317774704
rf,0.75,13291012.676189436,2230709.336593114,0.6870227249757408,22.087041207018515
rf,0.9,18163947.343551587,1808230.7315452115,0.6795081804192705,30.49246452786471
rf,mean,15621303.59126337,,,20.014856742527584
rf,Total,,9731086.363836149,,
lgb,0.1,26571745.259833287,1151744.1346632692,0.42181521957427315,37.55651207506929
lgb,0.25,20970334.747674547,1773071.3771483381,0.5778323608855352,21.901365696966785
lgb,0.5,16933215.975088492,2276735.1791186873,0.6586770241152136,17.851416898071008
lgb,0.75,15783120.497765448,2233356.5234920825,0.686651314264122,18.610723603896474
lgb,0.9,18264788.59224998,1781124.7402128864,0.6843124613841298,25.245937207915226
lgb,mean,13735721.722529171,,,19.47214016030856
lgb,Total,,9216031.954635262,,
nn,0.1,21509083.73474115,1114339.8522186494,0.440592468948803,40.24822369017439
nn,0.25,19313044.512789764,1946378.2693729892,0.5365680539457787,25.415669183939915
nn,0.5,13097754.279368367,2365468.1258842433,0.645374381925282,19.26178448322946
nn,0.75,8083013.692649717,1895829.1579581986,0.7340077283777822,22.941183848134823
nn,0.9,16800520.448979218,1264440.1807073948,0.7758899198004439,36.13651770697553
nn,mean,9171792.911639865,,,20.050561350911405
nn,Total,,8586455.586141475,,
Average_Ensemble,0.1,23459631.712280672,1087457.2974245448,0.45408772676963505,37.3805260290215
Average_Ensemble,0.25,20176055.824411377,1831621.2463313292,0.5638916586881999,23.480927605924304
Average_Ensemble,0.5,16248570.347277442,2318209.9445773833,0.6524592213156954,17.982325808204823
Average_Ensemble,0.75,12652971.265586564,2050637.4653574869,0.7122875152571677,20.36285354931332
Average_Ensemble,0.9,15210638.974242736,1483440.1999588397,0.7370742347035912,29.908074343624186
Average_Ensemble,mean,13260479.559338154,,,18.40985558085622
Average_Ensemble,Total,,8771366.153649583,,
