Model,Quantile,RMSE,Check_Loss,Pseudo_R2,sMAPE
xgboost,0.1,23832286.26837764,1149954.1596916367,0.352159953072291,31.47173023067887
xgboost,0.25,17939834.38217134,1776564.4152575613,0.5296747010790233,20.091839548760824
xgboost,0.5,13794367.027796453,2046896.6647980416,0.6488745569384349,17.182757772223876
xgboost,0.75,10840643.635008045,1671319.4306196603,0.7185786030963025,19.072387561658218
xgboost,0.9,12034858.006506661,1250740.253351066,0.7241118342304449,26.362617037913466
xgboost,mean,11213211.253821159,,,18.638665323019598
xgboost,Total,,7895474.923717966,,
rf,0.1,17115746.413261075,1146115.978427631,0.3543222371157325,34.46861401481508
rf,0.25,12770571.96962849,1720556.4982397084,0.5445021624911353,22.2218676820062
rf,0.5,7474200.664798944,1864552.5207629548,0.6801539417090965,17.3437168985551
rf,0.75,8303633.414012374,1539884.1204858888,0.7407100448199249,21.27486969681834
rf,0.9,11573070.408270996,1002511.6254125112,0.7788660813013104,29.652572168992197
rf,mean,9533533.230371503,,,18.522074593971695
rf,Total,,7273620.743328694,,
lgb,0.1,23403432.016997747,1154197.0667111303,0.34976966206855586,30.207085107104426
lgb,0.25,18413791.00585434,1782133.4784782804,0.5282003546936631,19.516101062014613
lgb,0.5,16317672.773399947,2136357.3506093654,0.6335284364027449,17.124394038306374
lgb,0.75,12951246.991803447,1806628.5572555368,0.6957948774158265,19.228939078612274
lgb,0.9,12785218.137932321,1286711.7250894755,0.7161772504258925,25.51764839129524
lgb,mean,13697767.511738174,,,18.765241751937577
lgb,Total,,8166028.178143788,,
nn,0.1,12462454.820128543,1041337.7916551599,0.41335024693995026,34.8879300777352
nn,0.25,10599445.599450493,1649880.2340742871,0.5632129026054478,20.977702031109725
nn,0.5,8053854.563823424,1934844.6309012433,0.6680960060348136,18.03997520269719
nn,0.75,9601084.994513527,1493830.5947655698,0.7484646650936491,21.924516890143757
nn,0.9,11359146.500386184,883885.4089560503,0.8050326408109043,29.56463193242163
nn,mean,9211426.969005411,,,18.90110910870115
nn,Total,,7003778.66035231,,
dnn,0.1,22321149.603416488,1179901.9272645907,0.33528852999309167,47.91258455500258
dnn,0.25,18500665.43343936,2058464.0064853197,0.45504497846878234,29.43427740287049
dnn,0.5,10340510.706610426,2185979.5136414575,0.6250162314243682,19.58879231855106
dnn,0.75,9986403.016221967,1590084.6503705522,0.7322571404937842,23.795625377355613
dnn,0.9,11707455.961310135,975315.3782621003,0.7848650269033566,31.67585668855265
dnn,mean,16301089.999009779,,,21.122414035690323
dnn,Total,,7989745.47602402,,
cnn,0.1,29042256.530933436,1446040.5630012453,0.18535623503000864,74.43052986658626
cnn,0.25,21619400.482715674,2168669.1821472407,0.42586940693268505,28.34915594963226
cnn,0.5,17131381.15372816,2784997.6053674356,0.5222604370179468,23.529356435473225
cnn,0.75,16037681.146067584,2494908.3960556034,0.5799004109559043,26.79261571031926
cnn,0.9,14243114.62555834,1525142.6439204614,0.66358418109532,38.25788404811021
cnn,mean,9753590.648606572,,,22.806714532226536
cnn,Total,,10419758.390491987,,
Average_Ensemble,0.1,20982835.662269536,1116367.4739484775,0.3710814030141122,39.319580517175226
Average_Ensemble,0.25,16270577.742731875,1723699.1622389567,0.5436701778064481,21.814593923091675
Average_Ensemble,0.5,11344542.997852905,2038776.0764857305,0.6502675657884259,17.677693413541185
Average_Ensemble,0.75,8248462.148720276,1538702.066101607,0.7409090824125875,21.322488138554363
Average_Ensemble,0.9,9855722.742290983,938864.1018359928,0.7929054459801503,30.08780224582367
Average_Ensemble,mean,7280587.049146906,,,17.951574960809385
Average_Ensemble,Total,,7356408.880610765,,
