Model,Quantile,RMSE,Check_Loss,Pseudo_R2,sMAPE,Execution_Time
XGB_Fold_1,0.1,8.681203394838272,0.8150861058222144,0.42352229401362007,37.6182533428,
XGB_Fold_1,0.25,5.291801766521355,1.2023770566139493,0.5827595503097094,20.84941177109351,
XGB_Fold_1,0.5,4.065434888616253,1.3786862649458382,0.6672424448478624,16.39478764379844,
XGB_Fold_1,0.75,4.4753607289022295,1.197275988535337,0.6880060211704744,18.424652899343037,
XGB_Fold_1,0.9,6.3521462288963315,0.7151509964607544,0.688455527819646,27.112085245457525,
XGB_Fold_1,mean,4.717333564431818,,,18.659128435802657,
XGB_Fold_1,Total,,5.308576412378094,,,
XGB_Fold_2,0.1,9.330679561569125,0.9570601922606795,0.32732773058988895,40.47679116477965,
XGB_Fold_2,0.25,6.107378535779578,1.4581683158012142,0.49084343281958487,23.851182970242814,
XGB_Fold_2,0.5,5.102522284939223,1.5914551291759362,0.6058804708096253,18.55755499459712,
XGB_Fold_2,0.75,5.442598775336257,1.2744108642030882,0.6563053804766699,19.688754024868032,
XGB_Fold_2,0.9,6.715980215738911,0.75472035970075,0.6599270184897075,25.941215696674963,
XGB_Fold_2,mean,5.261536339009298,,,19.639877512539943,
XGB_Fold_2,Total,,6.035814861141668,,,
XGB_Fold_3,0.1,9.5341673730335,0.8889990201351082,0.36779329002892747,39.125918011971876,
XGB_Fold_3,0.25,5.475718299916824,1.340093126765005,0.5372554156738673,21.311234315610168,
XGB_Fold_3,0.5,4.574512098181634,1.4700180250484345,0.647891579915377,16.803080132367846,
XGB_Fold_3,0.75,5.736054696409645,1.3181833589428933,0.645558481561287,21.305675788716762,
XGB_Fold_3,0.9,6.783977444524759,0.8220888038187144,0.6313329493611592,27.595808911913128,
XGB_Fold_3,mean,5.257836767600992,,,19.7849253807255,
XGB_Fold_3,Total,,5.839382334710155,,,
XGB_Fold_4,0.1,8.779971879560005,0.8931265917971272,0.34620144230630034,37.04809474255944,
XGB_Fold_4,0.25,5.583936893274655,1.3786010432847053,0.511189628289751,21.494048707453846,
XGB_Fold_4,0.5,4.969807008564973,1.575886338928118,0.6115032421837308,18.198551064031616,
XGB_Fold_4,0.75,5.295478065727736,1.2587663264118583,0.6648579280882222,20.33929993966823,
XGB_Fold_4,0.9,6.6483448841706485,0.7822436015317795,0.6637170417354415,27.841855535047124,
XGB_Fold_4,mean,5.053460986921579,,,19.49274165125762,
XGB_Fold_4,Total,,5.888623901953588,,,
XGB_Fold_5,0.1,7.734166494997602,0.8837569303052129,0.3662766438285875,34.663616601613406,
XGB_Fold_5,0.25,5.23432097268391,1.3679128583259288,0.5034892245296534,22.025026260114384,
XGB_Fold_5,0.5,4.546510179108245,1.4880434826590265,0.6199623948260802,18.240780044504596,
XGB_Fold_5,0.75,4.9986470971695995,1.1780449615135773,0.6794928244427288,20.649545730171784,
XGB_Fold_5,0.9,6.588205249657389,0.729211840232364,0.6851457505069785,29.572887830808675,
XGB_Fold_5,mean,4.946416177410392,,,20.167205512922767,
XGB_Fold_5,Total,,5.646970073036109,,,
XGBoost_Train_70_OOF,0.1,8.834651780043343,0.8876068144614544,0.3664428678533077,37.78738778318112,10.51 分鐘
XGBoost_Train_70_OOF,0.25,5.547428319950006,1.3494254208480172,0.5257262049093514,21.906147981187885,10.51 分鐘
XGBoost_Train_70_OOF,0.5,4.666066800944191,1.500821323495006,0.6310216130737225,17.638786183241585,10.51 分鐘
XGBoost_Train_70_OOF,0.75,5.207389594574494,1.2453546835664653,0.667285642830526,20.081430594656226,10.51 分鐘
XGBoost_Train_70_OOF,0.9,6.619395890885005,0.7606917132865164,0.6664561658238852,27.612235251943552,10.51 分鐘
XGBoost_Train_70_OOF,mean,5.051490543782081,,,19.54860661066427,10.51 分鐘
XGBoost_Train_70_OOF,Total,,5.74389995565746,,,10.51 分鐘
