Model,Quantile,RMSE,Check_Loss,Pseudo_R2,sMAPE
xgboost,0.1,23602788.464687005,1153931.155835765,0.3499194660520655,31.893720130803764
xgboost,0.25,16211354.448228234,1740141.7103643229,0.5393171994986143,18.88617682078167
xgboost,0.5,15026766.164493782,2083900.5728941269,0.6425268922767557,17.009352432231235
xgboost,0.75,12068922.903614994,1770932.2480128985,0.7018055208795031,18.875552432498242
xgboost,0.9,11150429.289598757,1159336.1866250879,0.7442737345493515,27.013510458014846
xgboost,mean,15930886.113127338,,,19.564099841119834
xgboost,Total,,7908241.873732201,,
rf,0.1,17115746.413261075,1146115.978427631,0.3543222371157325,34.46861401481508
rf,0.25,12770571.96962849,1720556.4982397084,0.5445021624911353,22.2218676820062
rf,0.5,7474200.664798944,1864552.5207629548,0.6801539417090965,17.3437168985551
rf,0.75,8303633.414012374,1539884.1204858888,0.7407100448199249,21.27486969681834
rf,0.9,11573070.408270996,1002511.6254125112,0.7788660813013104,29.652572168992197
rf,mean,10013774.947297234,,,18.537566166627666
rf,Total,,7273620.743328694,,
lgb,0.1,23321965.00857665,1155106.7175364604,0.34925719969916225,32.30938063076736
lgb,0.25,19304523.416222945,1817562.428686739,0.5188209415667633,19.261558382801987
lgb,0.5,14537802.707090648,2066360.2519275472,0.645535765698043,17.104851143038562
lgb,0.75,14895294.948136289,1936985.316894879,0.6738450450130872,18.768217443621094
lgb,0.9,14688724.148608865,1337439.0857648265,0.7049878140472705,25.59575980138166
lgb,mean,11548490.89762561,,,18.299238815246568
lgb,Total,,8313453.800810452,,
nn,0.1,18714433.012152076,1097178.022757473,0.3818920034674651,36.33619501722888
nn,0.25,12204534.958124705,1672336.5341187716,0.557267851618062,21.32094321599296
nn,0.5,7417218.335988901,1880774.9413104977,0.6773711414338079,17.894606810276358
nn,0.75,8576912.852884904,1485818.5186089852,0.7498137606781172,21.95362180021932
nn,0.9,11451609.17136119,860169.0625147688,0.8102639902464965,29.388414338500606
nn,mean,7500328.916144762,,,18.3311375500374
nn,Total,,6996277.079310496,,
Average_Ensemble,0.1,20542981.766520288,1112938.4937950878,0.37301315885391184,32.95598076092535
Average_Ensemble,0.25,14846144.680616487,1672906.6277968278,0.5571169257764533,19.55943954778181
Average_Ensemble,0.5,9704103.5583339,1880272.5196027737,0.6774573270472599,16.69227053728162
Average_Ensemble,0.75,8550031.903025916,1534025.7891530525,0.741696486883008,19.7536221147612
Average_Ensemble,0.9,9967481.438850133,933346.1102725451,0.7941226040328256,27.831114165210302
Average_Ensemble,mean,9536836.748936115,,,17.503446762465057
Average_Ensemble,Total,,7133489.540620287,,
