Model,Quantile,RMSE,Check_Loss,Pseudo_R2,sMAPE
xgboost,0.1,27036332.6277799,1167217.2899999993,0.4140475716639357,38.85157916365761
xgboost,0.25,22312119.11693674,1830239.586736334,0.5642206313267506,22.223472610648646
xgboost,0.5,16041109.555512069,2352168.499839227,0.6473682317069667,18.09134443724086
xgboost,0.75,11725570.791511068,2075052.3892282941,0.7088620056142663,19.56189513143812
xgboost,0.9,14258625.053071221,1620985.7768488738,0.7126955802300563,29.266339827587352
xgboost,mean,15771657.689902347,,,20.17700787771895
xgboost,Total,,9045663.542652728,,
rf,0.1,20980137.03317596,1070509.7271187613,0.46259554280367443,39.028335730042535
rf,0.25,18081181.430697676,1900920.5996707773,0.5473915082889945,27.21966898947048
rf,0.5,16891499.948346816,2675382.4591782927,0.5989127277638955,20.045908724240515
rf,0.75,13790827.260426942,2253936.394618881,0.6837638775730409,22.346989392680584
rf,0.9,18317125.274310555,1858843.185145881,0.6705376010208868,29.987453553976444
rf,mean,15370652.157544736,,,20.103958105249966
rf,Total,,9759592.365732592,,
lgb,0.1,27159889.497367863,1224547.2769864413,0.3852674590156895,37.1515136806358
lgb,0.25,21330654.600716278,1817558.2703927464,0.567240048057873,22.109041735706334
lgb,0.5,19141631.26313507,2376156.815562553,0.6437719578037722,17.955821106247267
lgb,0.75,12955949.180780446,2162718.2999132676,0.6965621342735171,17.729588325048134
lgb,0.9,15705120.787382003,1695629.270460393,0.6994657259475912,25.848361487392136
lgb,mean,16743255.173992729,,,19.83278025570756
lgb,Total,,9276609.9333154,,
nn,0.1,21249625.464686718,1165104.6116077164,0.41510815313823113,40.19776184126413
nn,0.25,16260661.390889503,1862803.0980707388,0.5564672713219025,25.126901141064106
nn,0.5,15170557.53444646,2513317.67652733,0.6232091125204048,19.78639784551329
nn,0.75,8538990.89252798,1959000.5639067504,0.7251445321877197,22.372790100074297
nn,0.9,14436918.49151481,1238732.799035369,0.7804463104119912,31.723135367443433
nn,mean,9595631.751197185,,,20.94812481191715
nn,Total,,8738958.749147905,,
Average_Ensemble,0.1,23971674.48245765,1133977.9365040092,0.43073399334750784,37.78482301758654
Average_Ensemble,0.25,19355205.601368647,1805433.2364102032,0.5701270141645762,23.248446418654247
Average_Ensemble,0.5,16643363.116336606,2364759.58119676,0.6454806053383065,18.198850545432165
Average_Ensemble,0.75,11265022.372624941,1996385.3196894908,0.7198993042235066,19.816543708545048
Average_Ensemble,0.9,13762513.52091594,1428696.342831104,0.7467770663586769,28.897654427174295
Average_Ensemble,mean,13938714.043667937,,,18.978694985036288
Average_Ensemble,Total,,8729252.416631568,,
