Model,Quantile,RMSE,Check_Loss,Pseudo_R2,sMAPE,Execution_Time
LGB_Fold_1,0.1,10.108747157499353,0.9998102362178527,0.3690311052174444,39.77102892708371,
LGB_Fold_1,0.25,6.711348994008884,1.5590716043980861,0.5049735212657301,25.656906189686996,
LGB_Fold_1,0.5,5.417673536773166,1.7019067320527654,0.6099195038916452,19.71251083966594,
LGB_Fold_1,0.75,5.540482503122298,1.5008010637719222,0.6326675505832381,20.609202295817873,
LGB_Fold_1,0.9,6.558148414304446,0.9725219449783576,0.6371083307219358,25.37459982282081,
LGB_Fold_1,mean,6.037355978987547,,,22.931810026464387,
LGB_Fold_1,Total,,6.734111581418984,,,
LGB_Fold_2,0.1,9.77641986583946,0.9658444011648996,0.38777791677911,42.227804939558354,
LGB_Fold_2,0.25,5.895570055147407,1.5358247670407368,0.5174022100491273,24.742742318437465,
LGB_Fold_2,0.5,5.574405517025214,1.7955201268204375,0.6059582077195614,21.269880997194182,
LGB_Fold_2,0.75,5.774223707526195,1.5471404676147824,0.631224241966376,22.214306848778524,
LGB_Fold_2,0.9,7.730296917884183,0.936230211697556,0.638199837218882,28.49044465346211,
LGB_Fold_2,mean,5.39943304323646,,,22.180500133709906,
LGB_Fold_2,Total,,6.780559974338413,,,
LGB_Fold_3,0.1,10.187734677094419,1.0558743767993668,0.32758778244922226,40.639002887632465,
LGB_Fold_3,0.25,6.792353514911835,1.655702303328345,0.47278000174578894,24.046057040347982,
LGB_Fold_3,0.5,6.070150547438865,1.919027258685449,0.5717847255327471,21.0232779312314,
LGB_Fold_3,0.75,6.372357413260574,1.4983353073854366,0.6475823475471814,23.00393397613949,
LGB_Fold_3,0.9,7.828449553648098,0.9743590102099803,0.6405696912040085,28.895648637856407,
LGB_Fold_3,mean,5.98541055049105,,,22.166488962030968,
LGB_Fold_3,Total,,7.103298256408577,,,
LGB_Fold_4,0.1,9.04925078042275,0.9497306531405165,0.3806633993495152,34.29022165591568,
LGB_Fold_4,0.25,6.397375125832317,1.4519094548018265,0.5300877628789922,22.515015043558687,
LGB_Fold_4,0.5,5.20231955582747,1.672635824081627,0.6244812233040102,18.566575424460797,
LGB_Fold_4,0.75,5.321994117885678,1.3900027797742616,0.6628843409275972,19.232097933623475,
LGB_Fold_4,0.9,6.614327484543161,0.8793750959672905,0.6588423042725948,24.201848232802682,
LGB_Fold_4,mean,5.679491042681526,,,19.527520736611155,
LGB_Fold_4,Total,,6.343653807765522,,,
LGB_Fold_5,0.1,8.423391583955702,0.9907698257844604,0.3723799234927646,35.53783237140462,
LGB_Fold_5,0.25,6.315063780819343,1.5795766691140631,0.49657578679933534,23.81836940157048,
LGB_Fold_5,0.5,5.179490205050315,1.754627627192814,0.6113843899946392,19.768866421776764,
LGB_Fold_5,0.75,5.635929189483394,1.398238748472402,0.6763562709727723,21.19490545824289,
LGB_Fold_5,0.9,8.421567832084074,0.933171368170494,0.6574127688787951,31.957441620686655,
LGB_Fold_5,mean,6.0877263681732625,,,22.564618963615356,
LGB_Fold_5,Total,,6.656384238734234,,,
LightGBM_Train_70_OOF,0.1,9.533824283013528,0.992427802387271,0.3691528561330033,38.49671661518467,2.71 分鐘
LightGBM_Train_70_OOF,0.25,6.430351927330395,1.556457171202532,0.5045915798688483,24.1567958788747,2.71 分鐘
LightGBM_Train_70_OOF,0.5,5.498716337813002,1.7687979989748532,0.605116202334566,20.0691125862368,2.71 分鐘
LightGBM_Train_70_OOF,0.75,5.7401605127411415,1.4669756288256892,0.650469085996942,21.251914895804273,2.71 分鐘
LightGBM_Train_70_OOF,0.9,7.466132733707943,0.9391640109245932,0.6470608383225276,27.783704306493384,2.71 分鐘
LightGBM_Train_70_OOF,mean,5.843683714824459,,,21.87500646731816,2.71 分鐘
LightGBM_Train_70_OOF,Total,,6.7238226123149385,,,2.71 分鐘
