Model,Quantile,RMSE,Check_Loss,Pseudo_R2,sMAPE
XGBoost,0.1,19696415.156984765,1132309.7385321283,0.38350557310438216,36.274832833683725
XGBoost,0.25,13630158.096434226,1832656.180884864,0.5261485345005387,23.446850165983545
XGBoost,0.5,11585097.011193808,2249339.8739972254,0.6225236919043395,19.61605600913173
XGBoost,0.75,10452765.306440413,1879568.8828655977,0.6992131722122148,22.12426737052246
XGBoost,0.9,14542470.310255997,1171792.1392038832,0.7512364389660436,30.04560496329986
XGBoost,mean,11238527.299186451,,,20.75238013020641
XGBoost,Total,,8265666.815483699,,
