Model,Quantile,RMSE,Check_Loss,Pseudo_R2,sMAPE
RandomForest,0.1,15705147.812466515,1176852.380515718,0.359254001641535,33.348686851765876
RandomForest,0.25,12928366.056544544,1930131.164220964,0.5009454090124588,24.668020933502135
RandomForest,0.5,10375357.220536489,2408512.670412053,0.5958118729237966,21.349633979840274
RandomForest,0.75,9570354.040902212,2064153.8520094745,0.6696740966123645,23.048190699744325
RandomForest,0.9,12740710.2154058,1384239.9628659815,0.7061352001200454,28.130351539816772
RandomForest,mean,10771565.69288136,,,21.561718894477178
RandomForest,Total,,8963890.030024191,,
