Model,Quantile,RMSE,Check_Loss,Pseudo_R2,sMAPE
LightGBM,0.1,18063369.540297423,1121749.9036001246,0.3892549534753019,35.561463945024016
LightGBM,0.25,12877832.728753611,1772163.2285410126,0.541789588408797,22.92178166485477
LightGBM,0.5,10946766.056567175,2195079.575847555,0.6316294643393916,19.37686984490537
LightGBM,0.75,9806007.13559566,1855903.4846043433,0.7030003385864978,21.802314550811516
LightGBM,0.9,13100481.938216867,1184061.9712166595,0.748631636456564,29.09423042170516
LightGBM,mean,10462146.419531303,,,20.904068500013587
LightGBM,Total,,8128958.163809696,,
