Model,Quantile,RMSE,Check_Loss,Pseudo_R2,sMAPE
xgboost,0.1,27554464.1948048,1303316.0236334405,0.3457249173053989,47.86128844263129
xgboost,0.25,20419819.506847464,2328479.7840032154,0.4455898246356068,30.2984662074949
xgboost,0.5,16368443.437437199,2988664.772829581,0.5519461536237618,24.42035722573648
xgboost,0.75,10809355.256517282,2563829.6004823153,0.6402846445198462,27.91798864298496
xgboost,0.9,14316074.304565039,1718445.9720257223,0.6954216810843264,36.74313626682631
xgboost,mean,19416510.258242246,,,25.21035208462231
xgboost,Total,,10902736.152974274,,
rf,0.1,20479407.355904605,1211906.4390299616,0.391613260915867,42.699117359254785
rf,0.25,18443656.97201609,2270979.145211605,0.4592807054648206,28.596894742827967
rf,0.5,14788952.794657268,3070672.470961216,0.5396517454604961,25.501085087816623
rf,0.75,12769040.17486942,2898585.725717714,0.5933170462966424,30.349809174121624
rf,0.9,15156825.845050652,1948952.6670051024,0.6545665463879087,38.41142254288141
rf,mean,16900526.46199372,,,25.136930473228848
rf,Total,,11401096.4479256,,
lgb,0.1,24974479.057436384,1269133.1699201467,0.36288498365496513,45.52417831578718
lgb,0.25,22207358.83688575,2332847.3768093823,0.4445499024038474,30.11244310095454
lgb,0.5,15837789.22347502,2946981.0532076773,0.5581952823576546,24.496827270932464
lgb,0.75,11908285.232228003,2588843.034910371,0.6367751614967252,28.164866201835746
lgb,0.9,15128868.307874933,1798939.7776622768,0.6811549142478887,37.87404748574022
lgb,mean,15667416.692792574,,,24.899692853823804
lgb,Total,,10936744.412509855,,
nn,0.1,21797669.298517875,1289058.1313344045,0.3528824934372382,48.285331529562605
nn,0.25,18328817.672222167,2340313.342282957,0.44277225878593607,31.46956950607703
nn,0.5,10644575.43217879,2899874.14630225,0.5652574430327981,24.96887282257181
nn,0.75,9057403.380939523,2477051.3295819936,0.6524599765149952,31.625549180040224
nn,0.9,11771636.262877615,1482540.107073955,0.7372337676666341,40.62686075843722
nn,mean,14426645.070762713,,,25.880086700604714
nn,Total,,10488837.05657556,,
dnn,0.1,29515369.903510164,1517608.09266881,0.23814858229031843,71.90217626123065
dnn,0.25,24810656.69527379,2619762.881028937,0.3762354269671532,35.16028836194978
dnn,0.5,20719808.4980392,3601228.5445337617,0.46011198186988445,27.023410687242272
dnn,0.75,9323069.450823763,2401025.159967844,0.6631267464997881,27.707032696863948
dnn,0.9,14301575.561526991,1537085.7919614147,0.727566060169527,44.85800286988419
dnn,mean,17132640.842942182,,,27.785004001677123
dnn,Total,,11676710.470160767,,
cnn,0.1,31139408.86946713,1677058.4837942119,0.15810320883713336,86.90741559350307
cnn,0.25,27189225.583194967,3150875.3043408347,0.24977775541274538,44.26399962205884
cnn,0.5,15925424.606412716,3287665.8781350474,0.507120585858253,26.599192751469115
cnn,0.75,15340409.968686143,3243235.5948553053,0.5449613169729407,32.37902160850794
cnn,0.9,13622269.478043903,2060476.5125401926,0.6347999980383859,44.443825932530665
cnn,mean,13222320.988199126,,,25.85243666949046
cnn,Total,,13419311.773665592,,
Average_Ensemble,0.1,25622450.98341244,1305939.993225769,0.3444076635535247,54.353969582047476
Average_Ensemble,0.25,21588160.239460193,2401366.8023240604,0.42823545253125717,31.749872230843508
Average_Ensemble,0.5,15225374.737449955,3002764.494946091,0.549832355253141,24.571376071564615
Average_Ensemble,0.75,10686905.563287001,2522230.442560763,0.6461211696448432,29.030879696609542
Average_Ensemble,0.9,12635561.654078143,1603418.491697883,0.7158092156112685,40.774901170740456
Average_Ensemble,mean,15761390.0361598,,,24.67662837614847
Average_Ensemble,Total,,10835720.224754566,,
