土地位置建物門牌,緯度,經度,actual_price,xgboost_qmean,xgboost_q0.1,xgboost_q0.25,xgboost_q0.5,xgboost_q0.75,xgboost_q0.9,rf_qmean,rf_q0.1,rf_q0.25,rf_q0.5,rf_q0.75,rf_q0.9,lgb_qmean,lgb_q0.1,lgb_q0.25,lgb_q0.5,lgb_q0.75,lgb_q0.9,nn_qmean,nn_q0.1,nn_q0.25,nn_q0.5,nn_q0.75,nn_q0.9,dnn_qmean,dnn_q0.1,dnn_q0.25,dnn_q0.5,dnn_q0.75,dnn_q0.9,cnn_qmean,cnn_q0.1,cnn_q0.25,cnn_q0.5,cnn_q0.75,cnn_q0.9,Ensemble_qmean,Ensemble_q0.1,Ensemble_q0.25,Ensemble_q0.5,Ensemble_q0.75,Ensemble_q0.9
臺北市大安區仁愛路四段４０８巷９號三樓,25.0371800153689,121.557020014877,28880000.000000045,21684636.0,15659904.0,18559248.0,22943636.0,24284252.0,30520688.0,24398641.685310945,18316363.628471155,19978302.78479556,22134548.980759583,28090512.308568746,29100927.159716707,21019754.993476547,15944713.397560542,21049963.806110542,24850656.438479938,26757039.82156627,29052119.6059674,20530602.0,15171934.0,18096814.0,20989908.0,23888616.0,27879548.0,20349588.0,14053654.0,17560252.0,20183142.0,28967262.0,29384620.0,18165424.0,10946792.0,16263144.0,19828282.0,23699774.0,28142084.0,21024774.446464583,15015560.171005284,18584620.765151016,21821695.569873255,25947909.3550225,29013331.12761402
臺北市信義區永吉路３５４號十四樓之１,25.0450199865946,121.576610031341,37999999.99999996,25879164.0,18963598.0,23268612.0,30482466.0,35053396.0,38036680.0,30279770.35597317,20159772.14633201,25859630.242578708,34588932.499904506,37999999.99999996,38801834.38252372,28293844.62710656,17764364.429770846,25301181.56135983,29041583.431279995,33363118.363140285,37447329.65840733,26706768.0,17163320.0,24123828.0,26989952.0,34460350.0,40472460.0,27083240.0,15738026.0,21988636.0,24597422.0,34118040.0,35517772.0,26121716.0,11965667.0,17250126.0,27177626.0,33822200.0,37682052.0,27394083.830513287,16959124.59601714,22965335.633989755,28812996.98853075,34802850.72719004,37993021.34015518
臺北市士林區重慶北路四段２０６號二樓,25.0853700074765,121.511629997525,43799999.99999994,61368270.0,40004604.0,50706840.0,59751590.0,75123040.0,89399030.0,50730135.27468443,44185668.4746654,48377836.16482449,50238491.64687362,58273100.78043532,67966408.58237128,57990780.73852619,41170213.14807823,48377005.0619043,56381838.63423424,67228795.68024454,95819234.83805704,56152416.0,31635324.0,44384476.0,59920960.0,69832310.0,86286840.0,54108890.0,31772350.0,42763910.0,50439360.0,78681730.0,90523950.0,65327684.0,28422104.0,39633824.0,63715370.0,85900940.0,86492810.0,57613029.33553511,36198377.270457275,45707315.2044548,56741268.38018465,72506652.74344665,86081378.90340473
臺北市文山區政大二街１７１巷１９號,24.98942701,121.585248,33360000.00000005,38383440.0,27178560.0,32500632.0,35838150.0,45186390.0,55278372.0,33810572.07745259,27494179.14234597,30894583.4240371,32447058.58038108,37770818.76141453,42580843.720567405,37017696.55831408,24676571.781104,30397204.755589347,33378275.429608487,45362815.49250372,54717182.123369575,40024450.0,25147472.0,31159362.0,38970270.0,43060120.0,51212070.0,38484970.0,25436428.0,32342816.0,37679824.0,59586228.0,61113630.0,45015548.0,20392212.0,29562656.0,44862548.0,50654740.0,60332324.0,38789446.105961114,25054237.153908327,31142875.696604412,37196021.00166493,46936852.04231971,54205736.973989494
臺北市北投區尊賢街２１８巷２３弄６號二樓,25.116069985142,121.508709993916,17980000.000000007,19022284.0,12442159.0,17330594.0,20169942.0,23040772.0,27040810.0,19696171.26144005,16583054.925147228,17559095.29281108,19587553.67127428,21489159.44522448,23332349.26835457,18601308.94827952,13842439.97372863,17366735.77227232,20783965.05191313,21709808.376163647,27357729.51051707,19392434.0,12129273.0,16314127.0,19032736.0,22405008.0,27566518.0,18753250.0,9953280.0,15076824.0,16100030.0,24817356.0,25239108.0,18546614.0,8527964.0,12335800.0,17013164.0,23012796.0,26163102.0,19002010.368286595,12246361.81647931,15997196.010847233,18781231.7871979,22745816.636898022,26116602.796478603
臺北市松山區民生東路五段２２８之１號三樓,25.058919989997,121.565769967421,33000000.00000001,26740868.0,18048658.0,22722054.0,30056048.0,33293706.0,36927710.0,30700618.644867502,23176377.613925237,24957210.002851386,28727965.205878858,33684881.69570892,34970860.1003583,26833256.743899565,17453256.008962143,22860117.15921195,27636903.42604083,33172796.60764753,37988069.44294823,27657418.0,17159260.0,23272608.0,29649788.0,33518564.0,37902700.0,25905288.0,15553189.0,21669918.0,24014840.0,34243610.0,37280640.0,27244526.0,17413696.0,19022102.0,26206004.0,34317428.0,36007320.0,27513662.56479451,18134072.77048123,22417334.86034389,27715258.105319947,33705164.383892745,36846216.590551086
臺北市內湖區東湖路１０６巷７弄１５號,25.06820001,121.614307,18500000.000000037,16205118.0,13069000.0,15729533.0,18348904.0,21461456.0,24065508.0,15920345.740446515,14499999.99999999,16741402.046501145,17788872.58115417,19486951.604427878,21185164.578875598,16401629.234655716,12144582.335238362,16375233.452015843,18656418.335801605,20795734.661745027,24714811.330017693,18317224.0,12783971.0,16205890.0,18177798.0,24299496.0,24647250.0,19005420.0,7637699.0,13641236.0,17533210.0,23044772.0,29780998.0,6390354.5,6096178.0,21089148.0,29008674.0,45012200.0,65307870.0,15373348.579183705,11038571.722539725,16630407.083086165,19918979.486159295,25683435.044362146,31616933.651482213
臺北市南港區昆陽街１７７號,25.04827992,121.5940283,115999999.99999988,105001810.0,47202800.0,82513750.0,118791256.0,151754450.0,197818690.0,112176716.09121177,75096220.92707,92929215.96144046,111628793.06460208,126230957.06739692,159322779.31925333,116580027.1877989,47775948.63858916,112202686.82481577,124402782.02820316,171789308.32250002,206226568.3966372,110733440.0,55421000.0,85470620.0,126140920.0,134452110.0,175106270.0,96089870.0,42797370.0,61132636.0,88887256.0,147700850.0,159927040.0,168108590.0,71577016.0,126838640.0,170098640.0,177219040.0,186104800.0,118115075.54650177,56645059.2609432,93514591.46437603,123324941.18213421,151524452.56498283,180751024.61931506
臺北市中山區南京東路一段１０６號十樓,25.051900020359,121.526369993354,185260000.0000003,251892020.0,51947056.0,156670530.0,222876400.0,239419520.0,484593660.0,194374595.5010445,132320638.72378837,178611842.48820892,188926528.4330496,204916995.6023624,214803597.5363592,255605188.2422729,53731131.98752115,137697669.4935753,186354821.4230353,271974279.3328787,311927158.1991635,276562200.0,71168490.0,236182900.0,278539460.0,351728960.0,392411200.0,244280450.0,57366176.0,80399800.0,164132620.0,376373950.0,465000960.0,266183970.0,60712108.0,121426824.0,237213140.0,254782020.0,278974900.0,248149737.29055288,71207600.1185516,151831594.33029738,213007161.6426808,283199287.48920685,357951912.62258714
臺北市南港區研究院路二段１８２巷７８弄１０號,25.036344,121.613827,6999999.999999995,16597545.0,11358529.0,13484472.0,16835814.0,19447106.0,22896248.0,12098048.57423611,9128106.119987778,13897050.03565806,15294574.77672235,15728755.512697304,19090070.58183604,16212164.551721085,10195052.577474684,11763901.894947352,16624360.98545318,19769029.32137729,23329583.98163148,17102212.0,11682665.0,13776786.0,17667826.0,20588404.0,24218522.0,15979523.0,10917413.0,14814372.0,15533178.0,22179152.0,26171138.0,18597340.0,11574849.0,15245964.0,19533760.0,22236164.0,27431196.0,16097805.520992866,10809435.78291041,13830424.321767569,16914918.960362587,19991435.13901243,23856126.42724459
