Model,Quantile,RMSE,Check_Loss,Pseudo_R2,sMAPE
XGBoost,0.1,29762798.35115058,1632319.023815166,0.1086982307596176,55.8814614918866
XGBoost,0.25,27804864.382025238,3106694.218009478,0.207314105908873,38.60553213145103
XGBoost,0.5,25308396.960105855,4507197.058451816,0.26289895003841046,33.83318319893149
XGBoost,0.75,19533263.523338195,4160903.236966823,0.35394730491303883,37.160585519696106
XGBoost,0.9,21408158.202208918,2896116.5840442325,0.4318187101207398,49.89904084761988
XGBoost,mean,24109017.834728356,,,34.146105111903054
XGBoost,Total,,16303230.121287517,,
