Model,Quantile,RMSE,Check_Loss,Pseudo_R2,sMAPE
RandomForest,0.1,29072153.777283642,1628546.054797785,0.1107584003168045,50.50297091565381
RandomForest,0.25,27292331.0748019,3060594.477819417,0.2190766455106432,38.968641231935564
RandomForest,0.5,25856983.076153364,4537280.882735114,0.2579790811756776,34.226584082241864
RandomForest,0.75,24906774.894346062,4761364.188283169,0.26071528441183756,38.114318136217534
RandomForest,0.9,26021611.968452156,2814065.0691047297,0.4479161752061309,55.4963284986586
RandomForest,mean,25119634.583502248,,,33.789768600651
RandomForest,Total,,16801850.672740214,,
