土地位置建物門牌,緯度,經度,actual_price,xgboost_qmean,xgboost_q0.1,xgboost_q0.25,xgboost_q0.5,xgboost_q0.75,xgboost_q0.9,rf_qmean,rf_q0.1,rf_q0.25,rf_q0.5,rf_q0.75,rf_q0.9,lgb_qmean,lgb_q0.1,lgb_q0.25,lgb_q0.5,lgb_q0.75,lgb_q0.9,nn_qmean,nn_q0.1,nn_q0.25,nn_q0.5,nn_q0.75,nn_q0.9,dnn_qmean,dnn_q0.1,dnn_q0.25,dnn_q0.5,dnn_q0.75,dnn_q0.9,cnn_qmean,cnn_q0.1,cnn_q0.25,cnn_q0.5,cnn_q0.75,cnn_q0.9,Ensemble_qmean,Ensemble_q0.1,Ensemble_q0.25,Ensemble_q0.5,Ensemble_q0.75,Ensemble_q0.9
臺北市大安區仁愛路四段４０８巷９號三樓,25.0371800153689,121.557020014877,28880000.000000045,30093508.0,28511476.0,28844480.0,29540504.0,30439472.0,31032910.0,28214192.154361583,25369829.99649772,27333785.68534937,28939937.802284945,29541641.436352197,31759865.333660763,29823764.736122586,28862148.19357063,28869234.898211148,28885269.21112462,32976972.512641203,34774189.50967461,28057136.0,23008932.0,25789236.0,27251128.0,38702640.0,44701884.0,27350898.0,21267774.0,27522964.0,30261348.0,33793956.0,42945290.0,29285192.0,13783357.0,20837132.0,27936878.0,34298516.0,35619400.0,28804115.148414027,23467252.865011394,26532805.43059342,28802510.83556826,33292199.658165563,36805589.80722257
臺北市信義區永吉路３５４號十四樓之１,25.0450199865946,121.576610031341,37999999.99999996,25583224.0,19186074.0,25056790.0,30800868.0,32904318.0,36406964.0,33700489.239436075,23774350.360396333,28467483.15336425,35989059.60292453,37295095.7065637,37999999.99999996,26538871.26198024,21802918.01459965,26523516.156660587,29893013.512855373,33659703.396556385,34741940.60923597,23409372.0,19379936.0,21900320.0,25363516.0,35941108.0,37247944.0,27077196.0,18338234.0,23892488.0,27596346.0,29757490.0,36602410.0,22604004.0,9988388.0,18463318.0,24975104.0,27309976.0,30627580.0,26485526.08356939,18744983.39583266,24050652.551670805,29102984.51929665,32811281.850520015,35604473.10153932
臺北市士林區重慶北路四段２０６號二樓,25.0853700074765,121.511629997525,43799999.99999994,56612690.0,40689652.0,44194320.0,46486590.0,49115456.0,49551970.0,45820931.58764851,39610811.33482904,43799999.99999994,43799999.99999994,47035959.02843996,58531111.80399333,51752482.56848366,40967077.57912915,43951937.1877853,46498612.295098655,56613789.98645698,58894662.08578802,47631130.0,28718602.0,39770130.0,49881680.0,67095492.0,74837580.0,49153412.0,30891826.0,36859732.0,49709772.0,68881970.0,79969890.0,48448988.0,18408918.0,32022336.0,47320170.0,69713070.0,91664770.0,49903272.35935536,33214481.152326364,40099742.53129754,47282804.0491831,59742622.83581617,68908330.6482969
臺北市文山區政大二街１７１巷１９號,24.98942701,121.585248,33360000.00000005,42272468.0,30234002.0,31827240.0,33842720.0,37482276.0,47832970.0,33530715.18714668,25601256.64491548,33032293.716439053,33360000.00000005,34724055.06607617,45252309.10128407,34109807.76070756,30387508.27834478,31328869.619351923,32917447.591781497,33696979.23386446,41829595.1623048,37959204.0,26709928.0,33357780.0,41081748.0,52075130.0,62256500.0,40712476.0,27910728.0,36972040.0,45442656.0,55341456.0,64993732.0,34487244.0,14343800.0,38127036.0,39870460.0,60688260.0,65909664.0,37178652.49130904,25864537.15387671,34107543.222631834,37752505.26529693,45668026.049990095,54679128.37726482
臺北市北投區尊賢街２１８巷２３弄６號二樓,25.116069985142,121.508709993916,17980000.000000007,21132596.0,14391730.0,17578816.0,18108726.0,20652196.0,24150714.0,18023859.839454196,15365636.30060806,16998232.806277446,17814235.880371824,18245348.850640558,20289561.594557326,19750961.04873634,17305264.238078583,17349838.30956935,18041887.31874573,20017169.12647175,22827753.564108197,17864772.0,13751924.0,16299913.0,18090670.0,23153374.0,24939354.0,17966604.0,13598399.0,17157722.0,18058540.0,21205516.0,24766852.0,21328384.0,8842522.0,18174332.0,21460474.0,24415176.0,25965144.0,19344529.48136509,13875912.589781107,17259809.0193078,18595755.53318626,21281463.329518717,23823229.85977759
臺北市松山區民生東路五段２２８之１號三樓,25.058919989997,121.565769967421,33000000.00000001,29713988.0,25745348.0,29946752.0,32191110.0,32513466.0,36096440.0,32196802.10691582,28580520.73305593,31541989.881706245,32832484.424697865,33000000.00000001,34592217.10716152,29924357.088984262,26459543.48218172,29150528.420199223,31528158.52387912,32267094.92042851,34054418.51762568,30673824.0,20751700.0,27280614.0,30395436.0,38482770.0,41258668.0,28441898.0,20708286.0,28950524.0,31728020.0,35796276.0,40080216.0,27670874.0,11322580.0,20109364.0,26620464.0,30936816.0,33934504.0,29770290.532650013,22261329.702539608,27829962.050317574,30882612.158096164,33832737.15340475,36669410.6041312
臺北市內湖區東湖路１０６巷７弄１５號,25.06820001,121.614307,18500000.000000037,17855268.0,11884807.0,17820054.0,18449378.0,18580676.0,24950820.0,17236571.237894192,11066065.906517906,15860527.483445682,18500000.000000037,19073807.712313384,20902054.80785525,17760864.2742471,15056594.272579435,17596897.388803575,18483021.651450504,18659379.855927385,22328753.2166326,16722394.0,13523055.0,17034886.0,23510048.0,27365612.0,28340634.0,21302282.0,11625694.0,14338357.0,23602154.0,25274948.0,32166068.0,15430034.0,7359968.5,15849152.0,21086334.0,27745814.0,27776208.0,17717902.252023548,11752697.446516223,16416645.645374877,20605155.941908423,22783372.92804013,26077423.00408131
臺北市南港區昆陽街１７７號,25.04827992,121.5940283,115999999.99999988,98789944.0,48314720.0,77752750.0,94226480.0,116139096.0,122039336.0,104005637.09600575,63514581.9786257,114000000.00000018,114112308.7002802,119591601.39500676,136411679.22917393,104539440.70670997,56775516.48523621,77246582.37173183,111566014.74043947,125280469.87145464,155462905.47258243,84510320.0,49666936.0,56311364.0,94975100.0,168730820.0,170374620.0,76168640.0,43973940.0,59573044.0,77548950.0,115162130.0,150978690.0,93400870.0,24323608.0,61381852.0,88922696.0,130266010.0,188741900.0,93569141.96711929,47761550.41064366,74377598.728622,96891924.9067866,129195021.2110769,154001521.78362605
臺北市中山區南京東路一段１０６號十樓,25.051900020359,121.526369993354,185260000.0000003,156614660.0,60874212.0,119940536.0,153219710.0,193223310.0,201241860.0,179184640.16913718,136230126.41030186,185260000.0000003,188270023.59400272,191764406.50326824,204625771.64266255,176126129.7449705,58843218.43377406,99583337.5905778,183217438.04351163,186223780.90914792,203072318.36022764,234813810.0,80179736.0,100263970.0,167800100.0,426199680.0,485165200.0,225971620.0,53673884.0,74292590.0,174499470.0,223468930.0,262778930.0,336608130.0,25457592.0,47998200.0,196754140.0,202851170.0,327405000.0,218219831.6523513,69209794.80734599,104556438.93176301,177293480.27291906,237288546.2354027,280714846.66714835
臺北市南港區研究院路二段１８２巷７８弄１０號,25.036344,121.613827,6999999.999999995,13359695.0,9038329.0,11168300.0,12783166.0,14980739.0,17871044.0,9209927.437521957,6999999.999999995,6999999.999999995,8002757.186568798,13697303.018141754,16860484.273419775,12452489.02895715,6974130.129104134,11075872.245920714,13149579.268100817,13962096.4088662,17661892.777399555,14147355.0,9783786.0,11719066.0,14831618.0,16998534.0,21528364.0,14503168.0,10250348.0,12739768.0,14276928.0,19277778.0,21417620.0,14762922.0,9549674.0,14179178.0,15268022.0,19179342.0,19465400.0,13072592.744413184,8766044.521517355,11313697.37432012,13052011.742444934,16349298.73783466,19134134.175136555
