土地位置建物門牌,緯度,經度,actual_price,xgboost_qmean,xgboost_q0.1,xgboost_q0.25,xgboost_q0.5,xgboost_q0.75,xgboost_q0.9,rf_qmean,rf_q0.1,rf_q0.25,rf_q0.5,rf_q0.75,rf_q0.9,lgb_qmean,lgb_q0.1,lgb_q0.25,lgb_q0.5,lgb_q0.75,lgb_q0.9,nn_qmean,nn_q0.1,nn_q0.25,nn_q0.5,nn_q0.75,nn_q0.9
臺北市萬華區中華路二段４９８巷１１號,25.02592002,121.507111,12700000.000000000,10863116.0,8624022.0,10795676.0,11830888.0,12637396.0,14059124.0,10580548.448823200,7576302.252220790,9883941.989271180,12450000.0,12700000.000000000,13540381.720186600,10683806.905640600,7893893.416910190,9970848.845687100,11929276.915845600,12699743.604574800,15067912.75934080,10918017.0,8456065.0,9645818.0,11518117.0,12591152.0,14087980.0
臺北市北投區三合街一段６９號,25.12671211,121.5056256,67000000.00000010,57797800.0,42923260.0,58612880.0,64978732.0,67235510.0,70639430.0,58784389.80715700,43348530.80038670,54722712.383983900,66749531.83357110,67000000.00000010,71744241.1563173,58667699.09137490,48237021.12369510,56674156.306735200,63788222.254310500,66960204.48538150,87003279.9281432,48428108.0,37309164.0,45650456.0,52356880.0,61393680.0,78810450.0
臺北市中正區齊東街８２巷３８號,25.04237998,121.528491,16500000.000000000,20864534.0,12752142.0,16534698.0,19806170.0,27460408.0,29841668.0,18604920.704045300,14559625.748502500,15833434.781006900,16500000.000000000,16500000.000000000,24878596.127269400,22623720.758602400,12908346.084554600,16486437.632980600,19334271.90868220,24208636.48585620,30476541.393066800,18708592.0,10808492.0,15579405.0,18513604.0,25225824.0,28120140.0
臺北市北投區自強街１２０巷１５弄１７號四樓,25.110686,121.516559,16000000.000000000,17151768.0,14933182.0,15991566.0,16286705.0,18612564.0,21129332.0,15946633.820795300,13130352.585471000,14878032.590750600,16000000.000000000,16248076.809390300,19740961.75579130,17432074.048480900,15718239.132169400,15998235.577597300,16015008.614371900,18446230.35419810,21304397.730808000,15813008.0,12564020.0,14447452.0,16628693.0,19475502.0,21000320.0
臺北市文山區新光路一段９５巷２２號二樓,24.99115201,121.574704,16300000.00000000,14749216.0,10979224.0,13147882.0,15936028.0,16979934.0,17471118.0,15040234.596616900,11500777.463247400,14827617.366325200,15959477.05367370,16300000.00000000,17210539.032562300,14298046.740152200,11168308.36835480,13403478.257718100,16118452.415677400,16300848.442905400,18124503.97443050,14825113.0,9197119.0,12676577.0,16147082.0,18288354.0,18510426.0
臺北市內湖區星雲街１６８巷３７號,25.08008899,121.597329,15000000.00000000,13082293.0,7356193.5,11982202.0,14981596.0,17277292.0,20228656.0,11473938.083281600,6124049.32478337,11726694.225339900,15000000.00000000,15000000.00000000,16070169.030877000,14040001.49939800,9105186.202807740,14476846.791033400,14886205.047276,15003428.309944300,20965531.165494400,16263610.0,14182964.0,14194196.0,16095516.0,16136984.0,18139112.0
臺北市北投區行義路１４２之１３號,25.129857,121.528211,7100000.000000010,6524464.5,4147830.5,5397634.5,6747127.0,7022509.0,11753382.0,6728816.904395820,5331015.843511940,5838499.433458180,7032697.371267410,7100000.000000010,8136016.415466,6304288.882964460,5223327.807654700,5885669.3490666,6912180.0994728200,7092202.567602010,9223722.475857090,6089037.0,5274816.0,6087214.0,6696300.0,7872446.5,9943091.0
臺北市中正區詔安街４３號四樓,25.025557,121.51222,14580000.000000000,14642840.0,10753629.0,13411626.0,14566264.0,15717207.0,17141172.0,14902816.304136200,12521490.006502300,14029611.54493520,14580000.000000000,14580000.000000000,16983344.923364200,14810815.904748200,12672818.710224000,13608025.995490900,14583648.390994000,14870293.019882900,16754624.319819500,13893846.0,12061470.0,12454006.0,14002176.0,16200575.0,17502436.0
臺北市大安區敦化南路二段４６號十四樓之１２,25.03123699,121.548312,30000000.00000010,25086772.0,19223582.0,23666120.0,28437612.0,29517976.0,30236308.0,25063167.211348100,18365604.833298500,23926825.56189830,29791893.054766800,30000000.00000010,30818136.58843570,26261238.11519990,18375972.739506500,24696127.75568760,29852192.884708500,30193383.49349750,30815155.951765200,28680668.0,22328220.0,25984120.0,26857820.0,30872800.0,32506954.0
臺北市中山區民權東路二段１５２巷５弄１號,25.06146,121.534672,22080000.000000000,23963228.0,17226420.0,21728400.0,23310192.0,26344424.0,28620282.0,22483696.65846370,20079331.035346900,21415972.71374080,22219121.58224570,22500000.000000000,25760465.65403200,24574241.934595200,18476877.29921680,21863306.3485862,23367046.646800000,23466413.18969800,28514792.336106100,24577350.0,20002940.0,22593874.0,23912684.0,23949840.0,27034570.0
臺北市內湖區內湖路三段３５９之６號,25.08929161,121.5837309,28980000.000000000,27557738.0,22688880.0,26031740.0,27819844.0,28747868.0,35658624.0,26079420.68274180,20240915.92833070,24246039.897116000,28980000.000000000,28980000.000000000,31197382.572382200,27352237.321687700,25150187.97644120,26131815.783937300,28981032.49044170,29150613.00237260,36623588.72561990,27251336.0,23128568.0,25899854.0,26775522.0,31718582.0,37735276.0
臺北市中正區臨沂街７１巷３１號五樓,25.03544999,121.530252,54880000.00000000,55908856.0,40829430.0,53462692.0,57550510.0,60331864.0,68315690.0,58319037.43896460,47564184.30483420,53482377.15923190,54880000.00000000,57500000.00000000,71523540.81863510,56708705.8879462,44414106.74149180,54864128.60409330,55878487.65287920,56557810.2716468,56800627.60705550,52791376.0,41344930.0,46598980.0,51557156.0,59139440.0,67908930.0
臺北市信義區忠孝東路五段４２３巷４弄２９號二樓,25.041449,121.576592,29500000.000000000,27121028.0,17877316.0,24455910.0,29549014.0,34263796.0,36970628.0,27690662.89604200,20891065.97549410,25612277.96408500,29500000.000000000,29500000.000000000,34416746.8780056,27099003.066017000,20066245.877132,27416865.20626920,29503307.559760700,29503636.13458530,29625354.20164780,27254714.0,21720608.0,23115780.0,26153672.0,31147656.0,31967658.0
臺北市內湖區陽光街１６１巷１２之３７號,25.07457001,121.585052,12390000.000000000,14615523.0,10520181.0,13203672.0,13398688.0,14944950.0,17797330.0,12918800.698495700,10543814.300132200,11885319.521693000,12390000.000000000,12390000.000000000,16071282.147119700,15996612.243046800,12383652.1585578,12708214.803527300,13395939.15888040,13551998.30068200,15632040.87114960,13949981.0,11855012.0,13079623.0,13738239.0,14611008.0,16360058.0
臺北市萬華區武昌街二段７２號,25.044806,121.506211,7339999.999999990,12163028.0,7956855.0,10918516.0,12992028.0,14598250.0,17780400.0,11674807.482033900,7898723.289012500,9062249.182934910,9159889.06136262,13600000.00000000,17142755.94072150,10759883.193364200,7186598.894411960,11188449.883717600,11693745.565780400,14944812.241572400,17517404.180882500,10837309.0,5768378.0,8349503.0,12447808.0,12938785.0,16242065.0
臺北市內湖區星雲街１２５號十一樓,25.08042401,121.595661,63579999.999999900,57869504.0,44093790.0,50024884.0,60903710.0,61730440.0,66619460.0,60101389.179995500,51568378.615063900,57091910.74380020,63289335.59456370,63579999.999999900,66471485.79794660,57485094.62657800,38016963.9828957,49531283.01688410,60221279.1474494,63254161.94830080,63622310.63046000,50437624.0,38777196.0,40767412.0,50063736.0,60197610.0,71353740.0
臺北市信義區大道路５５號四樓,25.04145902,121.582306,14000000.000000000,15755987.0,13324907.0,14396425.0,15648319.0,18593190.0,19338432.0,14649308.6232154,11746976.526183200,13480483.889678600,14000000.000000000,14149204.924715400,19170927.07775170,15879991.800039700,13949257.693193000,14157120.535534200,15507726.802571700,17090201.68744950,18972641.597743900,19342380.0,13792272.0,14629078.0,15580475.0,18441532.0,20404740.0
臺北市大安區敦化南路一段２３６巷７號十一樓,25.04068298,121.547768,80880000.00000000,61837910.0,45179496.0,56593470.0,73752550.0,76529200.0,80685080.0,68302499.74811120,53145083.65240240,65501105.18116060,79139484.79579410,80880000.00000000,80880000.00000000,68985259.74758900,42226558.1195991,61562169.718836900,75314825.16948280,80919381.79316040,89803258.47618540,92732370.0,46038170.0,68629390.0,76707490.0,81876936.0,99375800.0
臺北市大同區民權西路１５３號十樓之５,25.06314501,121.516434,10800000.0,10617748.0,6968736.5,10028093.0,10832432.0,10880161.0,13315659.0,10058660.75026510,8331387.983622370,9814996.62248984,10800000.0,10800000.0,12309055.46289040,10811758.043038500,9701205.609420920,10101717.365599400,10492820.651032800,10825376.247542300,11064652.085345800,11569794.0,10470376.0,10893970.0,11475970.0,12591873.0,14615328.0
