土地位置建物門牌,緯度,經度,actual_price,xgboost_qmean,xgboost_q0.1,xgboost_q0.25,xgboost_q0.5,xgboost_q0.75,xgboost_q0.9,rf_qmean,rf_q0.1,rf_q0.25,rf_q0.5,rf_q0.75,rf_q0.9,lgb_qmean,lgb_q0.1,lgb_q0.25,lgb_q0.5,lgb_q0.75,lgb_q0.9,nn_qmean,nn_q0.1,nn_q0.25,nn_q0.5,nn_q0.75,nn_q0.9,Ensemble_qmean,Ensemble_q0.1,Ensemble_q0.25,Ensemble_q0.5,Ensemble_q0.75,Ensemble_q0.9
臺北市萬華區中華路二段４９８巷１１號,25.02592002,121.507111,12699999.999999996,11665275.0,7825528.0,9553919.0,12706812.0,14131578.0,18374400.0,11071885.154340615,8724223.05257041,9849517.963322911,12699999.999999996,12699999.999999996,14281425.718946902,12383504.347814828,7269310.7603956275,9908795.43161639,12706796.766240548,15603159.157018133,19438140.728200894,12618296.0,6775893.0,8478748.0,12866973.0,15020709.0,19459350.0,11934740.125538861,7648738.703241509,9447745.098734826,12745145.441560136,14363861.539254531,17888329.11178695
臺北市北投區三合街一段６９號,25.12671211,121.5056256,67000000.00000012,61507490.0,43296730.0,59641490.0,65723244.0,66335060.0,92885670.0,58106899.385529324,43296125.98071095,55469814.01916185,66523282.78150404,67000000.00000012,68486262.16217257,61947147.01790163,50215551.99852804,59900383.91116235,67022516.47151451,68044606.53702043,80569639.77780512,56673510.0,38340636.0,39639116.0,58175280.0,78602080.0,98553000.0,59558761.600857735,43787260.99480975,53662700.98258105,64361080.81325464,69995436.63425514,85123642.98499441
臺北市中正區齊東街８２巷３８號,25.04237998,121.528491,16500000.000000011,20025960.0,10428462.0,16453939.0,19633080.0,27376838.0,31911550.0,19163387.846471302,12638580.673013397,15520953.580823995,16500000.000000011,16500000.000000011,24468106.518196218,19523086.211368203,12715683.530382749,16512553.968841972,19876970.15088061,27039988.849713817,30193192.55851678,18307270.0,7888273.5,17412666.0,18224456.0,18881560.0,26269960.0,19254926.01445988,10917749.925849035,16475028.137416491,18558626.537720155,22449596.712428458,28210702.26917825
臺北市北投區自強街１２０巷１５弄１７號四樓,25.110686,121.516559,16000000.000000026,18536712.0,14923644.0,16252725.0,16913608.0,18605004.0,20174596.0,15988687.000712082,14500456.43593594,15285799.974320635,16059554.997015106,16999999.999999974,19150847.537552003,16897861.153746653,15620188.2793319,15992976.205314286,16187932.065554308,19364994.213165745,19779151.417437863,16922674.0,7747823.5,16674523.0,17972362.0,19479588.0,22697018.0,17086483.538614683,13198028.05381696,16051506.04490873,16783364.265642352,18612396.55329143,20450403.238747466
臺北市文山區新光路一段９５巷２２號二樓,24.99115201,121.574704,16299999.99999999,15347819.0,12328862.0,14798218.0,16012870.0,16381134.0,20000766.0,15457334.84184563,12397784.662659988,14888922.060450068,16028847.696758032,16299999.99999999,17219367.93098186,15531341.435755402,11812105.035793671,14834160.83398842,15581123.657738838,16309696.621667009,16501109.83745859,15755205.0,6972173.5,15755416.0,16257500.0,17742322.0,22338060.0,15522925.069400258,10877731.299613414,15069179.223609623,15970085.338624217,16683288.15541675,19014825.942110114
臺北市內湖區星雲街１６８巷３７號,25.08008899,121.597329,15000000.00000001,12900885.0,9835408.0,11608300.0,14786340.0,16145943.0,21096712.0,10736808.44893792,7753976.474671894,11951240.883562054,15000000.00000001,15000000.00000001,17126885.984894957,13636399.912164189,7884785.112726252,14884930.4007984,14994543.171484737,16096162.50071392,19688615.15351728,13671295.0,6225076.0,12799684.0,14380206.0,16079070.0,19337732.0,12736347.090275528,7924811.396849536,12811038.821090113,14790272.292871187,15830293.875178482,19312486.28460306
臺北市北投區行義路１４２之１３號,25.129857,121.528211,7100000.000000005,9017510.0,5635463.0,7404124.0,8962434.0,11652666.0,15306452.0,8030360.646943482,6878183.013884665,6996378.538600788,7100000.000000005,8299999.999999997,11240786.80379532,9367467.376127768,5546486.850906761,6943348.697158199,8837413.248661017,12972407.944422193,17733785.200251892,9104215.0,6493818.0,8758035.0,9050421.0,13330118.0,17113796.0,8879888.255767811,6138487.716197857,7525471.558939747,8487567.062165255,11563797.986105546,15348705.001011804
臺北市中正區詔安街４３號四樓,25.025557,121.51222,14580000.000000026,14688520.0,10924099.0,14152672.0,14612931.0,16125815.0,18494968.0,14501762.922915826,12935313.148312936,13799765.60616839,14580000.000000026,14580000.000000026,18102510.93354077,14320608.21561989,9588649.626463952,14562944.704477904,14609852.99522244,18288104.657494828,18310369.22488199,14523348.0,5355864.5,12780656.0,13848604.0,15889924.0,19245926.0,14508559.784633929,9700981.56869422,13824009.577661574,14412846.998805616,16220960.914373714,18538443.539605692
臺北市大安區敦化南路二段４６號十四樓之１２,25.03123699,121.548312,30000000.00000005,27591768.0,18235548.0,24999124.0,27293260.0,28660052.0,30894478.0,24494128.093284182,17895588.20719986,24595800.55464261,29799497.20240441,30000000.00000005,31081245.065109625,28419582.78032025,19460205.26434467,24397930.543545127,29594412.29460872,30090423.17412937,32467220.31216446,22680572.0,7380204.0,19918802.0,21705328.0,28322100.0,30783658.0,25796512.718401108,15742886.367886132,23477914.274546936,27098124.37425328,29268143.793532353,31306650.34431852
臺北市中山區民權東路二段１５２巷５弄１號,25.06146,121.534672,22079999.999999966,21830590.0,13329152.0,18187544.0,22662498.0,23257432.0,27238916.0,20140710.338371977,16265254.042047707,20353821.06160222,22192341.028276328,22200000.000000004,23136946.389056053,21316516.26819828,13239061.541742222,19394237.10989227,22015804.753508948,23023769.168714564,26194438.622979827,20757916.0,8404522.0,18429542.0,19169138.0,22313192.0,26303804.0,21011433.151642565,12809497.395947482,19091286.04287362,21509945.44544632,22698598.292178642,25718526.25300897
臺北市內湖區內湖路三段３５９之６號,25.08929161,121.5837309,28980000.000000004,34224410.0,24961960.0,29121766.0,34110560.0,37711676.0,58097330.0,32875208.84994472,28856806.148235507,30002366.76712528,30239592.53284088,32879999.999999955,33551035.15506074,36239452.01005643,24513880.90831921,29329581.57935448,34567060.66025413,41088363.47309936,48789379.87433088,33856280.0,17891644.0,24623520.0,33621972.0,39112200.0,47993170.0,34298837.71500029,24056072.76413868,28269308.58661994,33134796.29827375,37698059.86827483,47107728.757347904
臺北市中正區臨沂街７１巷３１號五樓,25.03544999,121.530252,54879999.99999996,60266076.0,41916710.0,55612870.0,60534270.0,65132596.0,68202810.0,57484059.39498116,42094197.36786368,49755679.302097656,54879999.99999996,54879999.99999996,68415798.73424083,62579138.69089295,47158647.64420963,55458264.31412967,57622859.99874264,63652740.33782519,70225563.09662879,49436230.0,27608350.0,36354020.0,48730080.0,60818160.0,72092460.0,57441376.02146853,39694476.25301833,49295208.40405683,55441802.49968565,61120874.08445629,69734157.9577174
臺北市信義區忠孝東路五段４２３巷４弄２９號二樓,25.041449,121.576592,29499999.999999966,23324868.0,16860944.0,21140376.0,25240600.0,27373548.0,28272174.0,21842826.099939782,16441260.269068873,21113147.18425081,29165717.883001223,29499999.999999966,30160046.691484045,24871860.13943594,17723707.528973598,21124834.896780927,24755331.74597564,27257335.97543593,29224213.04110689,21602816.0,8577556.0,20151138.0,22188502.0,25812858.0,28827374.0,22910592.559843928,14900866.949510619,20882374.020257935,25337537.907244217,27485935.493858974,29120951.933147736
臺北市內湖區陽光街１６１巷１２之３７號,25.07457001,121.585052,12390000.000000004,13450128.0,9317698.0,12451512.0,13959670.0,15837458.0,17036934.0,12773007.374940958,9991887.174699368,11678378.485945022,12390000.000000004,14600000.000000011,17627440.519724198,14750750.196140973,11438413.874327008,12400044.272416009,13856741.20779906,14175608.214297865,15804363.328614753,12462014.0,6538174.0,9934788.0,13434796.0,15938946.0,18158324.0,13358974.892770482,9321543.262256593,11616180.689590259,13410301.801949766,15138003.053574469,17156765.462084737
臺北市萬華區武昌街二段７２號,25.044806,121.506211,7339999.999999994,10863158.0,7374203.0,8298847.0,12252462.0,16091526.0,21776692.0,12439574.111473829,7024010.549493849,7571873.205019849,7616147.111027522,9999999.999999996,18853905.960081182,11889139.39054523,7922499.493491085,8765639.81770882,12133355.382880293,16533012.655469028,22029812.072468456,11104598.0,8142082.5,10478747.0,10952180.0,16528644.0,19874816.0,11574117.375504766,7615698.885746233,8778776.755682167,10738536.123476954,14788295.663867256,20633806.50813741
臺北市內湖區星雲街１２５號十一樓,25.08042401,121.595661,63579999.999999896,60998344.0,44805852.0,52172756.0,59166856.0,63677100.0,63826176.0,59812606.07395744,48091629.0103893,57030032.32497572,61216165.47556892,63579999.999999896,65827760.447936215,60262832.88394525,46294989.029190905,55501294.35407709,62453677.82549851,66583238.04551008,66910868.738515146,43542530.0,20414822.0,31754598.0,41627096.0,54157310.0,67759620.0,56154078.239475675,39901823.00989505,49114670.16976321,56115948.82526685,61999412.0113775,66081106.29661284
臺北市信義區大道路５５號四樓,25.04145902,121.582306,14000000.000000007,17265728.0,12425534.0,14262938.0,15431270.0,18365010.0,19966234.0,15474549.405790811,13456835.177922498,13932365.750116948,14049911.031753108,15799999.999999998,18876711.638341308,17302578.998855494,13132956.824207049,14023425.256277367,14652262.843655936,19384767.089465957,21172826.30133187,17359906.0,6659096.0,15325733.0,16024634.0,18069704.0,20512558.0,16850690.601161577,11418605.500532387,14386115.501598578,15039519.468852261,17904870.27236649,20132082.484918296
臺北市大安區敦化南路一段２３６巷７號十一樓,25.04068298,121.547768,80880000.00000004,70670570.0,42814348.0,63866120.0,65641184.0,76428550.0,80959470.0,65946350.90890487,47154878.97641592,57747879.29926866,78948421.17347556,80880000.00000004,80880000.00000004,73571077.4628397,42091575.54787394,56555475.89702227,76678010.20506358,80086975.04556023,81928210.79958548,54005884.0,27878540.0,42289324.0,59016170.0,70703736.0,92077620.0,66048470.59293614,39984835.63107246,55114699.799072735,70070946.34463479,77024815.26139008,83961325.19989638
臺北市大同區民權西路１５３號十樓之５,25.06314501,121.516434,10800000.0,10465125.0,9293931.0,10030235.0,10030293.0,10677945.0,12988906.0,9732064.082791068,8325212.018455622,9848843.72015241,10800000.0,10800000.0,12687132.298755838,11578645.61285758,9107864.247769753,10191841.429998944,10657368.236425376,10664476.341414647,12153184.40503436,10242726.0,4766276.5,8148755.0,11164892.0,14689808.0,15022944.0,10504640.173912162,7873320.941556344,9554918.787537837,10663138.309106344,11708057.335353661,13213041.67594755
臺北市內湖區民權東路六段９０巷２５弄１７號三樓,25.06707001,121.586583,16000000.000000026,14797287.0,10229469.0,13832580.0,15953667.0,16628947.0,19745066.0,15755206.764700668,11543575.268778916,13897633.18936383,15899685.531501194,16000000.000000026,19164419.7193324,15633163.408577256,10889314.42239109,14753452.633019116,15955062.254529873,17828812.187999222,18020964.057654623,14618478.0,7342624.0,14311362.0,15421148.0,16767746.0,19940848.0,15201033.79331948,10001245.672792502,14198756.955595735,15807390.696507767,16806376.296999812,19217824.444246754
臺北市內湖區文湖街２１巷９４弄８號五樓,25.09032698,121.560749,19000000.00000001,15837065.0,13230117.0,16922190.0,18267088.0,19015138.0,21088264.0,17722267.591439135,12635570.026472002,17561311.236819852,19000000.00000001,19000000.00000001,21796013.94655557,17199812.238900222,11525000.42754048,16172999.821941176,18820818.138385784,19609294.93262201,23000450.75886868,17379188.0,7049302.0,16784386.0,17776704.0,20681958.0,26235360.0,17034583.20758484,11109997.36350312,16860221.764690258,18466152.53459645,19576597.733155508,23030022.176356062
