土地位置建物門牌,總價元,單價元平方公尺,車位移轉總面積平方公尺,車位總價元,countycode,鄉鎮市區,交易標的,緯度,經度,村里,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,車位類別,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,date,.id,t_mean_24h_idw,t_min_idw,t_max_idw,daily_rain_idw,count_anc_500m,count_clean_500m,count_cor_500m,count_cos_500m,count_uni_500m,count_fire_500m,count_gas_500m,count_inc_500m,count_lpg_500m,count_mall_500m,count_mart_500m,count_med_500m,count_nuc_500m,count_phar_500m,count_poli_500m,count_post_500m,count_simpmart_500m,count_temp_500m,count_died_500m,count_shop_500m,geometry,nearest_mrt_name,dist_to_mrt_meter,dist_to_rail_meter,dist_to_thsr_meter,house_age,aqi_idw
臺北市文山區興隆路二段２５３號,13680000,256228,0,0,63000,文山區,房地(土地+建物),25.0019569951119,121.551614022605,興邦里,11.81,住,NA,NA,1130129,土地1建物1車位0,八層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1080628,53.39,1,1,1,有,有,NA,夾層；,RPRNMLQKKHJGFAA37DA,24.55,5.45,2.13,有,510,2024-01-29,834,18.22818264830360,13.768118631170000,23.217398530742000,1.6932638831432700,0,0,0,0,1,0,1,0,0,0,19,28,0,7,1,1,2,1,0,21,"c(305679.591611536, 2766107.60777851)",臺北捷運辛亥站_BR05,636.988615842786,5883.560949977520,6152.514208085160,5,56.7091656881325
臺北市文山區興隆路二段３０１巷２２號,16300000,191180,0,807500,63000,文山區,房地(土地+建物)+車位,25.0029077962986,121.55408509148,興泰里,22.15,住,NA,NA,1130106,土地1建物1車位1,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,840511,85.26,2,2,1,有,有,坡道機械,NA,RPQNMLPLJHJGFAA17DA,49.88,1.5,5.85,有,128,2024-01-06,835,17.475187808068800,14.574706706795000,22.337912752472800,0,0,0,0,0,1,0,1,0,0,0,21,30,0,8,1,0,2,1,0,23,"c(305928.594381506, 2766213.94072071)",臺北捷運辛亥站_BR05,373.1559670075100,5678.624281499180,6213.156069840950,29,75.71852000116350
臺北市文山區興隆路二段９６巷１７號,1528000,NA,0,1528000,63000,文山區,車位,24.9996399856171,121.550199995539,興安里,0.21,住,NA,NA,1130109,土地1建物1車位1,二層,十三層,其他,住家用,鋼筋混凝土造,990212,39.61,0,0,0,無,有,坡道平面,僅車位交易；,RPPNMLRKJHJGFAA17DA,0,0,0,有,189,2024-01-09,836,17.75332828487760,16.40941027170850,20.18525155328030,1.9144949267656000,0,0,0,0,0,0,1,0,0,0,13,22,0,8,1,1,3,2,0,16,"c(305537.899322683, 2765850.38386406)",臺北捷運萬芳醫院站_BR04,760.8863456161050,6177.073274435620,6288.192632682720,14,41.68241725780720
臺北市文山區興隆路二段９６巷２號,22300000,178343,0,0,63000,文山區,房地(土地+建物),25.0005679880272,121.54978701917,興安里,22.14,住,NA,NA,1130104,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,710611,125.04,3,2,2,有,有,NA,陽台外推；其他增建；,RPOPMLOJJHJGFAA86DA,91.05,0,18.24,有,NA,2024-01-04,837,15.56540489467950,12.2042811467746,17.76355820450390,0,0,0,0,0,0,0,1,0,0,0,12,22,0,7,1,1,3,2,0,15,"c(305495.795267909, 2765953.00503484)",臺北捷運萬芳醫院站_BR04,813.4376449775790,6105.372772924610,6179.031180248530,42,62.08177217114390
臺北市文山區興隆路四段１４５巷８３弄２號,17500000,157049,0,0,63000,文山區,房地(土地+建物)+車位,24.9856129963815,121.564112026973,忠順里,21.67,住,NA,NA,1130108,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,870730,111.43,2,1,2,有,有,升降機械,車位面積無法概算陽台外推；夾層；其他增建；,RPWNMLMJKHJGFAA37DA,67.05,5.65,7.04,有,364,2024-01-08,840,17.998139031699800,16.280866927195900,21.020959892325600,0,0,0,0,0,0,1,1,0,0,0,29,38,0,10,3,2,1,2,0,30,"c(306948.690065632, 2764302.45331162)",臺北捷運萬芳社區站_BR03,1505.0369816204000,7187.297171485900,8359.121365753080,26,50.195109934005200
臺北市文山區興隆路四段１５１號,13900000,124207,0,0,63000,文山區,房地(土地+建物),24.9847610178333,121.561775990558,忠順里,17.85,住,NA,NA,1130109,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,730126,111.91,3,2,2,有,有,NA,親友、員工、共有人或其他特殊關係間之交易；陽台外推；,RPUNMLPJKHJGFAA47DA,84.33,0,13.45,有,226,2024-01-09,841,17.36558228380070,15.749030390899500,20.0443627672793,1.1512847578095600,0,0,0,0,0,1,1,0,0,0,25,45,0,9,2,1,1,2,0,26,"c(306713.246572563, 2764207.10511207)",臺北捷運萬芳醫院站_BR04,1664.6335261744400,7329.6459915013800,8306.255665634530,40,42.767346449585500
臺北市文山區興隆路四段２９巷４弄１號,13000000,238226,0,0,63000,文山區,房地(土地+建物),24.9907949822912,121.560077984612,明興里,27.24,住,NA,NA,1130205,土地2建物1車位0,六層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,871202,54.57,1,1,1,有,有,NA,NA,RPPNMLQJKHJGFAA07DA,37.58,0,4.03,有,NA,2024-02-05,843,16.090664824648400,14.736236058107700,17.476794800444300,2.620906511527150,0,0,0,0,0,1,1,0,0,0,19,10,0,4,2,0,0,1,0,19,"c(306539.063494941, 2764874.74864095)",臺北捷運萬芳醫院站_BR04,974.6484464808950,6725.07417539654,7655.389001526460,26,26.54735800864490
臺北市文山區萬利街３０巷３１號,14680000,155938,0,0,63000,文山區,房地(土地+建物),25.0012770132168,121.564244963957,萬美里,45.25,都市：其他:第參類住宅用地(萬芳社區特定專用區)。,NA,NA,1130124,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,771220,94.14,3,2,2,有,無,NA,陽台外推；其他增建；,RPPQMLOLJHJGFAA27DA,75.23,1.65,7.76,無,NA,2024-01-24,844,9.812666538092650,8.500220868444170,10.921151596287300,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,1,1,0,1,4,"c(306954.8912028, 2766037.53691786)",臺北捷運萬芳社區站_BR03,506.98048337483900,5494.041733865320,7011.244990075000,36,50.173201756477300
臺北市文山區萬安街４４巷６號,11100000,146149,0,0,63000,文山區,房地(土地+建物),24.9996259878388,121.570405998067,萬芳里,32,都市：其他:第貳類住宅用地及第壹類住宅用地(萬芳社區特定專用區)。,NA,NA,1130116,土地3建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,720728,75.95,2,2,1,有,有,NA,NA,RPVNMLMJKHJGFAA27DA,50.31,0,9.8,有,NA,2024-01-16,846,16.715045611899900,15.398155196940700,17.896481837256400,0,0,0,0,0,0,1,0,0,0,0,10,3,0,1,1,1,2,1,0,12,"c(307577.56872864, 2765857.26315407)",臺北捷運萬芳社區站_BR03,234.52518632461700,5548.879573677750,7042.472382143430,41,51.59296203262210
臺北市文山區萬美街二段２巷７號,8800000,188195,0,0,63000,文山區,房地(土地+建物),25.0035225767552,121.562943648454,萬美里,29.84,都市：其他:第貳類住宅用地(萬芳社區特定專用區)。,NA,NA,1130115,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,720916,46.76,1,1,1,有,有,NA,未登記建物；,RPPNMLQLKHJGFAA27DA,31.75,0,4.14,有,NA,2024-01-15,847,15.769979511587000,13.052214040314000,17.856041001486300,21.696864033729000,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,2,"c(306822.500731708, 2766285.72133555)",臺北捷運辛亥站_BR05,631.7267525607420,5290.871697837020,6739.95996412342,41,54.451658436386600
