土地位置建物門牌,總價元,單價元平方公尺,車位移轉總面積平方公尺,車位總價元,countycode,鄉鎮市區,交易標的,緯度,經度,村里,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,車位類別,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,date,.id,t_mean_24h_idw,t_min_idw,t_max_idw,daily_rain_idw,aqi_idw,towncode,MASTER_UP_rate,BACHELOR_UP_rate,Sex_ratio,popdense,Dependency_ratio,Old_ratio,count_anc_500m,count_clean_500m,count_cor_500m,count_cos_500m,count_uni_500m,count_fire_500m,count_gas_500m,count_inc_500m,count_lpg_500m,count_mall_500m,count_mart_500m,count_med_500m,count_nuc_500m,count_phar_500m,count_poli_500m,count_post_500m,count_simpmart_500m,count_temp_500m,count_died_500m,count_shop_500m,geometry,nearest_mrt_name,dist_to_mrt_meter,dist_to_rail_meter,dist_to_thsr_meter,house_age
臺北市中山區中山北路一段８３巷１３號,8600000,273189,0,0,63000,中山區,房地(土地+建物),25.0500673172297,121.524007218668,正得里,6.14,商,NA,NA,1120710,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,740129,31.48,0,0,0,無,有,NA,陽台外推；頂樓加蓋；夾層；,RPPNMLOJQHIGFCA57DA,22.37,0,3.69,有,505,2023-07-10,7,31.742794551562500,28.63969205112240,35.387576801945900,0,44.549182447775400,63000040003,0.15162564570039500,0.5545426921908230,76.72,24765.25,51.0008340070889,37.23936612291940,1,0,0,0,0,2,1,0,0,3,51,53,0,6,2,2,0,1,0,51,"c(121.524007218668, 25.0500673172297)",臺北捷運中山站_G14_R11,565.473394188856,883.6670686305160,756.7837517154670,38
臺北市中山區中山北路一段８３巷９號,9360000,157735,0,0,63000,中山區,房地(土地+建物),25.0502461870435,121.523399614507,正得里,9.89,商,NA,NA,1120708,土地2建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,630604,59.34,2,1,1,有,有,NA,陽台外推；其他增建；,RPXNMLQKQHIGFCA68DA,45.76,0,8,有,NA,2023-07-08,9,32.8494944569356,29.391598343327900,37.330351244167800,0,53.422387764349400,63000040003,0.15162564570039500,0.5545426921908230,76.72,24765.25,51.0008340070889,37.23936612291940,0,0,0,0,0,2,1,0,0,3,53,56,0,6,2,2,0,1,0,53,"c(121.523399614507, 25.0502461870435)",臺北捷運中山站_G14_R11,504.2671349356440,832.7660326403330,707.459362657219,49
臺北市中山區中山北路三段２５號,1800000,187696,0,0,63000,中山區,房地(土地+建物),25.0652370113252,121.522477018425,晴光里,0.46,商,NA,NA,1120709,土地2建物1車位0,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,670121,9.59,0,0,0,無,有,NA,NA,RPPOMLPLPHIGFCA87DA,5.41,0,0,有,NA,2023-07-09,10,31.961434625595500,29.18428800794040,35.09331141018230,0,59.210311205330900,63000040011,0.14303203427871900,0.5154050193837990,73.13,49418.72,48.326015354466000,34.495060363750000,1,0,0,0,1,0,0,0,0,0,47,48,0,11,0,3,0,4,0,47,"c(121.522477018425, 25.0652370113252)",臺北捷運民權西路站_O11_R13,421.9077303458870,2077.719054015870,2023.2262372285600,45
臺北市中山區中山北路二段１１６巷１２號,18590000,232114,0,0,63000,中山區,房地(土地+建物),25.0609170203381,121.521396004372,集英里,28.14,住,NA,NA,1120704,土地3建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,741212,80.09,5,0,5,有,無,NA,陽台外推；其他增建；,RPTOMLOJPHIGFCA97DA,65.63,0,7.83,無,NA,2023-07-04,12,31.2841410368418,27.119349383000300,35.67338625835190,0,29.62221496003280,63000040008,0.12927883017613800,0.5149551345962110,80.54,19971.22,54.244031818248400,33.02387267174540,0,0,0,0,0,0,0,0,0,0,67,86,0,10,0,2,0,7,0,67,"c(121.521396004372, 25.0609170203381)",臺北捷運民權西路站_O11_R13,268.5155214250080,1590.878616182500,1533.3669929781300,38
臺北市中山區中山北路二段５９巷７號,26100000,248552,26.86,2500000,63000,中山區,房地(土地+建物)+車位,25.0559760141447,121.523464993352,中山里,15.2,商,NA,NA,1120718,土地1建物1車位1,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1041127,121.81,2,1,1,有,有,升降平面,NA,RPQNMLRJQHIGFCA08EA,51.62,7.23,3.79,有,NA,2023-07-18,15,29.51481151300100,27.853906435479100,33.947721958149900,5.22612714231919,37.70108382431090,63000040006,0.14644351464435100,0.5074026392018020,73.41,40896.36,42.8995336916279,31.7083509894641,0,0,0,0,0,0,1,0,0,3,78,82,0,8,2,1,0,4,0,78,"c(121.523464993352, 25.0559760141447)",臺北捷運雙連站_R12,353.2798365931430,1220.491105959830,1128.7540307866400,8
臺北市中山區中山北路二段６２巷８號,15000000,254755,0,0,63000,中山區,房地(土地+建物),25.0566469854939,121.522076028177,民安里,10.46,住,NA,NA,1120819,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,960716,58.88,1,1,1,有,有,NA,陽台外推；其他增建；,RPXNMLSLQHIGFCA98DA,23.72,0,6.66,有,219,2023-08-19,16,29.152773731991500,25.84485061715200,33.54650971417740,1.8939787057098300,33.87430732043160,63000040004,0.14783281733746100,0.5314757481940140,87.14,19125.48,61.144130735087600,43.98216937444940,0,0,0,0,0,1,0,0,0,3,82,77,0,10,2,1,0,7,0,82,"c(121.522076028177, 25.0566469854939)",臺北捷運雙連站_R12,196.37451547167100,1197.728004231770,1119.2440980169700,16
臺北市中山區中山北路二段６５巷１０號,38580000,268888,41.12,0,63000,中山區,房地(土地+建物)+車位,25.0570240034987,121.524004033545,中山里,13.04,商,NA,NA,1120721,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090428,143.48,2,2,1,有,有,坡道平面,NA,RPWNMLLKQHIGFCA08DA,55.72,3.2,9.57,有,841,2023-07-21,17,30.285528129338000,26.70809585457710,34.465442856254600,0.18753379653024200,37.46795968798090,63000040006,0.14644351464435100,0.5074026392018020,73.41,40896.36,42.8995336916279,31.7083509894641,0,0,0,0,0,0,1,0,0,1,80,64,0,10,1,1,0,4,0,80,"c(121.524004033545, 25.0570240034987)",臺北捷運雙連站_R12,356.1987407934600,1344.8340084850000,1255.088471593340,3
臺北市中山區五常街１號,24100000,213539,0,0,63000,中山區,房地(土地+建物),25.0644289958591,121.537394962058,行孝里,34,住,NA,NA,1120714,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,681210,112.86,3,2,2,有,無,NA,NA,RPQNMLOKQHIGFCA77DA,91.65,0,21.21,無,NA,2023-07-14,18,31.525068384446700,28.379348141969300,34.80015706122310,0,29.453389227243300,63000040026,0.1113115176500900,0.46560164905952100,91.11,35681.21,44.64166107011330,29.973208295387400,0,1,0,0,0,1,1,0,0,0,46,39,0,9,1,1,1,2,3,47,"c(121.537394962058, 25.0644289958591)",臺北捷運行天宮站_O09,623.8405933605310,2880.1879720119500,2772.577691662050,44
臺北市中山區八德路二段１６７巷５號,10000000,236911,0,0,63000,中山區,房地(土地+建物),25.0468469900297,121.538216975303,朱崙里,12.24,住,NA,NA,1120704,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,841127,42.21,1,1,1,有,無,NA,NA,RPPNMLOLPHIGFCA67DA,29.53,2.83,3.53,有,NA,2023-07-04,20,30.98431175791560,26.73560263978250,35.91958987224880,0,26.98154841767940,63000040038,0.17303370786516900,0.5625468164794010,82.42,23336.39,50.15120965214150,34.57661288579810,0,0,0,0,0,2,2,0,0,0,20,33,0,5,1,1,0,1,0,20,"c(121.538216975303, 25.0468469900297)",臺北捷運忠孝新生站_BL14_O07,739.7908893171020,2272.557188518600,2144.4494250087200,28
臺北市中山區北安路４５８巷４７弄１８號,16300000,302805,0,0,63000,中山區,房地(土地+建物),25.0781899853974,121.546150027563,永安里,12.64,住,NA,NA,1120703,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,961219,53.83,1,1,1,有,有,NA,NA,RPRNMLMLPHIGFCA67DA,31.01,1.9,2.94,有,507,2023-07-03,22,30.265505649828200,26.874362704644500,34.51466842119160,0,36.31739947274390,63000040016,0.1999244617902560,0.6371647991942590,84.96,27316.52,51.66884815908560,29.957460728082900,0,0,0,0,0,0,0,0,0,0,14,21,0,5,1,2,0,1,1,14,"c(121.546150027563, 25.0781899853974)",臺北捷運大直站_BR14,156.72080227274200,4559.216394804660,4481.903911019780,16
臺北市中山區北安路５７８巷８弄９號,27800000,215020,0,0,63000,中山區,房地(土地+建物),25.0804759818504,121.548754033422,永安里,32.21,住,NA,NA,1120715,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,710201,129.29,4,2,2,有,無,NA,陽台外推；,RPTOMLTLQHIGFCA78DA,91.38,0,25.35,無,NA,2023-07-15,23,32.38990954088580,29.673189922762700,35.704215476929900,0,18.499942778846000,63000040016,0.1999244617902560,0.6371647991942590,84.96,27316.52,51.66884815908560,29.957460728082900,0,0,0,0,1,0,1,0,0,0,27,44,0,11,1,2,0,2,0,27,"c(121.548754033422, 25.0804759818504)",臺北捷運大直站_BR14,234.4964441545490,4565.511079006580,4845.47564896409,41
