土地位置建物門牌,總價元,單價元平方公尺,車位移轉總面積平方公尺,車位總價元,countycode,鄉鎮市區,交易標的,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,車位類別,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,lat,lng,nomi_address,里,date,.id,t_mean_24h_idw,t_min_idw,t_max_idw,daily_rain_idw,aqi_idw,towncode,MASTER_UP_rate,BACHELOR_UP_rate,Sex_ratio,popdense,Dependency_ratio,Old_ratio,count_anc_500m,count_clean_500m,count_cor_500m,count_cos_500m,count_uni_500m,count_fire_500m,count_gas_500m,count_inc_500m,count_lpg_500m,count_mall_500m,count_mart_500m,count_med_500m,count_nuc_500m,count_phar_500m,count_poli_500m,count_post_500m,count_simpmart_500m,count_temp_500m,count_died_500m,count_shop_500m,geometry,nearest_mrt_name,dist_to_mrt_meter,dist_to_rail_meter,dist_to_thsr_meter,house_age
臺北市中山區中原街２２號六樓之１１,8400000,243337,0,0,63000,中山區,房地(土地+建物),5.69,住,NA,NA,1131020,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,660625,34.52,1,1,1,有,有,NA,NA,RPUNMLSJJIJGFCA97DA,25.28,0,3.32,有,NA,25.056705994092300,121.52873503115400,"12號, 新生北路二段77巷, 中原里, 中山區, 南西商圈, 臺北市, 104, 臺灣",中原里,2024-10-20,6,24.418323967435600,23.74810748385340,25.010821809738000,0.9504791706319170,34.35374065525090,63000040031,0.1589708247185850,0.5377900298644610,83.52,28600.55,58.95669289,42.81496062,0,0,0,0,0,0,1,0,0,1,68,52,0,12,2,1,0,3,0,68,"c(121.528735031154, 25.0567059940923)",臺北捷運行天宮站_O09,599.0204939759520,1662.161751126490,1551.6527797515500,47
臺北市中山區中山北路一段５３巷２０號三樓之２,7300000,157940,0,0,63000,中山區,房地(土地+建物),6.65,商,NA,NA,1131001,土地1建物1車位0,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,660301,46.220000000000000,1,1,1,有,有,NA,親友、員工、共有人或其他特殊關係間之交易；,RPROMLLKIIJGFCA07DA,33.06,0,4.03,有,NA,25.04892628875050,121.5228801041480,"20號, 中山北路一段53巷, 正得里, 中山區, 南西商圈, 臺北市, 104, 臺灣",正得里,2024-10-01,10,29.6151997252566,27.178287729408300,32.26152587241390,0,27.649220440205900,63000040003,0.15657311669128500,0.5692762186115210,75.99,25469.7,52.49795248,38.6158886,0,0,0,0,0,2,1,0,0,2,57,52,0,6,2,4,0,2,0,57,"c(121.522880104148, 25.0489262887505)",臺北捷運善導寺站_BL13,478.45532452783000,740.2828332103840,610.9972614058100,47
臺北市中山區中山北路二段１１８號二樓,22380000,285796,17.62,2400000,63000,中山區,房地(土地+建物)+車位,7.21,商,NA,NA,1131015,土地2建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080227,87.53,2,2,1,有,有,塔式車位,塔式車位位於地下三層。,RPUNMLNLIIJGFCA57DA,38.03,2.96,3.14,有,492,25.06101299312940,121.5227330017480,"1號, 中山北路二段116巷, 集英里, 中山區, 雙連, 臺北市, 104, 臺灣",集英里,2024-10-15,21,27.92620154345080,26.128557078310300,31.638993782564700,0,25.89828751645090,63000040008,0.13080724876441500,0.5210873146622730,79.87,20154.39,55.76199955,34.26233134,0,0,0,0,0,0,0,0,0,0,75,83,0,10,0,2,0,7,0,75,"c(121.522733001747, 25.0610129931294)",臺北捷運民權西路站_O11_R13,372.6861584663700,1653.968726790830,1587.7123556222800,5
臺北市中山區北安路６３０巷２５弄１６號六樓,11000000,87873,0,0,63000,中山區,房地(土地+建物),19.79,住,NA,NA,1131015,土地1建物1車位0,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,861008,125.18,3,2,2,有,有,NA,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLOJJIJGFCA17EA,86.2,2.93,10,有,NA,25.0835489971021,121.5499280027810,"28號, 北安路639巷9弄, 成功里, 中山區, 下塔悠, 臺北市, 104, 臺灣",成功里,2024-10-15,29,27.889955841290000,26.010570586533400,31.84621769867780,0,28.25641357216720,63000040015,0.19829153035259900,0.6424936386768450,84.29,10228.46,55.31865041,28.91283973,0,0,0,0,1,0,1,0,0,0,23,43,0,10,0,1,0,4,0,23,"c(121.549928002781, 25.0835489971021)",臺北捷運劍南路站_BR15,539.8137034235270,4756.741375335150,5180.8655100338,27
臺北市中山區南京東路二段１０８號九樓之１７,17220000,353303,0,0,63000,中山區,房地(土地+建物),3.19,商,NA,NA,1131013,土地3建物1車位0,九層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,990917,48.74,1,1,1,有,有,NA,NA,RPWNMLTLIIJGFCA38DA,27.68,1.36,3.47,有,628,25.051839000103900,121.53216901306600,"108號, 南京東路二段, 興亞里, 中山區, 朱厝崙, 臺北市, 104, 臺灣",興亞里,2024-10-13,30,27.918720068505500,25.14961751960670,31.308795497372000,0,32.40587332105350,63000040032,0.17677286742034900,0.5932168550873590,81.24,22112.88,57.92964243,40.28258361,0,0,0,0,0,0,1,0,0,0,61,79,0,9,1,2,0,0,0,61,"c(121.532169013066, 25.0518390001039)",臺北捷運松江南京站_G15_O08,93.07514975370620,1728.48599743377,1600.2855661105600,14
臺北市中山區南京東路二段１０８號六樓之２５,22800000,343788,0,0,63000,中山區,房地(土地+建物),4.35,商,NA,NA,1131107,土地3建物1車位0,六層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,990917,66.32,1,1,1,有,有,NA,NA,RPPNMLKLJIJGFCA86DA,38.96,1.08,4.21,有,120,25.051839000103900,121.53216901306600,"108號, 南京東路二段, 興亞里, 中山區, 朱厝崙, 臺北市, 104, 臺灣",興亞里,2024-11-07,31,20.417569658519000,19.278551819911700,21.361757659780600,0.25372712319525500,35.158404676942800,63000040032,0.17677286742034900,0.5932168550873590,81.24,22112.88,57.92964243,40.28258361,0,0,0,0,0,0,1,0,0,0,61,79,0,9,1,2,0,0,0,61,"c(121.532169013066, 25.0518390001039)",臺北捷運松江南京站_G15_O08,93.07514975370620,1728.48599743377,1600.2855661105600,14
臺北市中山區合江街１４４巷４號二樓,16300000,215381,0,0,63000,中山區,房地(土地+建物),29.75,住,NA,NA,1131009,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,561002,75.68,3,2,1,有,無,NA,陽臺外推；,RPRNMLTLJIJGFCA08EA,75.68,0,0,無,690,25.059818991022100,121.53887000937900,"4號, 合江街144巷, 江山里, 中山區, 下埤頭, 臺北市, 104, 臺灣",江山里,2024-10-09,34,23.83196141581300,23.218117939565800,24.539930571044400,0.5771790031538090,42.99398698944060,63000040029,0.16116085211485000,0.5615930842852730,88.13,35893.3,57.66120217,41.59562841,0,0,0,0,0,0,0,0,0,0,39,49,0,13,0,1,0,1,3,39,"c(121.538870009379, 25.0598189910221)",臺北捷運中山國中站_BR12,527.2094142262730,2705.061669623140,2586.010852075960,57
臺北市中山區合江街２９號四樓之２,12280000,305321,0,0,63000,中山區,房地(土地+建物),6.55,住,NA,NA,1131012,土地1建物1車位0,四層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,970822,40.22,1,1,1,有,有,NA,夾層；其他增建；,RPQOMLRKIIJGFCA57DA,22.03,2.72,0,有,NA,25.05537901309100,121.53917100352200,"29號, 合江街, 朱馥里, 中山區, 朱厝崙, 臺北市, 104, 臺灣",朱馥里,2024-10-12,35,25.61876975971300,23.571389395220400,27.77074465571630,0,35.216605250274300,63000040034,0.1336452400325470,0.5134255492270140,84.35,30743.57,53.99281568,35.83862945,1,1,0,0,0,0,0,0,0,0,46,52,0,13,1,2,0,0,0,46,"c(121.539171003522, 25.055379013091)",臺北捷運南京復興站_BR11_G16,618.9743980272870,2522.4074097001800,2396.0220037909500,16
臺北市中山區吉林路３４３巷３６號四樓,26500000,201674,0,0,63000,中山區,房地(土地+建物),47,住,NA,NA,1131012,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,620112,131.4,3,1,1,有,無,NA,NA,RPTNMLSKIIJGFCA87DA,115.2,0,16.2,無,NA,25.064217017527800,121.53199902807000,"36號, 吉林路343巷, 新福里, 中山區, 下埤頭, 臺北市, 104, 臺灣",新福里,2024-10-12,36,25.66308488697090,23.726513045556400,27.67658125736070,0,34.413231433463900,63000040020,0.1180887372013650,0.4857792946530150,82.57,34614.13,50.37453182,37.17228463,1,1,0,0,0,0,0,0,0,0,59,55,0,11,0,1,2,3,3,61,"c(121.53199902807, 25.0642170175278)",臺北捷運行天宮站_O09,430.28928565591900,2474.2267204873600,2377.9251002670800,51
臺北市中山區四平街８９號三樓,3349109,85284,0,0,63000,中山區,房地(土地+建物),7.13,住,NA,NA,1131108,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,760418,39.260000000000000,4,2,2,有,無,NA,親友、員工、共有人或其他特殊關係間之交易；,RPQRMLSKJIJGFCA08DA,29.86,0.4,2.28,有,NA,25.05371591777250,121.53506588262300,"89號, 四平街, 中央里, 中山區, 朱厝崙, 臺北市, 104, 臺灣",中央里,2024-11-08,37,21.71318126457000,20.130008157613200,23.017992268848600,0.0708233584323355,35.72882697803050,63000040033,0.16058621764889300,0.5715622076707200,86.94,14964.56,57.31191883,35.54522399,1,0,0,0,0,0,0,0,0,0,60,51,0,8,1,2,0,0,0,60,"c(121.535065882623, 25.0537159177725)",臺北捷運松江南京站_G15_O08,266.06160927442800,2070.300189836440,1943.5210844236400,37
