土地位置建物門牌,總價元,單價元平方公尺,車位移轉總面積平方公尺,車位總價元,countycode,鄉鎮市區,交易標的,緯度,經度,村里,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,車位類別,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,date,.id,t_mean_24h_idw,t_min_idw,t_max_idw,daily_rain_idw,aqi_idw,towncode,MASTER_UP_rate,BACHELOR_UP_rate,Sex_ratio,popdense,Dependency_ratio,Old_ratio,count_anc_500m,count_clean_500m,count_cor_500m,count_cos_500m,count_uni_500m,count_fire_500m,count_gas_500m,count_inc_500m,count_lpg_500m,count_mall_500m,count_mart_500m,count_med_500m,count_nuc_500m,count_phar_500m,count_poli_500m,count_post_500m,count_simpmart_500m,count_temp_500m,count_died_500m,count_shop_500m,geometry,nearest_mrt_name,dist_to_mrt_meter,dist_to_rail_meter,dist_to_thsr_meter,house_age
臺北市文山區興隆路二段１５３巷２弄８號,23000000,196497,0,0,63000,文山區,房地(土地+建物),25.00088,121.54871,興豐里,54.75,住,NA,NA,1120115,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,580606,117.05,4,2,2,有,無,NA,其他增建；,RPXNMLKKKHIGFAA27DA,117.05,0,0,無,NA,2023-01-15,767,14.91073175,11.9518517,19.42648513,3.247947253,30.93799123,63000080013,0.1764298893,0.5664206642,94.12,25236.98,46.81490383,28.66586538,0,0,0,0,0,0,0,0,0,0,11,23,0,7,1,1,3,1,0,14,"c(121.548710028431, 25.0008800043729)",臺北捷運萬芳醫院站_BR04,926.5561312,6067.329323,6092.051276,54
臺北市文山區興隆路二段２５１號九樓,11500000,230046,0,0,63000,文山區,房地(土地+建物),25.00110604,121.5516208,興業里,10.7,住,NA,NA,1120103,土地1建物1車位0,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1080628,49.99,2,1,1,有,有,NA,夾層；,RPQPMLTJKHIGFAA57DA,24.15,2.8,2.13,有,337,2023-01-03,768,15.38966384,14.05068023,16.34695931,1.533775443,34.16749546,63000080017,0.1669208978,0.5526258444,88.62,38985.62,53.08376801,39.92022091,0,0,0,0,1,0,1,0,0,0,20,30,0,9,1,1,2,1,0,22,"c(121.551620849996, 25.0011060389595)",臺北捷運萬芳醫院站_BR04,647.2991714,5967.262093,6230.709987,4
臺北市文山區興隆路四段１０５巷５號七樓,10100000,182772,0,0,63000,文山區,房地(土地+建物),24.98793998,121.56113,明義里,11.69,住,NA,NA,1120118,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840821,55.26,1,1,1,無,有,NA,NA,RPQNMLLLKHIGFAA86EA,35.35,1.21,5.88,有,NA,2023-01-18,769,13.48536095,12.89020583,14.3,0.07467780978,42.18478863,63000080025,0.1151615576,0.4587130627,91.01,18780.16,38.28783281,22.2446916,0,0,0,0,0,1,1,0,0,0,31,28,0,5,2,1,0,1,0,31,"c(121.56112999728, 24.9879399803411)",臺北捷運萬芳醫院站_BR04,1307.479927,7002.936006,7976.516093,28
臺北市文山區興隆路四段１０９巷３２弄６號五樓,26300000,111313,0,0,63000,文山區,房地(土地+建物)+車位,24.98617999,121.56319,忠順里,39.43,住,NA,NA,1120104,土地1建物1車位2,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,881117,236.27,3,2,1,有,有,坡道平面,親友、員工、共有人或其他特殊關係間之交易；,RPPOMLOJKHIGFAA86DA,96.29,0.88,9.37,有,NA,2023-01-04,770,15.94956292,14.20877798,17.47701411,0.2929195971,30.41655763,63000080038,0.1689008043,0.5713136729,86.88,28442.3,44.94699645,31.27208479,0,0,0,0,0,1,1,0,0,0,30,37,0,8,2,2,0,2,0,30,"c(121.563190017623, 24.9861799902218)",臺北捷運萬芳社區站_BR03,1475.17428,7144.955226,8254.617877,24
臺北市文山區興隆路四段２之５號十三樓,45180000,156549,27.89,0,63000,文山區,房地(土地+建物)+車位,24.98978002,121.55983,明義里,39.71,住,NA,NA,1120203,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060112,288.6,3,2,3,有,有,升降機械,NA,RPQNMLQJKHIGFAA07DA,141.51,10.79,18.67,有,NA,2023-02-03,772,17.00498329,16.07443285,18.70128352,0,38.81778624,63000080025,0.1151615576,0.4587130627,91.01,18780.16,38.28783281,22.2446916,0,0,0,0,0,1,1,0,0,0,19,11,0,4,2,0,0,1,0,19,"c(121.559829964098, 24.9897800176357)",臺北捷運萬芳醫院站_BR04,1078.844247,6840.069228,7734.154298,6
臺北市文山區興隆路四段９６巷３弄１１號二樓,24700000,135893,0,2000000,63000,文山區,房地(土地+建物)+車位,24.98269002,121.56176,樟腳里,53.38,住,NA,NA,1120108,土地1建物1車位1,二層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,810811,181.76,4,2,2,有,有,坡道平面,其他增建；,RPPOMLRJKHIGFAA17DA,150.31,4.46,12.16,有,NA,2023-01-08,774,19.84594235,16.98340463,23.73905287,0,61.6285125,63000080032,0.1469970601,0.5243595128,93.72,30341.27,42.72942413,24.90139363,0,0,0,0,0,0,0,0,0,0,27,39,0,7,0,1,1,1,0,28,"c(121.561759981123, 24.9826900171967)",臺北捷運萬芳醫院站_BR04,1887.508307,7553.607353,8498.775353,31
臺北市文山區萬利街１號三樓,18000000,146568,0,0,63000,文山區,房地(土地+建物),24.99968998,121.56647,萬美里,46.73,都市：其他:第參類住宅用地。,NA,NA,1120115,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,790922,122.81,3,2,2,無,無,NA,陽台外推；其他增建；,RPXNMLNLKHIGFAA67DA,107.25,0.34,11.91,無,NA,2023-01-15,775,14.26780701,11.24522814,19.08569238,3.74371809,30.92346857,63000080039,0.1503196632,0.5258069546,91.08,9609.49,44.5706028,31.23451692,0,0,0,0,0,1,0,0,0,0,5,2,0,1,1,1,2,0,0,7,"c(121.566470023974, 24.9996899836695)",臺北捷運萬芳社區站_BR03,222.5779101,5612.322826,7254.655142,33
臺北市文山區萬安街１２巷４號六樓之２,10745744,100193,0,0,63000,文山區,房地(土地+建物),25.00135999,121.56997,萬芳里,55.54,都市：其他:第貳類住宅用地(萬芳社區特定專用區)。,NA,NA,1120117,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,720728,107.25,3,2,2,無,有,NA,親友、員工、共有人或其他特殊關係間之交易；,RPROMLRKKHIGFAA47DA,70.14,0,7.18,有,NA,2023-01-17,776,14.19375345,12.70023539,15.31379667,0.4843976389,29.26451967,63000080033,0.156612529,0.5401682135,89.02,20412.51,43.61822288,27.95557228,0,0,0,0,0,1,0,0,0,0,8,2,0,1,1,1,2,0,0,10,"c(121.569969971464, 25.0013599940582)",臺北捷運萬芳社區站_BR03,342.8033949,5365.507567,6904.16354,40
臺北市文山區萬安街４２號七樓之１,10000000,169924,0,0,63000,文山區,房地(土地+建物),24.99958001,121.57091,萬芳里,34,都市：其他:第貳類住宅用地及第壹類住宅用地(萬芳社區特定專用區)。,NA,NA,1120205,土地3建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,720728,58.85,2,2,1,無,有,NA,陽台外推；其他增建；,RPXNMLOKKHIGFAA67DA,41.45,0,4.35,有,117,2023-02-05,777,18.31725011,16.69267624,20.20079903,13.53584254,32.23837996,63000080033,0.156612529,0.5401682135,89.02,20412.51,43.61822288,27.95557228,0,0,0,0,0,0,0,0,0,0,10,3,0,1,0,1,2,0,0,12,"c(121.570910001905, 24.9995800130999)",臺北捷運萬芳社區站_BR03,278.6075782,5546.907673,7020.028875,40
臺北市文山區萬芳路５０之２２號,61880000,184935,78.42,6000000,63000,文山區,房地(土地+建物)+車位,24.99687999,121.57068,萬芳里,156.06,住,NA,NA,1120109,土地1建物2車位2,全,三層,透天厝,住家用,鋼筋混凝土造,920829,380.58,5,3,4,無,有,坡道平面,陽台外推；夾層；其他增建；,RPPOMLLLKHIGFAA76DA,243.55,4.63,17.45,無,NA,2023-01-09,778,19.68805601,16.61522969,23.81475246,6.500781475,69.71598315,63000080033,0.156612529,0.5401682135,89.02,20412.51,43.61822288,27.95557228,0,0,0,0,0,0,0,0,0,0,6,2,0,1,0,0,1,1,6,7,"c(121.570680002482, 24.9968799925395)",臺北捷運萬芳社區站_BR03,305.4922405,5846.428642,7288.288097,20
