土地位置建物門牌,總價元,單價元平方公尺,車位移轉總面積平方公尺,車位總價元,countycode,鄉鎮市區,交易標的,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,車位類別,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,lat,lng,nomi_address,村里,date,.id,t_mean_24h_idw,t_min_idw,t_max_idw,daily_rain_idw,aqi_idw,towncode,MASTER_UP_rate,BACHELOR_UP_rate,Sex_ratio,popdense,Dependency_ratio,Old_ratio,count_anc_500m,count_clean_500m,count_cor_500m,count_cos_500m,count_uni_500m,count_fire_500m,count_gas_500m,count_inc_500m,count_lpg_500m,count_mall_500m,count_mart_500m,count_med_500m,count_nuc_500m,count_phar_500m,count_poli_500m,count_post_500m,count_simpmart_500m,count_temp_500m,count_died_500m,count_shop_500m,geometry,nearest_mrt_name,dist_to_mrt_meter,dist_to_rail_meter,dist_to_thsr_meter,house_age
臺北市內湖區安康路４３４巷２０弄５８號五樓,33500000,210426,35.59,2500000,63000,內湖區,房地(土地+建物)+車位,43.51,住,NA,NA,1130805,土地1建物1車位1,五層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960315,182.91,3,2,2,有,有,坡道平面,含土地增值稅或其他稅費；陽台外推；,RPVNMLLLQHJGFCA18DA,93.34,8.51,11.93,有,NA,25.066741018121500,121.61608401761200,"17號, 安康路434巷20弄, 五分里, 內湖區, 五分, 臺北市, 114, 臺灣",五分里,2024-08-05,444,31.44023603436950,28.541677692690500,35.2,0,47.38344812873830,63000100022,0.1128210931311530,0.4722190788729210,89.08,36827.08,49.29039301,20.59224891,0,0,0,0,0,1,3,0,0,0,29,34,0,7,2,1,0,3,0,29,"c(121.616084017612, 25.0667410181215)",臺北捷運東湖站_BR22,442.3888350359490,1705.4571588844300,1704.9824465564300,17
臺北市內湖區安泰街８９號二樓之１,26200000,177812,41.98,2800000,63000,內湖區,房地(土地+建物)+車位,26.98,住,NA,NA,1130717,土地1建物1車位1,二層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,970619,173.58000000000000,3,2,2,有,有,坡道平面,NA,RPPNMLMLQHJGFCA77EA,72.89,7.58,11.69,有,582,25.0766892056338,121.61686319933100,"91號, 安泰街, 安泰里, 內湖區, 五分, 臺北市, 114, 臺灣",安泰里,2024-07-17,445,30.53994406491260,26.957148734356400,34.21294465629470,0,36.709735549245500,63000100033,0.10227518959913300,0.4435536294691220,93.39,4239.68,43.792633,25.92087312,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,9,"c(121.616863199331, 25.0766892056338)",臺北捷運葫洲站_BR21,1063.359659065200,2735.533880429750,2735.0143672522700,16
臺北市內湖區康寧路一段１１２號四樓,16500000,153617,0,0,63000,內湖區,房地(土地+建物),30.3,住,NA,NA,1130707,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690709,107.41,2,2,2,有,無,NA,其他增建：陽台外推。其他增建；,RPQOMLMKPHJGFCA67DA,94.22,0,13.19,無,NA,25.07944199027470,121.59329203031600,"112號, 康寧路一段, 紫星里, 內湖區, 臺北市, 114, 臺灣",紫星里,2024-07-07,446,30.268880605845300,27.802953868233200,35.23921070691310,5.389268690598320,32.243384723705000,63000100011,0.13172161172161200,0.5073992673992670,88.6,35264.18,52.3462145,34.56230283,0,0,0,0,0,0,0,0,0,0,33,51,0,15,2,0,1,2,0,34,"c(121.593292030316, 25.0794419902747)",臺北捷運內湖站_BR19,503.3653224507910,3196.655971753270,3196.158462511390,44
臺北市內湖區康寧路一段１５６巷３２弄２１號二樓,15400000,208024,0,0,63000,內湖區,房地(土地+建物),26.87,住,NA,NA,1130721,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,661110,74.03,2,2,1,有,無,NA,陽台外推；其他增建；,RPSOMLLLQHJGFCA97DA,63.48,0,10.55,無,711,25.077476685437100,121.59410289563000,"21號, 康寧路一段156巷32弄, 紫雲里, 內湖區, 臺北市, 114, 臺灣",紫雲里,2024-07-21,447,32.27472103395000,29.13214948589190,35.50196056202600,0,20.77987346211080,63000100016,0.12844036697247700,0.5109072375127420,91.08,15168.88,43.17771472,26.51534691,0,0,0,0,0,0,0,0,0,0,22,22,0,9,0,0,1,1,0,23,"c(121.59410289563, 25.0774766854371)",臺北捷運內湖站_BR19,711.6726038200690,2965.344941012810,2964.8493653493300,47
臺北市內湖區康寧路一段１９５巷２弄２號三樓,21500000,175310,0,0,63000,內湖區,房地(土地+建物),50.76,住,NA,NA,1130813,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,780808,122.64,3,2,2,有,無,NA,親友、員工、共有人或其他特殊關係間之交易；,RPVOMLKLQHJGFCA18DA,104.13,0.36,10.7,無,NA,25.078658994789500,121.59670103415700,"2號, 康寧路一段195巷2弄, 紫雲里, 內湖區, 臺北市, 114, 臺灣",紫雲里,2024-08-13,448,30.339517295733300,28.12511344507960,35.97117572337560,11.735632997957700,40.49839452159670,63000100016,0.12844036697247700,0.5109072375127420,91.08,15168.88,43.17771472,26.51534691,0,0,0,0,0,0,0,0,0,0,15,10,0,5,1,0,1,1,0,16,"c(121.596701034157, 25.0786589947895)",臺北捷運內湖站_BR19,630.6008936527590,2978.7758441447500,2978.2581050773700,35
臺北市內湖區康寧路一段１９５巷３弄５號五樓,5625000,104437,0,0,63000,內湖區,房地(土地+建物),19.9,住,NA,NA,1130710,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,780808,53.86000000000000,3,2,2,有,無,NA,親友、員工、共有人或其他特殊關係間之交易；其他增建；,RPRPMLLKPHJGFCA77DA,45.13,0.18,5.03,無,201,25.07904900474430,121.59704703912,"5號, 星雲街150巷, 紫雲里, 內湖區, 臺北市, 114, 臺灣",紫雲里,2024-07-10,449,28.46769791885050,26.179304206405800,34.32842532374670,74.03391627159950,35.24397998673850,63000100016,0.12844036697247700,0.5109072375127420,91.08,15168.88,43.17771472,26.51534691,0,0,0,0,0,0,0,0,0,0,14,10,0,4,1,0,1,1,0,15,"c(121.59704703912, 25.0790490047443)",臺北捷運內湖站_BR19,606.4430116601260,3006.8974090731600,3006.3765390064900,35
臺北市內湖區康寧路一段２６９號五樓之１,43000000,226566,0,0,63000,內湖區,房地(土地+建物)+車位,54.02,住,NA,NA,1130704,土地1建物1車位1,五層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,940715,189.79,3,2,2,有,有,坡道平面,NA,RPWPMLTKQHJGFCA56DA,102.72,0,11.34,有,NA,25.0789780100244,121.59883196540100,"269號, 康寧路一段, 紫雲里, 內湖區, 臺北市, 114, 臺灣",紫雲里,2024-07-04,451,31.33820318323110,27.57840418796920,35.94189537893130,0,36.12944011426900,63000100016,0.12844036697247700,0.5109072375127420,91.08,15168.88,43.17771472,26.51534691,0,0,0,0,0,0,0,0,0,0,11,3,0,1,1,0,1,1,0,12,"c(121.598831965401, 25.0789780100244)",臺北捷運大湖公園站_BR20,617.2686748910580,2942.0886487555200,2941.557788638080,19
臺北市內湖區康寧路三段１６５巷１４弄１７號四樓,21000000,169752,0,0,63000,內湖區,房地(土地+建物),32.26,商,NA,NA,1130729,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,761123,123.71,3,2,2,有,無,NA,NA,RPWNMLTLQHJGFCA09DA,100.28,0.55,12.2,無,NA,25.070549000553100,121.61223203018900,"13號, 康寧路三段165巷14弄, 明湖里, 內湖區, 五分, 臺北市, 114, 臺灣",明湖里,2024-07-29,453,30.60924445922030,28.203672756118600,33.81994330915030,0,12.781574198935100,63000100036,0.1289890649408610,0.5329167596518640,89.55,59204.15,48.83971936,20.91203453,0,0,0,0,0,1,2,0,0,0,35,26,0,7,1,1,1,0,0,36,"c(121.612232030189, 25.0705490005531)",臺北捷運東湖站_BR22,382.2251158556650,1944.6742589469600,1944.137562662600,37
臺北市內湖區康寧路三段１６５巷２５弄２２號二樓,5000000,95969,0,0,63000,內湖區,房地(土地+建物),14.87,住,NA,NA,1130807,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,731218,52.1,3,1,2,有,無,NA,親友、員工、共有人或其他特殊關係間之交易；,RPWNMLQLQHJGFCA78DA,42.08,0,4.2,無,94,25.072011684566700,121.61178150289300,"22號, 康寧路三段165巷25弄, 明湖里, 內湖區, 五分, 臺北市, 114, 臺灣",明湖里,2024-08-07,454,30.10246344425600,28.064342085214100,33.84061829281280,7.982498103765310,56.31270632372270,63000100036,0.1289890649408610,0.5329167596518640,89.55,59204.15,48.83971936,20.91203453,0,0,0,0,1,0,1,0,0,0,25,26,0,5,0,1,1,0,0,26,"c(121.611781502893, 25.0720116845667)",臺北捷運葫洲站_BR21,446.0657378123390,2091.5388643591000,2090.99686484054,40
臺北市內湖區康寧路三段１８９巷１５７弄２６號三樓,15000000,147958,0,0,63000,內湖區,房地(土地+建物),27.72,住,NA,NA,1130801,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,730907,101.38,3,2,2,有,無,NA,親友、員工、共有人或其他特殊關係間之交易；,RPPOMLNLQHJGFCA87DA,77.18,0,16.37,無,NA,25.074797996820300,121.61162702441800,"26號, 康寧路三段189巷157弄, 康寧里, 內湖區, 五分, 臺北市, 114, 臺灣",康寧里,2024-08-01,455,29.11739153795640,27.59178789811160,31.473476087437300,0.4368141698302560,28.838977004792200,63000100035,0.15118761676007500,0.5572457966373100,91.29,35523.26,46.8847608,23.19579155,0,0,0,0,1,0,1,0,0,0,8,14,0,4,0,1,1,0,0,9,"c(121.611627024418, 25.0747979968203)",臺北捷運葫洲站_BR21,498.6384372825220,2391.0151293478400,2390.4693818967200,40
