土地位置建物門牌,總價元,單價元平方公尺,車位移轉總面積平方公尺,車位總價元,countycode,鄉鎮市區,交易標的,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,車位類別,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,lat,lng,nomi_address,里,date,.id,t_mean_24h_idw,t_min_idw,t_max_idw,daily_rain_idw,aqi_idw,towncode,MASTER_UP_rate,BACHELOR_UP_rate,Sex_ratio,popdense,Dependency_ratio,Old_ratio,count_anc_500m,count_clean_500m,count_cor_500m,count_cos_500m,count_uni_500m,count_fire_500m,count_gas_500m,count_inc_500m,count_lpg_500m,count_mall_500m,count_mart_500m,count_med_500m,count_nuc_500m,count_phar_500m,count_poli_500m,count_post_500m,count_simpmart_500m,count_temp_500m,count_died_500m,count_shop_500m,geometry,nearest_mrt_name,dist_to_mrt_meter,dist_to_rail_meter,dist_to_thsr_meter,house_age
臺北市松山區南京東路五段２３９號五樓之１６,22200000,328986,0,0,63000,松山區,房地(土地+建物),5.43,都市：其他:聯合開發區(捷)。,NA,NA,1130402,土地1建物1車位0,五層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980331,67.48,2,1,1,有,有,NA,NA,RPSNMLQLMHJGFDA18EA,41.35,0,3.4,有,291,25.05161641866510,121.5649724293340,"239號, 南京東路五段, 安平里, 松山區, 臺北市, 105, 臺灣",安平里,2024-04-02,1281,27.154451801322700,22.47973742687620,33.50155649871740,0,65.49954177533950,63000010019,0.14012380416432200,0.5233539673607200,88.46,37135.17,47.61724658706180,35.53328289797030,0,0,0,0,0,2,0,0,0,0,52,50,0,7,0,1,2,2,0,54,"c(121.564972429334, 25.0516164186651)",臺北捷運南京三民站_G18,19.635423104279700,1365.0144000355700,4279.438321366010,15
臺北市松山區南京東路五段２３９號十三樓之１２,16380000,305142,0,0,63000,松山區,房地(土地+建物),4.3,都市：其他:聯合開發區(捷)。,NA,NA,1130416,土地1建物1車位0,十三層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980331,53.68000000000000,1,1,1,有,有,NA,NA,RPSNMLSKMHJGFDA18DA,31.52,0,3.85,有,613,25.05161641866510,121.5649724293340,"239號, 南京東路五段, 安平里, 松山區, 臺北市, 105, 臺灣",安平里,2024-04-16,1282,27.53395865865410,25.145136510659100,31.275195300341100,0,77.26803921937760,63000010019,0.14012380416432200,0.5233539673607200,88.46,37135.17,47.61724658706180,35.53328289797030,0,0,0,0,0,2,0,0,0,0,52,50,0,7,0,1,2,2,0,54,"c(121.564972429334, 25.0516164186651)",臺北捷運南京三民站_G18,19.635423104279700,1365.0144000355700,4279.438321366010,15
臺北市松山區南京東路五段２３９號十樓之２３,14880000,327465,0,0,63000,松山區,房地(土地+建物),3.62,都市：其他:聯合開發區(捷)。,NA,NA,1130511,土地1建物1車位0,十層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980331,45.44,1,1,1,有,有,NA,NA,RPXNMLSLNHJGFDA88DA,26.82,0,3.1,有,88,25.05161641866510,121.5649724293340,"239號, 南京東路五段, 安平里, 松山區, 臺北市, 105, 臺灣",安平里,2024-05-11,1283,27.48121183505240,24.532365772418800,31.779690401271200,0,74.716074270693,63000010019,0.14012380416432200,0.5233539673607200,88.46,37135.17,47.61724658706180,35.53328289797030,0,0,0,0,0,2,0,0,0,0,52,50,0,7,0,1,2,2,0,54,"c(121.564972429334, 25.0516164186651)",臺北捷運南京三民站_G18,19.635423104279700,1365.0144000355700,4279.438321366010,15
臺北市松山區南京東路五段３２８號八樓之２,18000000,263715,21.6,1800000,63000,松山區,房地(土地+建物)+車位,6.93,商,NA,NA,1130414,土地2建物1車位1,八層,十層,華廈(10層含以下有電梯),住家用,鋼骨鋼筋混凝土造,930907,83.03,2,1,1,有,有,升降機械,NA,RPXPMLQJNHJGFDA68DA,47,0,0,有,NA,25.051056004618800,121.56863397991700,"328號, 南京東路五段, 新聚里, 松山區, 潭美, 臺北市, 105, 臺灣",新聚里,2024-04-14,1286,27.03095025470290,24.44483661548720,29.87394933153760,0,81.23334678883770,63000010024,0.15321252059308100,0.5602815635764570,85.16,49990.94,55.02174362082800,39.32491198191660,1,0,0,0,0,0,1,0,0,0,31,34,0,3,0,1,2,4,0,33,"c(121.568633979917, 25.0510560046188)",臺北捷運南京三民站_G18,393.3476534992600,990.6106095968790,3914.4473140840000,20
臺北市松山區南京東路五段３２８號八樓之３,19280000,218446,21.6,0,63000,松山區,房地(土地+建物)+車位,7.46,商,NA,NA,1130430,土地2建物1車位1,八層,十層,華廈(10層含以下有電梯),住家用,鋼骨鋼筋混凝土造,930907,88.26000000000000,2,1,1,有,有,升降機械,陽台外推；其他增建；,RPRNMLOJOHJGFDA87EA,41.2,0,9.8,有,856,25.051056004618800,121.56863397991700,"328號, 南京東路五段, 新聚里, 松山區, 潭美, 臺北市, 105, 臺灣",新聚里,2024-04-30,1287,28.325032533895000,23.562938328824200,33.66214572419080,4.763763753391820,55.565101216231400,63000010024,0.15321252059308100,0.5602815635764570,85.16,49990.94,55.02174362082800,39.32491198191660,1,0,0,0,0,0,1,0,0,0,31,34,0,3,0,1,2,4,0,33,"c(121.568633979917, 25.0510560046188)",臺北捷運南京三民站_G18,393.3476534992600,990.6106095968790,3914.4473140840000,20
臺北市松山區南京東路五段３８９巷５弄５號五樓,11550000,190406,0,0,63000,松山區,房地(土地+建物),11.03,商,NA,NA,1130407,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,870625,60.66,2,1,1,有,無,NA,NA,RPSNMLLMNHJGFDA87EA,27.27,0,4.2,有,855,25.052049008688000,121.56952003090200,"5號, 南京東路五段389巷5弄, 安平里, 松山區, 潭美, 臺北市, 105, 臺灣",安平里,2024-04-07,1289,21.787682868085400,20.43580081749590,23.393689158283100,3.749347179522330,38.541280883161700,63000010019,0.14012380416432200,0.5233539673607200,88.46,37135.17,47.61724658706180,35.53328289797030,1,0,0,0,0,0,1,0,0,0,28,22,0,3,0,1,2,3,0,30,"c(121.569520030902, 25.052049008688)",臺北捷運南京三民站_G18,480.97176186011600,934.3761567712490,3818.813855708410,26
臺北市松山區南京東路五段４１５號二樓之６,14420000,278003,0,0,63000,松山區,房地(土地+建物),5.47,商,NA,NA,1130424,土地1建物1車位0,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060921,51.870000000000000,1,1,1,有,有,NA,夾層；其他增建；,RPUOMLMLNHJGFDA08DA,29.24,0,4.32,有,716,25.05146124193580,121.57010545841000,"411號, 南京東路五段, 安平里, 松山區, 潭美, 臺北市, 105, 臺灣",安平里,2024-04-24,1291,21.537493685732800,19.385114707048700,25.7603082750676,48.6894695357127,53.92950062797230,63000010019,0.14012380416432200,0.5233539673607200,88.46,37135.17,47.61724658706180,35.53328289797030,1,0,0,0,0,0,1,0,0,0,27,24,0,3,0,2,2,4,0,29,"c(121.57010545841, 25.0514612419358)",臺北捷運南京三民站_G18,537.5383938515370,857.8422804105920,3763.300445527130,7
臺北市松山區南京東路五段６６巷９號五樓,5310000,87696,0,0,63000,松山區,房地(土地+建物),12.23,住,NA,NA,1130517,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,720824,60.55,3,2,2,有,無,NA,親友、員工、共有人或其他特殊關係間之交易；,RPPPMLNLMHJGFDA77EA,44.3,0.33,8.6,有,NA,25.050726009090800,121.56091600729200,"7號, 南京東路五段66巷, 吉祥里, 松山區, 車罾, 臺北市, 105, 臺灣",吉祥里,2024-05-17,1293,26.31684029056350,23.138461826006800,29.878520273157300,0,55.92015461493940,63000010022,0.16547393018840400,0.5907696801518910,86.93,35493.17,59.362054668732000,43.102734042439400,0,0,0,0,0,2,1,0,0,0,52,69,0,8,0,1,0,3,0,52,"c(121.560916007292, 25.0507260090908)",臺北捷運南京三民站_G18,401.45954046184400,1756.0941022963500,4445.79667720918,41
臺北市松山區南京東路四段２３號六樓之３,13060000,453472,0,0,63000,松山區,房地(土地+建物),3.31,商,NA,NA,1130403,土地2建物1車位0,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,971205,28.8,0,0,0,無,有,NA,陽台外推；,RPPOMLRKMHJGFDA87DA,12.73,0,5.52,有,431,25.051909994823800,121.55055002381600,"25號, 南京東路四段, 中華里, 松山區, 中崙, 臺北市, 105, 臺灣",中華里,2024-04-03,1295,28.02789983517010,24.220280779806700,32.64800165284020,0,80.81833538453900,63000010015,0.2398434588147600,0.6973537085352220,85.88,33373.22,69.97422678608910,39.66494844338530,2,0,0,0,0,0,0,0,0,1,42,42,0,7,1,1,1,1,0,43,"c(121.550550023816, 25.0519099948238)",臺北捷運台北小巨蛋站_G17,155.64499793555200,2809.953564918480,3419.31612339624,16
臺北市松山區南京東路四段５３巷７弄２號二樓之２,19000000,252023,0,0,63000,松山區,房地(土地+建物),14.68,住,NA,NA,1130402,土地1建物1車位0,二層，陽台,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,650819,75.39,2,1,1,有,有,NA,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLNJNHJGFDA87EA,67.58,0,0,有,NA,25.052948009713100,121.5510339949050,"2號, 南京東路四段53巷7弄, 中華里, 松山區, 中崙, 臺北市, 105, 臺灣",中華里,2024-04-02,1296,26.631683602729000,21.871706522170400,32.694235106701600,0,65.01277222918810,63000010015,0.2398434588147600,0.6973537085352220,85.88,33373.22,69.97422678608910,39.66494844338530,2,0,0,0,0,0,0,0,0,1,35,35,0,6,2,2,1,1,1,36,"c(121.551033994905, 25.0529480097131)",臺北捷運台北小巨蛋站_G17,202.63682821129500,2776.196953178740,3485.1140535162500,48
