土地位置建物門牌,總價元,單價元平方公尺,車位移轉總面積平方公尺,車位總價元,countycode,鄉鎮市區,交易標的,緯度,經度,村里,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,count_floor,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,車位類別,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,date,.id,t_mean_24h_idw,t_min_idw,t_max_idw,daily_rain_idw,aqi_idw,towncode,MASTER_UP_rate,BACHELOR_UP_rate,Sex_ratio,popdense,Dependency_ratio,Old_ratio,count_anc_500m,count_clean_500m,count_cor_500m,count_cos_500m,count_uni_500m,count_fire_500m,count_gas_500m,count_inc_500m,count_lpg_500m,count_mall_500m,count_mart_500m,count_med_500m,count_nuc_500m,count_phar_500m,count_poli_500m,count_post_500m,count_simpmart_500m,count_temp_500m,count_died_500m,count_shop_500m,geometry,nearest_mrt_name,dist_to_mrt_meter,dist_to_rail_meter,dist_to_thsr_meter,house_age,time_index
臺北市中山區北安路５７８巷８弄９號,27800000.0,215020.0,0.0,0.0,63000,中山區,房地(土地+建物),25.0804759818504,121.548754033422,永安里,32.21,住,,,1120715,土地1建物1車位0,二層,2,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,710201,129.29,4,2,2,有,無,,陽台外推；,RPTOMLTLQHIGFCA78DA,91.38,0.0,25.35,無,,2023-07-15,23,32.3899095408858,29.6731899227627,35.7042154769299,0.0,18.499942778846,63000040016,0.199924461790256,0.637164799194259,84.96,27316.52,51.6688481590856,29.9574607280829,0,0,0,0,1,0,1,0,0,0,27,44,0,11,1,2,0,2,0,27,"c(121.548754033422, 25.0804759818504)",臺北捷運大直站_BR14,234.496444154549,4565.51107900658,4845.47564896409,41,3
臺北市中山區北安路６０８巷４弄３號,16850000.0,242376.0,0.0,0.0,63000,中山區,房地(土地+建物),25.0818499853284,121.549261976755,成功里,27.09,住,,,1120712,土地1建物1車位0,四層,4,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,601215,69.52,2,2,1,有,無,,其他增建；,RPPNMLMLPHIGFCA47DA,65.69,0.0,3.83,無,396.0,2023-07-12,24,30.4848742565969,27.2422154645673,34.6298486655916,0.893999579977466,39.4738889604613,63000040015,0.193705914270212,0.641888225718937,84.27,10375.04,54.3972445340075,26.9575200856584,0,0,0,0,1,0,1,0,0,0,28,46,0,11,0,2,0,2,0,28,"c(121.549261976755, 25.0818499853284)",臺北捷運大直站_BR14,366.675648240054,4649.60826364755,4993.88852520964,52,3
臺北市中山區北安路８３７號,23880000.0,196657.0,0.0,0.0,63000,中山區,房地(土地+建物),25.0860130864186,121.552345413337,北安里,31.5,住,,,1120714,土地2建物1車位0,二層,2,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,731231,121.43,4,1,3,有,無,,陽台外推；,RPPNMLTKQHIGFCA18DA,99.76,0.0,10.68,無,718.0,2023-07-14,25,31.9326530171745,28.9483714240217,35.5549517902283,0.0,31.8399353576485,63000040042,0.162736939435969,0.563106796116505,89.13,5556.1,57.3444515347374,38.7427838109411,0,0,0,0,0,0,1,0,0,0,9,19,0,2,0,1,0,2,0,9,"c(121.552345413337, 25.0860130864186)",臺北捷運劍南路站_BR15,308.650279545487,4841.84618010662,5546.69241565205,39,3
臺北市中山區合江街１３０巷２３號,19500000.0,202513.0,0.0,0.0,63000,中山區,房地(土地+建物),25.0595899974274,121.538036010013,江山里,33.25,住,,,1120707,土地1建物1車位0,二層,2,四層,公寓(5樓含以下無電梯),住家用,加強磚造,590303,96.29,3,2,1,有,無,,陽台外推；,RPRNMLLMPHIGFCA77EA,84.94,0.0,11.35,無,436.0,2023-07-07,28,32.4939512713847,28.4490875802287,36.7040006867064,0.0,43.4202860630938,63000040029,0.159006785934608,0.555521283158544,88.73,35923.16,55.8169652372508,39.95251456077,0,0,0,0,0,0,0,0,0,0,42,49,0,13,0,0,0,1,3,42,"c(121.538036010013, 25.0595899974274)",臺北捷運行天宮站_O09,514.567641583212,2619.66754893903,2501.05209942925,53,3
臺北市中山區合江街１８０巷１５號,25250000.0,238590.0,0.0,0.0,63000,中山區,房地(土地+建物),25.0611460139328,121.538461978332,江寧里,17.66,住,,,1120805,土地1建物1車位0,六層,6,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,661231,105.83,3,2,2,有,無,,陽台外推；,RPXPMLPKQHIGFCA78DA,72.96,0.0,19.06,有,133.0,2023-08-05,29,30.4181067064466,28.3046389885392,32.4554338847307,0.0,32.6353113054169,63000040028,0.168459986550101,0.582885003362475,87.5,38658.38,56.0715114798998,38.1007661857207,0,0,0,0,0,0,0,0,0,0,40,50,0,14,0,1,0,0,3,40,"c(121.538461978332, 25.0611460139328)",臺北捷運行天宮站_O09,554.179622707669,2747.47079348978,2631.44059504682,46,3
臺北市中山區合江街１８８巷２２號,25600000.0,215271.0,0.0,0.0,63000,中山區,房地(土地+建物),25.0613400130818,121.538220998616,江寧里,20.75,住,,,1120719,土地1建物1車位0,五層,5,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,661231,118.92,3,2,2,有,無,,陽台外推；,RPTPMLOLPHIGFCA28DA,88.1,0.0,16.17,有,,2023-07-19,30,29.7707430638605,27.2163686886349,34.6238870960223,1.18613888131268,32.1792991912828,63000040028,0.168459986550101,0.582885003362475,87.5,38658.38,56.0715114798998,38.1007661857207,0,0,0,0,0,0,1,0,0,0,44,49,0,14,0,1,0,1,3,44,"c(121.538220998616, 25.0613400130818)",臺北捷運行天宮站_O09,533.682135053336,2739.13277511157,2623.79345457364,46,3
臺北市中山區吉林路３６９號,7400000.0,188727.0,0.0,0.0,63000,中山區,房地(土地+建物),25.065068996076,121.530509982971,新庄里,6.31,住,,,1120708,土地1建物1車位0,三層,3,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,681219,39.21,1,1,1,有,有,,,RPTOMLLLPHIGFCA87DA,31.33,0.0,0.0,有,,2023-07-08,32,32.7869472612402,29.3877802984896,37.1581879161721,0.0,45.9535346714646,63000040019,0.0979381443298969,0.436504217432053,85.65,7353.99,47.1644612327774,34.4675488234192,1,1,0,0,0,1,0,0,0,0,52,45,0,10,0,2,2,2,0,54,"c(121.530509982971, 25.065068996076)",臺北捷運中山國小站_O10,456.988969386344,2451.19585751543,2361.50422258588,44,3
臺北市中山區吉林路４９０號,35000000.0,206795.0,0.0,0.0,63000,中山區,房地(土地+建物),25.0681503932309,121.530283587766,新庄里,70.0,住,,,1120703,土地1建物1車位0,三層,3,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,630530,169.25,2,2,2,有,無,,頂樓加蓋；,RPQNMLLLPHIGFCA47DA,164.07,0.0,5.18,無,,2023-07-03,33,30.2156485421652,26.8337604724691,34.2710942573937,0.0,32.5097984628025,63000040019,0.0979381443298969,0.436504217432053,85.65,7353.99,47.1644612327774,34.4675488234192,1,0,0,0,0,1,0,0,0,0,29,13,0,7,0,0,2,2,0,31,"c(121.530283587766, 25.0681503932309)",臺北捷運中山國小站_O10,693.249520589044,2717.3286197631,2635.6995900958,49,3
臺北市中山區基湖路１５１巷３５號,12500000.0,191395.0,26.72,0.0,63000,中山區,房地(土地+建物)+車位,25.0774849835213,121.564792972787,金泰里,15.68,住,,,1120703,土地1建物1車位1,五層,5,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,930630,65.31,0,0,0,無,有,坡道平面,,RPQOMLKKQHIGFCA47DA,21.15,0.0,2.54,有,,2023-07-03,34,30.3612265002431,27.0987327600907,34.8224835337676,0.0,32.2278589069677,63000040041,0.185761637123505,0.594610174376711,91.54,7338.63,40.5952586882514,20.0726769302522,0,0,0,0,0,0,1,0,0,0,12,5,0,0,1,0,0,1,0,12,"c(121.564792972787, 25.0774849835213)",臺北捷運西湖站_BR16,566.065328491581,3413.16514996259,5043.0206281804,19,3
臺北市中山區大直街５２巷４號,17014250.0,266639.0,0.0,0.0,63000,中山區,房地(土地+建物),25.082410986108,121.545961015646,大直里,18.3,住,,,1120718,土地1建物1車位0,二層,2,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,760710,63.8,3,2,2,有,無,,總價金為55萬美元以簽約日之匯率計價台幣實價登錄親友、員工、共有人或其他特殊關係間之交易；,RPSNMLOJQHIGFCA87DA,56.08,0.0,6.26,無,,2023-07-18,37,29.3985429394053,27.4932062830456,33.2449612232263,9.9100179602769,38.4174550996558,63000040014,0.185735512630015,0.607456436579765,87.57,13392.04,63.9678384323172,38.4255796487611,0,0,0,0,1,0,0,0,0,0,20,36,0,10,1,3,0,2,1,20,"c(121.545961015646, 25.082410986108)",臺北捷運大直站_BR14,328.339520791006,4912.25307633841,4832.70953139798,36,3
