Model,Quantile,RMSE,Check_Loss,Pseudo_R2,sMAPE,Execution_Time
NN,0.1,15519658.0,1086909.25,0.38950806856155396,45.121920108795166,2 小時 0 分鐘 54.62 秒
NN,0.25,11446261.0,1831779.375,0.5091467499732971,27.645641565322876,2 小時 0 分鐘 54.62 秒
NN,0.5,9847664.0,2279778.25,0.6019588112831116,20.712465047836304,2 小時 0 分鐘 54.62 秒
NN,0.75,56831796.0,3081272.75,0.4793119430541992,38.33775818347931,2 小時 0 分鐘 54.62 秒
NN,0.9,699809792.0,5338954.0,-0.2444007396697998,53.15020680427551,2 小時 0 分鐘 54.62 秒
NN,mean,8727583.0,,,22.14791476726532,2 小時 0 分鐘 54.62 秒
NN,Total,,13618693.625,,,2 小時 0 分鐘 54.62 秒
