Model,Quantile,RMSE,Check_Loss,Pseudo_R2,sMAPE,Execution_Time
NN_Fold_1,0.1,8.682519912719727,1.012398600578308,0.3190273642539978,40.013134479522705,
NN_Fold_1,0.25,6.465415954589844,1.6193543672561646,0.4658299684524536,25.284013152122498,
NN_Fold_1,0.5,5.386328220367432,1.8271440267562866,0.5846437215805054,20.98362445831299,
NN_Fold_1,0.75,6.097304344177246,1.4278171062469482,0.6463392376899719,23.116452991962433,
NN_Fold_1,0.9,8.790454864501953,0.8169522881507874,0.6775079071521759,32.250332832336426,
NN_Fold_1,mean,5.585084438323975,,,21.64471298456192,
NN_Fold_1,Total,,6.703666388988495,,,
NN_Fold_2,0.1,10.03371810913086,1.1278010606765747,0.2610398530960083,39.63528871536255,
NN_Fold_2,0.25,9.054800987243652,1.7407939434051514,0.43611812591552734,25.515112280845642,
NN_Fold_2,0.5,9.31676959991455,1.9085197448730469,0.5713829398155212,19.502919912338257,
NN_Fold_2,0.75,12.964591979980469,1.5202369689941406,0.635231226682663,23.288074135780334,
NN_Fold_2,0.9,16.750383377075195,0.8419933915138245,0.6937496960163116,29.313939809799194,
NN_Fold_2,mean,9.966315269470215,,,21.43295109272003,
NN_Fold_2,Total,,7.139345109462738,,,
NN_Fold_3,0.1,9.1384916305542,0.8842169642448425,0.43398165702819824,41.51591360569,
NN_Fold_3,0.25,6.725121974945068,1.48133385181427,0.5214663743972778,26.44343376159668,
NN_Fold_3,0.5,4.870617866516113,1.668540596961975,0.6191013157367706,20.150573551654816,
NN_Fold_3,0.75,5.6213908195495605,1.3693299293518066,0.6639054417610168,23.914659023284912,
NN_Fold_3,0.9,6.752538204193115,0.8381857872009277,0.6751090288162231,28.40953767299652,
NN_Fold_3,mean,5.7497029304504395,,,22.53037840127945,
NN_Fold_3,Total,,6.241607129573822,,,
NN_Fold_4,0.1,9.036816596984863,0.928035318851471,0.412777304649353,39.59174156188965,
NN_Fold_4,0.25,6.663161277770996,1.5229145288467407,0.5142450034618378,24.93087649345398,
NN_Fold_4,0.5,4.809011936187744,1.6058064699172974,0.6379015743732452,19.009175896644592,
NN_Fold_4,0.75,5.495462417602539,1.316170573234558,0.6842687129974365,24.32079315185547,
NN_Fold_4,0.9,6.891991138458252,0.764144778251648,0.7059286832809448,29.535040259361267,
NN_Fold_4,mean,5.3545145988464355,,,21.904905140399933,
NN_Fold_4,Total,,6.137071669101715,,,
NN_Fold_5,0.1,9.756394386291504,0.9409741759300232,0.4088386297225952,42.627137899398804,
NN_Fold_5,0.25,6.352048873901367,1.4650404453277588,0.5389400720596313,23.896147310733795,
NN_Fold_5,0.5,10.289494514465332,1.8557701110839844,0.5891346633434296,18.733838200569153,
NN_Fold_5,0.75,16.232831954956055,1.4716192483901978,0.6483824253082275,23.1711283326149,
NN_Fold_5,0.9,16.47545051574707,0.8294208645820618,0.6824995279312134,29.545539617538452,
NN_Fold_5,mean,8.033373832702637,,,19.896379113197327,
NN_Fold_5,Total,,6.562824845314026,,,
NN_5Fold_OOF,0.1,9.342643702443501,0.9786852301355904,0.3695637590471291,40.67664223765787,2h 46m 42.61s
NN_5Fold_OOF,0.25,7.124107376730321,1.565887464291029,0.49638390677559896,25.21391675439733,2h 46m 42.61s
NN_5Fold_OOF,0.5,7.328546501036704,1.773156172027588,0.6006497344025837,19.676026448355643,2h 46m 42.61s
NN_5Fold_OOF,0.75,10.30109529594199,1.4210347842402318,0.6559173210888216,23.56222224779653,2h 46m 42.61s
NN_5Fold_OOF,0.9,12.019852685039849,0.8181394088647936,0.6874313333798414,29.810877499083915,2h 46m 42.61s
NN_5Fold_OOF,mean,7.1663887867456575,,,21.481865261193605,2h 46m 42.61s
NN_5Fold_OOF,Total,,6.556903059559232,,,2h 46m 42.61s
