Model,Quantile,RMSE,Check_Loss,Pseudo_R2,sMAPE
xgboost,0.1,27554464.1948048,1303316.0236334405,0.3457249173053989,47.86128844263129
xgboost,0.25,20419819.506847464,2328479.7840032154,0.4455898246356068,30.2984662074949
xgboost,0.5,16368443.437437199,2988664.772829581,0.5519461536237618,24.42035722573648
xgboost,0.75,10809355.256517282,2563829.6004823153,0.6402846445198462,27.91798864298496
xgboost,0.9,14316074.304565039,1718445.9720257223,0.6954216810843264,36.74313626682631
xgboost,mean,19416510.258242246,,,25.21035208462231
xgboost,Total,,10902736.152974274,,
rf,0.1,20479407.355904605,1211906.4390299616,0.391613260915867,42.699117359254785
rf,0.25,18443656.97201609,2270979.145211605,0.4592807054648206,28.596894742827967
rf,0.5,14788952.794657268,3070672.470961216,0.5396517454604961,25.501085087816623
rf,0.75,12769040.17486942,2898585.725717714,0.5933170462966424,30.349809174121624
rf,0.9,15156825.845050652,1948952.6670051024,0.6545665463879087,38.41142254288141
rf,mean,16900526.46199372,,,25.136930473228848
rf,Total,,11401096.4479256,,
lgb,0.1,24974479.057436384,1269133.1699201467,0.36288498365496513,45.52417831578718
lgb,0.25,22207358.83688575,2332847.3768093823,0.4445499024038474,30.11244310095454
lgb,0.5,15837789.22347502,2946981.0532076773,0.5581952823576546,24.496827270932464
lgb,0.75,11908285.232228003,2588843.034910371,0.6367751614967252,28.164866201835746
lgb,0.9,15128868.307874933,1798939.7776622768,0.6811549142478887,37.87404748574022
lgb,mean,15667416.692792574,,,24.899692853823804
lgb,Total,,10936744.412509855,,
nn,0.1,21797669.298517875,1289058.1313344045,0.3528824934372382,48.285331529562605
nn,0.25,18328817.672222167,2340313.342282957,0.44277225878593607,31.46956950607703
nn,0.5,10644575.43217879,2899874.14630225,0.5652574430327981,24.96887282257181
nn,0.75,9057403.380939523,2477051.3295819936,0.6524599765149952,31.625549180040224
nn,0.9,11771636.262877615,1482540.107073955,0.7372337676666341,40.62686075843722
nn,mean,14426645.070762713,,,25.880086700604714
nn,Total,,10488837.05657556,,
Average_Ensemble,0.1,23448890.289485134,1224084.7499606574,0.3854996512872152,44.97326211216242
Average_Ensemble,0.25,19693120.389939032,2271848.6563519984,0.45907367518388853,29.50478727167717
Average_Ensemble,0.5,14077946.508552248,2913892.086813522,0.5631559051750068,24.409489655366613
Average_Ensemble,0.75,10620286.50070763,2548974.700198231,0.6423688453322973,29.10350729179362
Average_Ensemble,0.9,13112671.374250483,1644971.1825999503,0.7084443935875333,38.543720911598136
Average_Ensemble,mean,16344270.266058033,,,24.508253138858098
Average_Ensemble,Total,,10603771.37592436,,
