Model,Quantile,RMSE,Check_Loss,Pseudo_R2,sMAPE
xgboost,0.1,23832286.26837764,1149954.1596916367,0.352159953072291,31.47173023067887
xgboost,0.25,17939834.38217134,1776564.4152575613,0.5296747010790233,20.091839548760824
xgboost,0.5,13794367.027796453,2046896.6647980416,0.6488745569384349,17.182757772223876
xgboost,0.75,10840643.635008045,1671319.4306196603,0.7185786030963025,19.072387561658218
xgboost,0.9,12034858.006506661,1250740.253351066,0.7241118342304449,26.362617037913466
xgboost,mean,11213211.253821159,,,18.638665323019598
xgboost,Total,,7895474.923717966,,
rf,0.1,16999032.855884664,1126854.5566110201,0.3651733830578574,36.698291745121395
rf,0.25,12620985.676340725,1732579.1061278235,0.5413193132793506,23.394517148560467
rf,0.5,7210009.256807009,1850056.9828687762,0.6826405118682262,17.34927205271402
rf,0.75,8024948.944993623,1527779.638525654,0.7427482310335451,21.579316343243704
rf,0.9,11696031.36802055,990436.6594961477,0.7815295761312481,29.88992171879847
rf,mean,9474702.772053432,,,18.887190162558877
rf,Total,,7227706.943629421,,
lgb,0.1,23403432.016997747,1154197.0667111303,0.34976966206855586,30.207085107104426
lgb,0.25,18413791.00585434,1782133.4784782804,0.5282003546936631,19.516101062014613
lgb,0.5,16317672.773399947,2136357.3506093654,0.6335284364027449,17.124394038306374
lgb,0.75,12951246.991803447,1806628.5572555368,0.6957948774158265,19.228939078612274
lgb,0.9,12785218.137932321,1286711.7250894755,0.7161772504258925,25.51764839129524
lgb,mean,13697767.511738174,,,18.765241751937577
lgb,Total,,8166028.178143788,,
nn,0.1,12462454.820128543,1041337.7916551599,0.41335024693995026,34.8879300777352
nn,0.25,10599445.599450493,1649880.2340742871,0.5632129026054478,20.977702031109725
nn,0.5,8053854.563823424,1934844.6309012433,0.6680960060348136,18.03997520269719
nn,0.75,9601084.994513527,1493830.5947655698,0.7484646650936491,21.924516890143757
nn,0.9,11359146.500386184,883885.4089560503,0.8050326408109043,29.56463193242163
nn,mean,9211426.969005411,,,18.90110910870115
nn,Total,,7003778.66035231,,
Average_Ensemble,0.1,18803196.328546107,1090699.3253067175,0.3855418530072531,32.31069148594508
Average_Ensemble,0.25,14534006.281078393,1662177.0011446811,0.5599574728566163,20.034343066279536
Average_Ensemble,0.5,10397891.65595705,1924396.1824134148,0.6698883369168206,16.85778669048014
Average_Ensemble,0.75,8111321.195968684,1476899.6047823315,0.7513155521022916,19.982092009590264
Average_Ensemble,0.9,9709481.042183086,910294.8832580367,0.7992072414887095,27.645692625421137
Average_Ensemble,mean,8773199.654882329,,,17.744055932977346
Average_Ensemble,Total,,7064466.996905182,,
