建物移轉總面積平方公尺,house_age,count_floor,time_index,建物現況格局-廳,建物現況格局-衛,BACHELOR_UP_rate,Sex_ratio,Dependency_ratio,popdense,dist_to_rail_meter,dist_to_mrt_meter,count_med_500m,count_phar_500m,電梯_無,fold
-1.3603806893876387,0.30626534877793676,-0.05517446472814736,0.6693081130820376,-2.380517802853312,-1.8572422558319384,0.32098571375109786,-2.071528055874449,-0.038661823883657555,-0.19508347540463386,-1.0187421186304122,-0.1526849522319293,0.4835209228346883,-0.2791668468505712,False,1
-0.7876605382617617,1.0243635675221503,-0.3257955993666074,0.6693081130820376,-0.8808079818064339,-0.6089598505988263,0.32098571375109786,-2.071528055874449,-0.038661823883657555,-0.19508347540463386,-1.0375088515196664,-0.27592479137932596,0.5776241314080788,-0.2791668468505712,False,1
-1.810375093843685,0.7632369425242544,-0.8670378686435275,0.6693081130820376,-2.380517802853312,-1.8572422558319384,-0.131214675697038,-2.67153041414003,-0.40583841511188934,1.2380354538800638,-0.5785063900308519,-0.441756846756642,0.3266822418790373,0.7246376859975417,False,4
-0.3611012010089999,0.30626534877793676,-0.3257955993666074,0.6693081130820376,-2.380517802853312,4.384169770333622,-0.13641268726908984,-1.4330854351016018,0.40653707429685976,-0.47376291243961177,-0.7579998773199619,-0.750614656146144,1.5186562171419844,0.5238767794279191,True,1
0.49654003032522787,-1.652184338706282,0.48606780454877274,0.6693081130820376,-0.8808079818064339,-0.6089598505988263,-0.22367493649623602,-2.6247335728268366,-1.1507401441953173,0.7426262705813745,-0.8945582662534477,-0.579940272607307,1.3931852723774636,0.12235496628867397,False,3
-0.797116793449052,-1.1299310887104903,-0.5964167340050675,0.6693081130820376,-0.8808079818064339,-0.6089598505988263,0.05446805159558642,-0.3300170327191987,1.3537245768732518,-0.5229262149383368,-0.9029508076143704,-0.8958717928850481,1.2363465914218128,0.5238767794279191,False,4
0.9420118779525698,-1.9785926199536517,1.568552343102613,0.6693081130820376,0.6189018392404444,-0.6089598505988263,-0.22367493649623602,-2.6247335728268366,-1.1507401441953173,0.7426262705813745,-0.8487142084072677,-0.5740630095867794,0.8285660209371203,0.5238767794279191,False,0
0.3125541957029522,0.6979552862747805,-0.3257955993666074,0.6693081130820376,0.6189018392404444,0.6393225546342859,-0.7066475474345326,0.333495324471429,-0.9115955608081807,0.43946691069982063,-0.28264365279961384,-0.035161608620241314,0.04437261615886566,0.32311587285829657,True,3
-1.139803258605849,-0.3465512137168028,-0.8670378686435275,0.6693081130820376,-0.8808079818064339,-0.6089598505988263,0.41346612612341127,-1.118878071998736,-0.15529110421567674,-0.27814384432218314,-0.5066714036553579,0.19830627517353838,-0.14383380098791546,-0.4799277534201937,False,-1
-0.9009300297443025,-1.1299310887104903,-0.3257955993666074,0.6693081130820376,-0.8808079818064339,-0.6089598505988263,1.2756093866556877,-0.6943638686576302,0.05303753636338148,-0.04677683416037206,0.33639832367594896,-0.9757152156960338,-0.5202466352814777,-0.4799277534201937,False,0
